"a.c.","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>a.c.</b><br>See <a href=""entry://alternating current"">alternating current</a>"
"alternator","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>alternator</b><br>An <a href=""entry://alternating-current"">alternating-current</a> generator consisting of a coil or coils that rotate in the magnetic field produced by one or more permanent magnets or electromagnets. The electromagnets are supplied by an independent direct-current source. The frequency of the alternating current produced depends on the speed at which the coil rotates and the number of pairs of magnetic poles. In the large alternators of power stations the electromagnets rotate inside fixed coils; many bicycle dynamos are alternators with rotating permanent magnets inside fixed coils"
"altimeter","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>altimeter</b><br>A device used to measure height above sea level. It usually consists of an aneroid <a href=""entry://barometer"">barometer</a> measuring atmospheric pressure. Aircraft are fitted with altimeters, which are set to the atmospheric pressure at a convenient level, usually sea level, before take off. The height of the aircraft can then be read off the instrument as the aircraft climbs and the pressure falls"
"ALU","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>ALU</b>(arithmetic/logic unit)
<br>The part of the central processor of a <a href=""entry://computer"">computer</a> in which simple arithmetic and logical operations are performed electronically. For example, the ALU can add, subtract, multiply, compare two numbers, or negate a number"
"Alvarez, Luis Walter","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Alvarez, Luis Walter</b><br><i>(1911&ndash;88)</i>
<br> US physicist most of whose working life was spent at the University of California, Berkeley. After working on radar and the atomic bomb during World War II, he concentrated on particle physics. In 1959 he built the first large <a href=""entry://bubble chamber"">bubble chamber</a> and developed the technique for using it to study charged particles, for which he was awarded the 1968 Nobel Prize for physics"
"AM","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>AM</b>(amplitude modulation)
<br>See <a href=""entry://modulation"">modulation</a>"
"amalgam","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>amalgam</b><br>An alloy of mercury with one or more other metals. Most metals form amalgams (iron and platinum are exceptions), which may be liquid or solid. Some contain definite intermetallic compounds, such as NaHg<sub class=""ind"">2</sub>"
"americium","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>americium</b><br>Symbol Am. A radioactive metallic transuranic element belonging to the actinoids; a.n. 95; mass number of most stable isotope 243 (half-life 7.95 × 10<sup class=""expo"">3</sup> years); r.d. 13.67 (20°C); m.p. 994 ± 4°C; b.p. 2607°C. Ten isotopes are known. The element was discovered by G. T. Seaborg and associates in 1945, who obtained it by bombarding uranium&ndash;238 with alpha particles"
"ammeter","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>ammeter</b><br>An instrument that measures electric current. The main types are the <i>moving-coil</i> ammeter, the <i>moving-iron</i> ammeter, and the <i>thermoammeter</i> . The moving-coil instrument is a moving-coil <a href=""entry://galvanometer"">galvanometer</a> fitted with a <a href=""entry://shunt"">shunt</a> to reduce its sensitivity. It can only be used for d.c., but can be adapted for a.c. by using a <a href=""entry://rectifier"">rectifier</a>. In moving-iron instruments, a piece of soft iron moves in the magnetic field created when the current to be measured flows through a fixed coil. They can be used with a.c. or d.c. but are less accurate (though more robust) than the moving-coil instruments. In thermoammeters, which can also be used with a.c. or d.c., the current is passed through a resistor, which heats up as the current passes. This is in contact with a thermocouple, which is connected to a galvanometer. This indirect system is mainly used for measuring high frequency a.c. In the <i>hot-wire</i> instrument the wire is clamped at its ends and its elongation as it is heated causes a pointer to move over a scale"
"ammonia clock","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>ammonia clock</b><br>A form of atomic clock in which the frequency of a quartz oscillator is controlled by the vibrations of excited ammonia molecules (see <a href=""entry://excitation"">excitation</a>). The ammonia molecule (NH<sub class=""ind"">3</sub>) consists of a pyramid with a nitrogen atom at the apex and one hydrogen atom at each corner of the triangular base. When the molecule is excited, once every 20.9 microseconds the nitrogen atom passes through the base and forms a pyramid the other side: 20.9 microseconds later it returns to its original position. This vibration back and forth has a frequency of 23870 hertz and ammonia gas will only absorb excitation energy at exactly this frequency. By using a <a href=""entry://crystal oscillator"">crystal oscillator</a> to feed energy to the gas and a suitable feedback mechanism, the oscillator can be locked to exactly this frequency"
"amorphous","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>amorphous</b><br>Describing a solid that is not crystalline; i.e. one that has no long-range order in its lattice. Many powders that are described as ‘amorphous’ in fact are composed of microscopic crystals, as can be demonstrated by X-ray diffraction. Glasses are examples of true amorphous solids"
"amount of substance","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>amount of substance</b><br>Symbol <i>n</i>. A measure of the number of entities present in a substance. The specified entity may be an atom, molecule, ion, electron, photon, etc., or any specified group of such entities. The amount of substance of an element, for example, is proportional to the number of atoms present. For all entities, the constant of proportionality is the inverse <a href=""entry://Avogadro constant"">Avogadro constant</a>. The SI unit of amount of substance is the <a href=""entry://mole"">mole</a>"
"ampere","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>ampere</b><br>Symbol A. The SI unit of electric current. The constant current that, maintained in two straight parallel infinite conductors of negligible cross section placed one metre apart in a vacuum, would produce a force between the conductors of 2 × 10<sup class=""expo"">-7</sup> Nm<sup class=""expo"">-1</sup>. This definition replaced the earlier international ampere defined as the current required to deposit 0.001 118 00 gram of silver from a solution of silver nitrate in one second. The unit is named after A. M. Ampère"
"ampere-hour","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>ampere-hour</b><br>A practical unit of electric charge equal to the charge flowing in one hour through a conductor passing one ampere. It is equal to 3600 coulombs"
"ampere-turn","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>ampere-turn</b><br>The SI unit of <a href=""entry://magnetomotive force"">magnetomotive force</a> equal to the magnetomotive force produced when a current of one ampere flows through one turn of a magnetizing coil"
"amplifier","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>amplifier</b><br>A device that increases the strength of an electrical signal by drawing energy from a separate source to that of the signal. The original device used in electronic amplifiers was the <a href=""entry://triode"">triode</a> valve, in which the cathode&mdash;anode current is varied in accordance with the low-voltage signal applied to the valve's control grid. In the more recent <a href=""entry://transistor"">transistor</a>, the emitter&mdash;collector current is controlled in much the same way by the signal applied to the transistor's base region. In the most modern devices the complete amplifier circuit is manufactured as a single <a href=""entry://integrated circuit"">integrated circuit</a>. The ratio of the output amplitude (of p.d. or current) of an amplifier (or stage of an amplifier) to the corresponding input amplitude is called the <i>gain</i> of the amplifier"
"amplitude","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>amplitude</b><br>See <a href=""entry://wave"">wave</a>"
"amplitude modulation","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>amplitude modulation</b>(AM)
<br>See <a href=""entry://modulation"">modulation</a>; <a href=""entry://radio"">radio</a>"
"Ampère's law","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Ampère's law</b><br>A law of the form <div class=""equ"">d<i>B</i> = (µ<sub class=""ind"">o</sub><i>I</i> sinθ</img> d<i>l</i>)/4π</img><i>r</i><sup class=""expo"">2</sup></div>, where d<i>B</i> is the infinitesimal element of the magnitude of the magnetic flux density (see <a href=""entry://magnetic field"">magnetic field</a>) at a distance <i>r</i> at a point P from the element length d<i>l</i> of a conductor, µ<sub class=""ind"">o</sub> is the magnetic permeability of free space, <i>I</i> is the current flowing through the conductor, and θ</img> is the angle between the direction of the current and the line joining the element of the conductor and P. It is also called the <i>Ampère-Laplace law</i> after the French mathematician Pierre-Simon de Laplace (1749&ndash;1827)"
"Ampère's rule","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Ampère's rule</b><br>A rule that relates the direction of the electric current passing through a conductor and the magnetic field associated with it. The rule states that if the electric current is moving away from an observer, the direction of the lines of force of the magnetic field surrounding the conductor is clockwise and that if the electric current is moving towards an observer, the direction of the lines of force is counter-clockwise. An equivalent statement to Ampère's rule is known as the <i>corkscrew rule</i> . A corkscrew, or screwdriver, is said to be right-handed if turning the corkscrew in a clockwise direction drives the screw into the object (such as the cork of a bottle). The corkscrew rule states that a right-handed corkscrew is analogous to an electric current and its magnetic field with the direction of the screw being analogous to an electric current; the direction in which the corkscrew is being turned is analogous to the direction of lines of force of the field"
