e	and
odeiam	hate
Zorobabel	Zerubbabel
ladrão	burglar
ficavam	were
direitos	rights
confia	trust
barulho	noise
santuários	sanctuaries
principal	main
calamidade	calamity
Carmelo	Carmel
parecia	seemed
mocidade	youth
leve	light
edificou	built
Berseba	Beersheba
queremos	we want
plantas	plants
choro	crying
cativos	captives
Gomorra	Gomorrah
praticar	to practice
diferente	different
comandantes	commanders
águia	eagle
voltem	come back
tira	strip
servem	serve
mares	seas
fortificadas	fortified
conseguir	get
cometer	commit
vizinhas	neighbors
salvou	saved
humildes	humble
escrava	slave
eira	threshing floor
ataque	attack
pontas	tips
enviarei	I will send
dificuldades	difficulties
cuidar	to care
ave	bird
Hamate	Hamath
Fineias	Phinehas
preparou	prepared
orgulhosos	proud
necessitados	needy
esplendor	splendor
esperar	wait
comem	eat
tiraram	took away
setecentos	seven hundred
retos	straight
enviaram	sent
trabalhadores	workers
profundo	deep
louvarei	I will praise
entregarei	I will deliver
deveria	it should
crer	believe
comum	common
compreender	to understand
Sidom	Sidon
souberam	they knew
jurar	swear
encarregados	in charge
cinza	gray
busca	search
Abisai	Abishai
varão	man
perfeito	perfect
pasto	pasture
opressão	oppression
folhas	sheets
couro	leather
consultar	consult
branco	white
bezerros	calves
transgressão	transgression
selo	stamp
queres	do you want
ponha	put
mui	very
longa	long
falso	false
prender	to secure
convidados	guests
confiam	trust
Acab	Finish
pensando	thinking
ovelha	sheep
ordenei	I ordered
obediência	obedience
obedeceram	obeyed
multidões	crowds
morava	lived
dizes	you say
Jeorão	Jehoram
Aías	Aias
ouvimos	we heard
enviei	I sent
chorou	cried
aberto	open
servirá	will serve
egípcio	Egyptian
coma	eat
porteiros	doormen
governar	govern
ferida	wound
entra	come in
determinado	determined
defesa	defense
colocar	to place
sal	salt
resgate	rescue
receberão	will receive
rasgou	tore
queimado	burned
ideia	idea
edificar	build
doutrina	doctrine
colocado	placed
Gedalias	Gedaliah
viventes	living
vejo	I see
mancha	spot
disseram-lhe	they told him
destruíram	destroyed
continua	continue
cedros	cedars
tomado	taken
sopro	blow
correndo	running
Siló	Silo
trazido	brought
touros	bulls
seguem	follow
pequenos	small
espalhados	scattered
deitado	lying down
cesto	basket
babilônios	Babylonians
profundamente	deeply
oferecido	offered
mediu	measured
deusa	goddess
armados	armed
alimentos	food
romano	Roman
realizar	carry out
precisa	it needs
matará	will kill
espanto	astonishment
atravessar	cross
acompanhado	accompanied
Jezabel	Jezebel
sírios	Syrians
pior	worse
pede	ask
estranho	strange
deitar	to lie down
conseguiu	it achieved
cânticos	chants
acharam	found
pertencia	belonged
ferido	wounded
arrependimento	repentance
arameus	Arameans
servidores	servers
consagração	consecration
caverna	cave
ardente	burning
agradar	to please
possessão	possession
estranhos	strangers
calor	heat
Társis	Tarshish
harpas	harps
ferir	hurt
dirigiu-se	went to
connosco	with us
Joanã	Joana
vimos	we saw
umas	some
trata	treats
siclo	shekel
prontos	ready
pecou	sinned
olhando	looking
oferecidos	offered
morando	living
luta	fight
inferno	hell
divina	divine
bondoso	kind
andava	walked
amargura	bitterness
servirão	will serve
sentou-se	sat down
seguia	followed
ficado	stayed
cai	falls
assunto	subject
salas	rooms
quiserem	want
dadas	given
anunciado	announced
Jotão	Jotham
prometi	I promised
noivo	groom
noites	nights
irmãs	sisters
errado	wrong
curar	heal
companhia	company
alturas	heights
acha	he thinks
vivendo	living
ordeno	I order
oliveira	olive tree
novos	new
lançado	released
júbilo	jubilation
ficarei	I will stay
chegarem	arrive
alegres	happy
abençoado	blessed
Amnom	Amnon
sentença	sentence
sementes	seeds
fizesse	did
falsas	false
dissera	had said
derrota	defeat
continuaram	continued
abandonou	abandoned
Micaías	Micaiah
Ben-Hadade	Ben-hadad
visitar	visit
sogro	father-in-law
intenção	intention
inteiramente	fully
deseja	wish
velha	old
servas	servants
quebrou	it broke
fizemos	we did
dízimos	tithes
declarou	declared
capitão	captain
Guilead	Gilead
veste	dress
tornarei	I will return
sereis	you will be
íntimo	intimate
atacaram	attacked
apresentou	presented
acácia	acacia
Hirão	Hiram
ensinamentos	teachings
culpados	guilty
castigado	punished
assírios	Assyrians
aparece	appears
Noemi	Naomi
votos	votes
santas	saints
palácios	palaces
inteira	whole
cortar	cut
talentos	talents
taças	cups
sejas	be
resultado	result
humanidade	humanity
flores	flowers
ficando	staying
fartura	abundance
enviados	sent
doenças	illnesses
destruídas	destroyed
chega	he arrives
brasas	embers
voltarei	I will return
sinagogas	synagogues
reunião	meeting
quinze	fifteen
praça	square
peitoral	pectoral
numerosos	numerous
monstro	monster
insistiu	insisted
gritar	shout
túnica	tunica
prato	dish
pesado	heavy
joias	jewelry
estarei	I will be
acham	think
vidas	lives
servirem	serve
livrará	will deliver
desce	go down
rochas	rocks
primeiras	first
paga	pay
moças	girls
crias	offspring
casou	married
bosque	forest
borda	edge
afirmo	I affirm
tanque	tank
pragas	pests
ensina	teaches
cerco	siege
suportar	to support
queriam	wanted
prisioneiro	prisoner
perpétuo	perpetual
espalhou	spread
combater	fight
tolos	fools
terríveis	terrible
terminou	it ended
maiores	bigger
inútil	useless
feridas	wounds
engano	mistake
cumpriu	fulfilled
condenação	conviction
cometeram	committed
acabará	will end
tornarão	will become
semelhantes	similar
meninos	boys
ilha	island
estabeleceu	established
coberto	covered
buscam	seek
acaba	ends
voltado	back
leito	bed
fale	speak
enganar	to deceive
conduta	conduct
celebrar	celebrate
Etiópia	Ethiopia
queda	fall
pernas	legs
oferecerá	will offer
fornalha	furnace
daí	from there
Elão	Elam
troca	replacement
levem	take
heveus	Hivites
Sísera	Sisera
súplica	supplication
sucessor	successor
seriam	would be
pôde	he can
ladrões	thieves
humilde	humble
dons	gifts
caia	fall
Oseias	Hosea
protege	protects
profunda	deep
panela	pan
nudez	nudity
neve	snow
entregues	delivered
confusão	confusion
aflições	afflictions
tecido	tissue
metro	subway
direi	I will say
cimo	top
chegará	will arrive
aproximou-se	approached
merece	deserves
mediante	through
levavam	took
julgado	judged
gritando	yelling
erro	error
derramado	spilled
degraus	steps
carga	load
boas-novas	good news
torne	turn
saudações	greetings
permitiu	allowed
nono	ninth
maná	manna
expulsou	expelled
crucificado	crucified
batizados	baptisms
tomarão	will take
responsáveis	responsible
quarta	fourth
postos	posts
ler	to read
interpretação	interpretation
insensatos	foolish
idolatria	idolatry
destino	destination
chamei	I called
bela	lovely
Gérson	Gerson
verdadeiramente	truly
sandálias	sandals
relâmpagos	lightning
reina	reigns
noiva	bride
entrarão	will enter
confiar	trust
clamou	cried out
arrogância	arrogance
aceitar	to accept
trovões	thunders
terça	third
missão	mission
dilúvio	flood
caem	fall
bacias	basins
amou	loved
trazia	brought
pegaram	they took
livra	free
falo	I talk
falarei	I will speak
continuava	continued
Maquir	Make up
saíam	went out
pratica	practice
parábolas	parables
naqueles	in those
fúria	fury
floresta	forest
construído	built
capacidade	capacity
cabras	goats
sorteio	prize draw
reunidos	gathered
repouso	rest
necessitado	needy
empregado	employee
amava	loved
Baruque	Baruch
saía	skirt
refeição	snack
prestar	provide
impossível	impossible
expulsar	expel
esperam	wait
assentado	seated
agrado	please
admirados	admired
acusações	accusations
Jesua	Jesus
verem	see
práticas	practices
perguntas	questions
infiel	unfaithful
gregos	Greeks
fareis	you will do
davam	gave
colocaram	placed
cargo	position
faremos	we will do
donde	where from
desolação	desolation
copo	glass
claro	Of course
aonde	to where
amar	love
Safã	Safa
sexuais	sexual
raiz	source
especiarias	spices
comido	eaten
cães	dogs
Obadias	Obadiah
Mispá	Mizpah
unidos	united
tomando	taking
todavia	still
sinceridade	sincerity
responderá	will respond
prodígios	prodigies
lanças	spears
janelas	windows
faze	do
cinzas	ashes
amassada	crumpled
abominação	abomination
tido	had
semana	week
querendo	wanting
perseguir	chase
pecaram	sinned
estátua	statue
encontram	find
conseguiram	got
cobrir	cover
apanhar	to take
tragam	bring
prestes	about
nisso	in that
finalmente	finally
encontrar-se	meet
edifício	building
desaparecer	disappear
amantes	lovers
agir	act
Josafat	Josaphat
Gibeão	Gibeon
vasos	vases
tornem	become
obedeceu	obeyed
mantimento	food
espirituais	spiritual
envergonhado	embarrassed
entregará	will deliver
entrando	entering
cabrito	kid
Aitofel	Ahithophel
rejeitaram	rejected
pregar	preach
ouvirá	will hear
lar	home
irem	go
esconder	to hide
encontrado	found
achado	found
Jeoás	Jehoash
vasilha	vessel
temer	fear
súplicas	supplications
permaneceu	remained
levada	taken
iniquidades	iniquities
distante	distant
correm	run
claramente	clearly
valente	brave
soldado	soldier
serviram	served
sacerdócio	priesthood
responsabilidade	responsibility
moços	boys
medir	measure
idólatras	idolaters
fronteiras	borders
dragão	dragon
cometido	committed
uso	use
onze	eleven
negócios	business
guerras	wars
ganhar	to win
envia	send
edomitas	Edomites
cujas	whose
convidou	invited
perdido	lost
ora	now
limpa	clean
faças	do
encontrava	found
deitou	lay down
almas	souls
teme	fear
solene	solemn
palmeiras	palm trees
oportunidade	opportunity
noventa	ninety
escapou	escaped
empregados	employees
chamava-se	was called
ânimo	cheer
Cesareia	Caesarea
touro	bull
saírem	leave
saem	leave
revelação	revelation
poderei	I will be able to
eternamente	forever
completa	complete
anuncia	announces
Héber	Heber
margem	margin
inocentes	innocent
gloriosa	glorious
esposas	wives
dize	say
andou	walked
acusação	indictment
tratar	treat
situada	situated
querer	to want
pórtico	portico
permanecer	remain
peles	skins
entregaram	delivered
cessar	cease
Midiã	Media
vigésimo	twentieth
recebem	receive
pensamento	thought
pagamento	payment
morre	dies
matança	killing
forno	oven
ensinou	he taught
coxa	thigh
tremer	tremble
satisfeitos	satisfied
pessoal	guys
passo	step
louco	crazy
estávamos	we were
coleção	collection
chegada	arrival
acabado	finished
semelhança	similarity
reunir	gather
realiza	performs
mata	kill
infiéis	infidels
deu-lhes	gave them
convocou	summoned
saia	skirt
rua	road
responde	responds
remanescente	remaining
recebi	I received
qualidade	quality
profetiza	prophesies
moram	live
menina	girl
maravilhosas	wonderful
lombos	loins
levarão	will take
lavradores	farmers
iria	I would go
descansar	rest
criaturas	creatures
comendo	eating
belas	beautiful
unção	anointing
treze	thirteen
quebrado	broken
mora	lives
justa	fair
furioso	furious
deixam	leave
condenados	condemned
chuvas	rains
castigados	punished
anunciou	announced
aflito	distressed
Ana	Dwarf
mentirosos	liars
malfeitores	evildoers
louvar	praise
bolos	cakes
Seraías	Seraiah
replicou	replied
perguntavam	they asked
perdoa	forgive
males	evils
importa	matter
existem	they exist
despreza	despises
cantarei	I will sing
abomináveis	abominable
Elifaz	Eliphaz
vê-lo	fleece
tremendo	tremendous
torres	towers
segue	he follows
puseram-se	they put themselves
peixe	fish
pegar	to take
passarão	will pass
orando	praying
diferentes	different
contente	happy
colina	hill
chifre	horn
sentados	sitting
pranto	crying
perguntou-lhes	asked them
governo	government
fielmente	faithfully
derrotados	defeated
corte	court
conquistou	conquered
Selá	Saddle
restantes	remaining
recusou	refused
pessoalmente	personally
obedecerem	obey
lavará	will wash
inúteis	useless
estais	you are
dedicação	dedication
benignidade	kindness
beberam	drank
aceitou	accepted
Roma	Pomegranate
sobreviventes	survivors
prenderam	arrested
perseguição	persecution
morrem	die
moeda	coin
humanas	human
consegue	it achieves
cadeia	chain
acendeu	lit
Nabote	Naboth
sermos	to be
saberá	will know
expressão	expression
dirás	you will say
cristãos	Christians
barba	beard
administrador	administrator
vender	sell
purificar	purify
permitido	allowed
gritaram	they shouted
feriram	hurt
descem	go down
curou	cured
sairão	will leave
reais	real
procede	proceeds
problemas	problems
oferece	offers
negócio	business
mentiroso	liar
judaica	jewish
janela	window
inverno	winter
eternidade	eternity
derrotou	defeated
brancos	whites
acamparam-se	they camped
proveito	advantage
naquilo	in that
levam	take
jumenta	donkey
gratidão	gratitude
escrever	to write
derramar	pour
concedeu	granted
altas	high
ajuntaram	gathered
Nadabe	Nadab
Jeconias	Jeconiah
verdes	greens
usando	using
unido	united
sabeis	you know
odeia	hates
nascente	spring
escribas	scribes
discutir	to discuss
dedos	fingers
comparar	compare
celestial	heavenly
aviso	Notice
aconteça	happen
Nebate	Nebat
respondi	I replied
querido	dear
pagará	will pay
julgará	will judge
inclinou-se	leaned over
estatuto	status
cuidadosamente	carefully
convém	it suits
amados	beloved
recenseamento	census
puros	pure
plantação	plantation
mistério	mystery
louvem	praise
entreguei	I delivered
concubina	concubine
romãs	pomegranates
procurem	look for
preparados	prepared
praças	squares
pensava	I thought
obter	to obtain
misericordioso	merciful
duro	hard
dados	data
côvado	cubit
Naamã	Naaman
partido	party
impureza	impurity
considerado	considered
cabra	goat
subindo	rising
prepararam	prepared
foge	run away
cumprimento	greeting
cumpre	complies
comereis	you will eat
clamaram	cried out
Mical	Michal
vasilhas	vessels
tratado	treated
perfeita	perfect
netos	grandchildren
ministros	ministers
estivessem	were
curados	cured
conhecida	known
cobertura	coverage
cestos	baskets
alegra	rejoices
aberta	open
abençoar	bless
Gedeão	Gideon
Elcana	Elkanah
perversidade	perversity
militares	military
hititas	Hittites
hás	there are
diferença	difference
decidiu	decided
branca	white
aceitam	accept
abertos	open
Elá	She
sirvam	serve
paralítico	paralytic
linha	line
escutem	listen
ensinava	taught
carregar	to load
Zeruia	Zeruiah
soberba	superb
siros	syrians
poderem	be able to
perdoar	forgive
obedeçam	obey
merecem	deserve
fios	wires
filhotes	puppies
ficasse	stayed
disserem	say
confio	I trust
circuncidados	circumcised
circuncidado	circumcised
cintura	waist
Jeoacaz	Jehoahaz
viesse	came
pavor	dread
pararam	stopped
maldições	curses
império	empire
formou	formed
fluxo	flow
extremo	extreme
escrita	written
destrói	destroys
consagrados	consecrated
cantar	sing
talvez	perhaps
sobe	go up
sirva	serve
seguros	insurance
rejeitou	rejected
montão	heap
laço	link
guerreiro	warrior
grão	grain
glorificado	glorified
estiveram	were
demônio	demon
deixarão	will leave
decisão	decision
corrupção	corruption
conquistar	to conquer
apresentaram	presented
veredas	paths
sepultaram	buried
oitocentos	eight hundred
nu	naked
mudou	changed
exaltado	exalted
corre	run
comerem	eat
abençoa	bless
Rabá	Rabbah
Neguebe	Negev
traziam	brought
primícias	first fruits
pomba	dove
explicar	explain
declarará	will declare
castigará	will punish
antigas	old
revelado	revealed
postes	posts
lançados	launched
haveria	there would be
estive	I was
estende	extends
escrevi	I wrote
doce	sweet
comiam	ate
amanhecer	dawn
vês	you see
temas	themes
serviu	served
selvagem	wild
repreensão	rebuke
purificado	purified
provar	to test
plantações	plantations
mostrarei	I will show
habitaram	inhabited
faria	would
falará	will speak
completo	full
cetro	scepter
cerimonialmente	ceremonially
Estêvão	Stephen
vivemos	we live
registrados	registered
macho	male
examinará	will examine
ensinando	teaching
dezoito	eighteen
certos	certain
abrigo	shelter
vencer	win
tumulto	riot
redes	networks
reconstruir	rebuild
possuía	had
perdoado	forgiven
ocidental	western
matado	killed
maioria	majority
lançaram	launched
jurei	I swore
fundamentos	fundamentals
especialmente	especially
defender	defend
cidadãos	citizens
arrabaldes	suburbs
ambas	both
vigia	watchman
versículos	verses
serviam	served
separar	to separate
rapidamente	quickly
preguiçoso	lazy
opróbrio	opprobrium
mensagens	messages
iguais	equal
habitarão	will inhabit
expulso	expelled
ar	air
ameaças	threats
amaldiçoar	curse
aliados	allies
abençoará	will bless
Susã	Susan
Mefibosete	Mephibosheth
velhice	old age
toneladas	tons
suave	soft
satisfeito	satisfied
rãs	frogs
procuravam	were looking for
maridos	husbands
juventude	youth
impiedade	impiety
foi-se	gone
espiões	spies
dá-me	give me
cortou	cut
Betânia	Bethany
Asdode	Ashdod
zombaria	mockery
sortes	luck
rostos	faces
perseverança	perseverance
perseguiram	chased
opinião	opinion
oleiro	potter
miséria	misery
herdeiro	heir
fértil	fertile
estendido	extended
desprezam	despise
tio	uncle
testa	forehead
sustento	sustenance
separado	separate
sentir	to feel
rins	kidneys
ofereçam	offer
libertar	free
levantado	raised
dividido	divided
Sedecias	thirsty
voltando	coming back
trabalham	work
solo	soil
sogra	mother-in-law
retirou	removed
queimaram	burned
ponham	put
mirra	myrrh
lançar	to throw
lama	mud
laços	ties
importância	importance
corrente	current
carmesim	crimson
bandeira	flag
Bete-Semes	Beth Shemesh
santíssimo	most holy
saiam	get out
