ve	And
ayrıldı	left
adak	vow
Yahudiye	Judea
Suriye	Syria
Mısırda	In Egypt
Lavan	Lavender
İbrahimin	Ibrahim's
yerleştirdi	placed
yediler	They ate
yasa	law
yakacak	fuel
viran	ruinous
vermiş	gave
taşları	stones
söylediklerini	what you said
sorumlu	responsible
sedir	cedar
milletleri	nations
kızkardeşi	sister
kuşaklar	Generations
kurtarır	saves
koyunlar	sheep
kimseye	to anyone
kendinize	to yourself
kendim	myself
kanından	from your blood
hakikat	truth
günahlarını	your sins
görevlileri	Officers
etmeyin	Don't
edildi	It was done
diyarını	land of
bedenin	your body
bağışla	forgive me
aldığı	received
Yeruşalimden	From Jerusalem
Yehoyakim	Jehoiakim
Korah	Korach
İlya	Ilya
İblis	Demon
zeytinyağı	olive oil
yüzüne	on your face
yüreğim	my heart
yollarında	on their way
virane	wrecks
vereyim	Let me give
tahtı	throne
söyliyen	Saying
sayılan	counted
sarhoş	drunk
put	idol
malını	your property
kurtaracağım	I will save
korkusu	fear
kendime	to myself
ilahlara	to the gods
herkesi	everyone
günlük	daily
günahları	sins
gönder	Send
elin	your hand
dağ	mountain
birden	suddenly
bilirsin	you know
belâ	darned
başıma	to my head
armağanlar	gifts
alarak	by taking
alacağım	I will take it
adlı	judicial
Davudu	David
Allahının	God's
şimal	north
öğrencilerine	to his students
çıkın	get out
çağırdım	I called
zamana	to time
yıkıma	to destruction
yürekten	heartfelt
yattı	slept
veriyorum	I give
uzaktan	from a distance
süt	milk
söylediler	They said
suların	of waters
sevgisi	love
sabit	still
mal	goods
kır	dirt
kâhinleri	the prophets
karşısına	opposite
kanatları	wings
günahı	sin
gizlice	secretly
derse	If the lesson
demektir	means
dağında	on the mountain
bitirince	when finished
bayram	celebration
aşiretlerine	to their tribes
arpa	barley
ansızın	suddenly
Rebeka	Rebecca
Heşbon	Heshbon
Amorlular	Amorites
İnsanın	The human being
çıkardılar	They took it out
yan	side
yaklaşıp	approaching
veririm	I will give
tohum	seed
tapınağı	temple
sınırına	to the border
putlarını	their idols
olsaydı	if it was
olmadan	without
meyve	fruit
kuşlar	birds
kul	ash
kentleri	cities
kavmının	of his people
giderken	as you go
ergeç	Sooner or later
emir	order
dökmelik	pouring
durmakta	standing still
doğrulukla	with truth
dağda	in the mountain
başkâhin	high priest
Yeruşalimin	Jerusalem
Uriya	Uriah
İsrailli	Israeli
şeylere	to things
şehirden	from the city
önünüzden	in front of you
yerlerini	their places
tümünü	all of them
sözlerimi	my words
saman	straw
peygamberleri	Prophets
oğluna	to his son
oturup	sit down
melekûtu	Kingdom
kuru	dry
kurtaracak	will save
kardeşinin	your brother
kap	container
ihtiyarları	old people
hâkim	judge
görün	See
giysi	clothes
ettiğin	you did
erkenden	early
düşecekler	they will fall
dağına	to the mountain
bununla	with this
bulur	finds
bildirdiler	They reported
babasını	his father
ateşi	fever
alev	flame
acele	rush
Keruvlar	Cherubim
Adoniya	Adonijah
Abşalom	Absalom
ırmak	river
İman	Faith
şakirtleri	disciples
ölülerden	from the dead
âsi	Vaccine
toplam	total
tarla	field
sözümü	my word
söyler	tells
sundu	presented
mısın	Are you
misiniz	Are you
koyacak	will put
kime	to who?
işlediği	processed
isteyen	wanting
hainlik	treason
günün	of the day
evlerinin	their homes
emredip	I ordered
ederiz	we do
dönsün	Let him return
defa	times
cesur	brave
buçuk	half
bilirsiniz	You know
anlayış	understanding
Hadat	Hadad
şükran	gratitude
şehirler	cities
ülkeden	from the country
önceki	former
yeli	Yeli
yabancılar	Foreigners
toprağın	of the soil
topluluğu	community
tez	thesis
söylüyorum	I'm telling you
putlara	to idols
olmadığını	there is no
kırallığı	kingdom
kardeşlerini	your siblings
kardeşlerine	to your brothers
kapılarını	your doors
kapanıp	closed
hamdedin	Praise be to God
güvenilir	Trustworthy
gördün	you saw
emek	work
dokunan	touching
değneği	stick
ayaklarının	your feet
atalarınıza	to your ancestors
adamlarını	his men
Musikacıbaşı	Music Chief
öyledir	It is so
ödünç	on loan
çadır	tent
viraneye	to ruin
uzakta	away
takdimeyi	Presentation
sunmak	to present
koydum	I put it
konuşan	speaking
konakladılar	They stayed
kana	blood
halklar	Peoples
gönderdim	I sent
geceyi	the night
garip	strange
fakir	poor
doğrudur	It is true
dokunmuş	woven
dehşete	terrified
davar	cattle
cemaati	congregation
bitirecek	will finish
beyleri	gentlemen
bedeni	body
bağırdılar	They shouted
barış	peace
bakıp	looking at
araba	car
antlaşmayı	the treaty
adil	fair
Sadok	Zadok
Manassenin	Manasseh
Kildaniler	Chaldeans
İsada	In Jesus
şefi	Chief
ölümünden	after his death
öfkeyle	angrily
çoktur	There are many
yürekleri	their hearts
yiğitler	Brave men
tarafına	to the side
sığınacak	shelter
oğulların	your sons
oturacak	will sit
otlaklarını	pastures
nunla	with nun
kardeşin	your brother
kadınları	women
içmek	to drink
içerek	by drinking
ismi	name
ilâhlara	to the gods
hayvanı	bestial
gücünü	your power
döktü	poured
duyan	Hearing
dedin	you said
bitirdi	finished
bileceksiniz	You will know
bilecekler	They will know
Yoram	I am joking
Midyan	Midian
Aramlılar	Arameans
ırmağın	the river
Şimi	Shimi
ölmüş	dead
çıkarmak	subtract
çarmıha	Crucified
zamanında	on time
yüreğin	your heart
vermişti	had given
vakitte	in time
tutar	amount
tunçtan	bronze
ten	skin
tarihinde	on date
tapınakta	in the temple
tahtına	to the throne
suçlarını	their crimes
soyuna	to his lineage
otur	sit down
mor	purple
mahkûm	Convict
kıl	hair
kadınların	women
indiler	They came down
idim	I was
götürecek	will take
giderek	increasingly
elinin	your hand
efendisi	lord
dokuzuncu	ninth
diyorsun	You say
dili	language
dağları	mountains
bölgesinde	in the region
biçim	format
bağ	bond
baktım	I looked
amacıyla	for
Yizreel	Jezreel
Mikaya	Micaiah
İşay	Jesse
şeylerini	your things
çoğu	most
yıkım	demolition
yolları	ways
yeryüzünü	the earth
yem	bait
yaşlı	old
uzattı	He extended
tutmak	to hold
tedip	discipline
tanık	witness
sıptı	tribe
sözlerle	with words
seçeceği	will choose
onuncu	tenth
olurdu	would be
kuluna	to your servant
kralı	King
koyup	put
kesildi	was cut off
hürmet	respect
hizmeti	service
halinde	in
giren	Entering
engel	obstacle
elimi	my hand
egemen	dominant
cenup	south
buradan	from here
benimdir	It's mine
başlarını	their heads
asma	suspended
aramızda	between us
akasya	acacia
Zek	Intelligence
Rut	Ruth
Aşera	Asherah
İsrailden	From Israel
şarabı	wine
çoban	shepherd
yüzümü	my face
yoksun	devoid of
verimli	productive
uyanık	awake
suya	into the water
perdenin	the curtain
mezbahı	the altar
mesh	Mesh
koyu	dark
konuştu	spoke
kesin	definite
kardeşim	my brother
kanun	law
kalıp	pattern
kalın	thick
içti	drank
haça	cross
halkıyla	with his people
görüyorum	I see
gönüllü	voluntarily
eza	torture
etmiştir	has done
emanet	deposit
eliyle	with his hand
elde	in hand
düş	shower
doldu	full
dikti	sewed
cariyesi	his concubine
bırak	leave
baban	your father
annesi	mother
altındaki	under
alacaksın	you will get
adamlara	to the men
Uzziya	Uzziah
Sayda	Sidon
RABBİNİN	OF THE LORD
Mısırın	Of Egypt
Hilkiya	Hilkiah
Allahımızın	Our God
ışığı	light
İyilik	Goodness
şimale	north
İbrahime	To Ibrahim
ölür	It is possible
çıplaklığını	your nakedness
çeken	attracting
ydı	was
yazdı	wrote
yanınıza	next to you
tutacaksınız	You will keep
tutacak	handle
toz	dust
sıkı	tight
suçu	crime
sunulan	presented
sonuna	to the end
salgın	epidemic
otlağını	pasture
kâhinlerle	with the prophets
kuş	bird
korktular	They were afraid
ketenden	from linen
kendisiyle	with himself
kardeşlerinin	your siblings
kapısının	your door
itaat	obedience
indinde	in your mind
halis	pure
güvercin	pigeon
gördüğünüz	you see
gördük	we saw
edenlere	to those who
düşmanlarını	your enemies
durur	stops
dikkatle	with care
destek	support
bildir	Report
ayakta	on foot
anlayışlı	understanding
alt	lower
Benyaminoğulları	The sons of Benjamin
şehrinde	in the city
örnek	example
çıkaracağım	I will take it out
çevresine	around
yeryüzünün	of the earth
yarattı	created
yanda	on the side
yalvardı	begged
vereceksiniz	You will give
tapınağa	to the temple
sık	chic
sayılacak	will be counted
reis	head
oymağı	tribe
olurum	I would be
olursunuz	You will be
olaylar	events
olabilir	it could be
mesrur	happy
lânetli	damned
kızının	your daughter
karıları	wives
kalkan	shield
kaldım	I stayed
kadından	from woman
inip	get off
hayır	No
haklı	right
eşyaları	stuff
ediyoruz	We do
durun	wait
diyin	say
deyin	say
cezalandıracağım	I will punish
cenuba	south
buyruklarına	to your commands
başkâhinler	high priests
atın	throw away
askerler	soldiers
alınacak	to be taken
alevlendi	flared up
adamlarına	to his men
adaleti	justice
Erdenden	From the Erden
Baaşa	Baasha
şehrine	to your city
öldürülmüş	murdered
çıkıyor	It turns out
çevirdi	turned
yığın	stack
yatan	lying down
yapacaksınız	you will do
yanımda	next to me
vermekte	giving
topraklarına	to their lands
toplantı	meeting
taziz	condolence
takdimelerini	their offerings
sözlere	to the words
söze	to the word
savaşmak	fight
sardı	wrapped
kötüler	bad guys
kurbanlar	victims
kentten	from the city
kalanlar	the rest
istiyor	wants
inen	descending
hepimiz	all of us
halkları	Peoples
gelmek	to come
ebedîdir	It is eternal
duvarı	wall
diyarının	of the land
buyruklarını	your commands
buldum	I found
ağladı	cried
ağ	network
aynısını	the same
altıncı	sixth
akıllı	clever
Şallum	Shallum
şahit	witness
öldüler	They died
öcünü	revenge
zürriyeti	offspring
yeryüzüne	to the earth
yerlerine	to their places
veba	plague
vali	governor
tâbi	subject to
tarlada	in the field
sürer	lasts
söküp	rip off
sola	left
perde	curtain
ortasından	from the middle
ordusunun	his army
olmalı	must be
kızını	your daughter
kıracağım	I will break
kurudu	dried up
karşıyım	I am against
kapları	containers
imanla	with faith
huzur	peace
hatırı	sake
hastalığı	disease
göstereceğim	I will show
görkemi	The glory
giysiler	clothes
gerektir	require
fahişelik	prostitution
duydum	I heard
diyar	land
dikili	sewn
boynuna	around your neck
biriniz	one of you
bilin	Know
ağzında	in your mouth
atlar	horses
arkasından	behind
alındı	receipt
adamının	your man
Zevulun	Zebulun
Yeroboam	Jeroboam
Timoteos	Timothy
Beytlehem	Bethlehem
İnsanların	People's
öğret	teach
öğrencileri	students
çıkaracak	will take out
yapayım	let me do it
varıp	arrive
tıraş	shaving
topraklarını	their lands
topluluk	community
toplandı	gathered
tenbih	Warning
tas	stone
sağladı	provided
saray	palace
pusuya	ambush
orayı	there
olmayın	Don't be
oldunuz	You have become
lâyık	worthy
kırın	break
kurbanları	victims
kuran	Koran
kulların	Your servants
konusunda	about
kazan	boiler
kaldılar	They stayed
işine	to your job
içecek	drink
hizmetçi	servant
hesap	bill
gideyim	let me go
gideceğim	I will go
gibisi	something like that
eş	spouse
erkekler	men
ekmeğini	your bread
ediyorsun	You do
doğmuş	born
dibine	to the bottom
değnek	staff
dağların	mountains
bilen	Knowing
bağlar	ties
ayırt	distinguish
atılacak	will be thrown away
anlayacaksınız	You will understand
Yeruşalimi	Jerusalem
Tesniye	Deuteronomy
Mısırlı	Egyptian
Levililerin	Levites
Şimon	Simon
öylece	just like that
çadırına	to your tent
zorbalık	tyranny
zafer	victory
yükseldi	rose
yel	wind
yağma	spoil
yanı	well
veriyor	gives
vardılar	They were there
topladılar	They collected
tarafı	side
sunularını	their offerings
sunağı	altar
ordugâhın	the camp
olursun	You will be
olunan	Been
olmıyacaktır	It won't happen
olduğunuzu	that you are
olandan	from what is
mesken	residence
makdis	sanctuary
lacivert	navy blue
keçi	goat
kestiler	They cut it
karşılamaya	to meet
kaplar	containers
hayvanlarını	their animals
girmek	to enter
geç	late
gayret	effort
felaket	disaster
fahişe	whore
etmesin	Don't let it
etmekte	is doing
ekmekle	with bread
duvarlı	walled
dudakları	lips
dokundu	touched
diz	knee
değer	value
canlarını	their lives
bırakın	leave it
bırakmadı	didn't leave
biliyoruz	We know
bedende	in the body
başından	from the beginning
baskı	oppression
atalarınızın	your ancestors
alsın	take it
alacaklar	They will receive
aile	family
adamla	with the man
adamdan	from the man
Mesihte	In Christ
Hoşea	Hosea
İş	Work
özel	special
çıkınca	when it comes out
çekirge	grasshopper
yücelik	Greatness
yollarına	on their way
yemin	oath
yaşar	lives
yargı	judgment
yaptırdı	had it done
yapsınlar	Let them do it
ucuna	to the end
telef	perished
taban	base
sözle	verbally
söylediğini	what you said
söyledikten	after saying
sevin	Be happy
sayıldı	counted
oğluydu	was his son
ordugah	camp
meskenin	your residence
lütuf	grace
kırdı	broke
kırallar	Kings
kâhinin	the oracle
kocamış	aged
kavga	fight
hin	indian
görkemli	splendid
göndererek	by sending
gökteki	in the sky
gidiyor	going
geçerek	passing by
gelecektir	will come
ediyorlardı	They were doing
doldurdu	filled
bulundu	found
ağacına	to the tree
ayaklarına	at your feet
avlusunda	in the yard
anlayacaklar	They will understand
anasının	mother's
Rabbe	To the Lord
şakirtlerine	to his disciples
ülkesini	his country
çenk	chenk
çadırında	in your tent
zaten	already
yoksul	poor
yeter	enough
yeryüzünden	from the earth
yanlarına	next to them
vererek	by giving
toprakta	in the soil
tepesine	to the top
tacı	crown
sözlerine	to his words
selâmetle	soundly
saldırıp	attacking
ortasına	in the middle
milletlere	to the nations
lütfen	Please
lâcivert	navy blue
kızıl	red
kırallığının	of the kingdom
kural	rule
kudret	Power
kesilip	cut off
karısına	to his wife
kara	black
kaldır	remove
işlerin	your works
işitsin	Let him hear
işitip	Hearing
iyiliği	goodness
günaha	temptation
gücüyle	with the power of
götürür	takes away
göstermek	to show
gördüğüm	I saw
giyinmiş	dressed
geldik	We came
evelki	Previous
etmiyeceksin	You won't
erguvanî	purple
emrine	to your command
emrettiğim	I ordered
doğrusu	actually
dinlemediniz	You didn't listen
dil	language
dağı	mountain
cemaatin	the congregation
bölgesine	to the region
bulup	find
bağı	connection
atıp	throw away
ateşten	from fire
atası	ancestor
adaletle	with justice
ad	name
Yeroboamın	Jeroboam
Süleymana	Suleyman
Rabde	In the Lord
Meşullam	Meshullam
Davudla	With David
Barnaba	Barnabas
Şilo	Silo
çoğaltacağım	I will multiply
çevir	translate
çadırı	tent
zeytinyağıyla	with olive oil
yılan	snake
yapmakta	doing
yanan	burning
uğrunda	for the sake of
tutun	tobacco
sıkıntıya	to trouble
soyunun	your lineage
sevdiği	He loves
sarayın	the palace
sakın	beware
rüşvet	bribe
oturmakta	sitting
ordugahın	the camp
olduk	We became
okudu	read
nitekim	thus
kısa	short
kılıcını	your sword
kutsaldır	It is sacred
kor	blind
kentlerine	to their cities
kendinden	from yourself
kenarına	to the edge
kemiklerini	your bones
karanlığa	into the darkness
kanunlarını	laws of
hayvanlardan	from animals
halktan	from the public
haksız	unfair
günahını	your sin
gözlerin	your eyes
götürüp	take away
gönderen	sender
geldikleri	they came
gazap	wrath
esvabı	clothes
emîr	order
dünyadan	from the world
durumu	situation
duman	smoke
dolusu	full of
diyeceksiniz	You will say
dalları	branches
buyrukları	commandments
boyunduruğu	yoke
biliyor	knows
biliriz	We know
bilinir	It is known
bakacak	will look
ayı	bear
Levililere	To the Levites
Koreş	Koresh
Kenanlılar	Canaanites
Allahına	To God
Ahaşveroş	Ahashverosh
İzebel	Jezebel
ırmağı	river
ölürse	if he dies
öldürecek	will kill
çıkarın	take it out
ziyadesile	very much
zamandan	from time
yılın	of the year
yüreğinin	your heart
yoğrulmuş	kneaded
yapılacak	to be done
yanlarında	next to them
ucundan	from the end
taht	throne
sun	present
sandığın	your chest
putlar	idols
pak	pure
oturduğu	sitting
olurlar	They become
oluncıya	to be done
kızın	Your daughter
kıskançlık	jealousy
kâmil	perfect
korur	protects
korktu	scared
kişiden	from person
kendilerinden	from themselves
karısının	his wife
kardeşini	your brother
içimde	inside me
isyan	rebel
istiyorsun	you want
isterse	if he wants
istediler	They wanted
imanı	faith
im	I am
hazırlayın	prepare
hayatı	vital
görmüş	seen
görev	duty
göreceksin	You will see
göke	to the sky
girecek	will enter
gereken	required
geniş	wide
ettiğiniz	you said
etmedi	didn't
döneminde	During the period
davasını	his case
canına	to your life
boyun	neck
birbirinize	each other
bilginleri	scholars
bereket	abundance
bağladı	tied
atları	horses
arzedeceksiniz	You will offer
Yoe	Nope
Yehoyakin	Jehoiachin
Yehoahaz	Jehoahaz
Erdenin	The Erden
Baruk	Baruch
Amalekliler	Amalekites
İshakın	Isaac
şeriatin	Sharia
şehirlerine	to their cities
şaştılar	They were surprised
çıkıyordu	was coming out
çıktığı	came out
çevresini	its surroundings
yıkıyacak	will destroy
yıktı	destroyed
yürümek	to walk
yolun	the road
yokken	while not there
yaşamı	life
yaptığınız	what you did
yapalım	let's do it
yaban	Wild
uzatıp	extend
uzat	Extend
toplanıp	gathered together
taşlarla	with stones
suretle	thus
sunacak	will present
sol	left
sakının	beware
saatte	per hour
ruhsal	spiritual
reisler	Chiefs
