the	ðiː	t-h-ē	ㄘㄧ	該
behind	bɪˈhaɪnd	b-i-h-ī-n-d	ㄅㄧㄏㄚㄧㄋㄉ	背後
takeoff	takeoff	t-a-k-eo-f-f	ㄉㄚㄍㄝㄛㄈㄈ	脫掉
wanderer	ˈwɒndərə	w-o-n-d-ə-r-ə	ㄨㄛㄋㄉㄦㄖㄦ	流浪者
town	taʊn	t-o-w-n	ㄉㄚㄡㄋ	鎮
roger	ˈrəʊʤə	r-ə-oo-y-ə	ㄖㄦㄡㄓㄦ	羅傑
bum	bʌm	b-u-m	ㄅㄨㄇ	屁股
ones	wʌnz	w-u-n-z	ㄨㄨㄋㄗ	那些
medals	ˈmɛdlz	m-é-d-l-z	ㄇㄜㄉㄌㄗ	獎牌
squadron	ˈskwɒdrən	s-k-w-o-d-r-ə-n	ㄙㄍㄨㄛㄉㄖㄣ	隊
saving	ˈseɪvɪŋ	s-ā-v-i-ng	ㄙㄝㄧㄈㄧㄥ	保存
wanted	ˈwɒntɪd	w-o-n-t-i-d	ㄨㄛㄋㄉㄧㄉ	通緝
stars	stɑːz	s-t-ä-z	ㄙㄉㄚㄗ	明星
action	ˈækʃ(ə)n	a-k-sh-ə-n	ㄚㄍㄕㄦㄋ	行動
lose	luːz	l-ū-z	ㄌㄨㄗ	失去
won't	wəʊnt	w-ə-oo-n-t	ㄨㄦㄡㄋㄉ	慣於
hang	hæŋ	h-a-ng	ㄏㄚㄥ	掛
hurry	ˈhʌri	h-u-r-ē	ㄏㄨㄖㄧ	匆忙
jerry	ˈʤɛri	y-é-r-ē	ㄓㄜㄖㄧ	傑瑞
retaliation	rɪˌtælɪˈeɪʃən	r-i-t-a-l-i-ā-sh-ə-n	ㄖㄧㄉㄚㄌㄧㄝㄧㄕㄣ	報復
panic	ˈpænɪk	p-a-n-i-k	ㄅㄚㄋㄧㄍ	恐慌
mustn't	ˈmʌsnt	m-u-s-n-t	ㄇㄨㄙㄋㄉ	不得
blooming	ˈbluːmɪŋ	b-l-ū-m-i-ng	ㄅㄌㄨㄇㄧㄥ	怒放
box	bɒks	b-o-k-s	ㄅㄛㄍㄙ	框
apple	ˈæpl	a-p-l	ㄚㄅㄌ	蘋果
idiot	ˈɪdɪət	i-d-ē-ə-t	ㄧㄉㄧㄦㄉ	白痴
machine	məˈʃiːn	m-ə-sh-ē-n	ㄇㄦㄕㄧㄋ	機
seems	siːmz	s-ē-m-z-	ㄙㄧㄇㄗ	似乎
attagirl	attagirl	a-t-t-a-g-ē-r-l	ㄚㄉㄉㄚㄍㄧㄖㄌ	attagirl
wine	waɪn	w-ī-n	ㄨㄚㄧㄋ	紅酒
hits	hɪts	h-i-t-s	ㄏㄧㄗ	點擊
till	tɪl	t-i-l	ㄉㄧㄌ	直到
dance	dɑːns	d-ä-n-s	ㄉㄚㄋㄙ	舞蹈
apparently	əˈpærəntli	ə-p-a-r-ə-n-t-l-ē	ㄦㄅㄚㄖㄣㄉㄌㄧ	顯然地
pulsing	ˈpʌlsɪŋ	p-u-l-s-i-ng	ㄅㄨㄌㄙㄧㄥ	脈動
heavens	ˈhɛvnz	h-é-v-n-z	ㄏㄜㄈㄋㄗ	天
ask	ɑːsk	ä-s-k	ㄚㄙㄍ	問
here's	hɪəz	h-ē-ə-z	ㄏㄧㄦㄗ	這裡的
working	ˈwɜːkɪŋ	w-û-k-i-ng	ㄨㄦㄍㄧㄥ	加工
truth	truːθ	t-r-ū-th	ㄉㄖㄨㄊ	真相
funny	ˈfʌni	f-u-n-ē	ㄈㄨㄋㄧ	滑稽
rule	ruːl	r-ū-l	ㄖㄨㄌ	規則
hard-boiled	ˈhɑːdˈbɔɪld	h-ä-d-b-o-ē-l-d	ㄏㄚㄉㄅㄛㄧㄌㄉ	煮硬
save	seɪv	s-ā-v	ㄙㄝㄧㄈ	保存
wrong	rɒŋ	r-o-ng	ㄖㄛㄥ	錯誤
favorite	ˈfeɪvərɪt	f-ā-v-ə-r-i-t	ㄈㄝㄧㄈㄦㄖㄧㄉ	喜愛
food	fuːd	f-ū-d	ㄈㄨㄉ	餐飲
double	ˈdʌbl	d-u-b-l	ㄉㄨㄅㄌ	雙
certain	ˈsɜːtn	s-û-t-n	ㄙㄦㄉㄋ	某些
lie	laɪ	l-ī	ㄌㄚㄧ	謊言
thieving	ˈθiːvɪŋ	th-ē-v-i-ng	ㄊㄧㄈㄧㄥ	偷竊
guv	gʌv	g-u-v	ㄍㄨㄈ	GUV
fish	fɪʃ	f-i-sh	ㄈㄧㄕ	魚
seen	siːn	s-ē-n	ㄙㄧㄋ	看到
meself	meself	m-e-s-e-l-f	ㄇㄝㄙㄝㄌㄈ	meself
sleep	sliːp	s-l-ē-p	ㄙㄌㄧㄅ	睡覺
element	ˈɛlɪmənt	é-l-i-m-ə-n-t	ㄜㄌㄧㄇㄣㄉ	元件
calculations	ˌkælkjʊˈleɪʃənz	k-a-l-k-y-oo-l-ā-sh-ə-n-z	ㄍㄚㄌㄍㄡㄡㄌㄝㄧㄕㄣㄗ	計算
quite	kwaɪt	k-w-ī-t	ㄍㄨㄚㄧㄉ	相當
anyway	ˈɛnɪweɪ	é-n-i-w-ā	ㄜㄋㄧㄨㄝㄧ	無論如何
built	bɪlt	b-i-l-t	ㄅㄧㄌㄉ	內置
boxes	ˈbɒksɪz	b-o-k-s-i-z	ㄅㄛㄍㄙㄧㄗ	盒子
poor	pʊə	p-ü-ə	ㄅㄡㄦ	較差的
mate	meɪt	m-ā-t	ㄇㄝㄧㄉ	伴侶
week	wiːk	w-ē-k	ㄨㄧㄍ	週
worried	ˈwʌrid	w-u-r-ē-d	ㄨㄨㄖㄧㄉ	擔心
sound	saʊnd	s-o-w-n-d	ㄙㄚㄡㄋㄉ	聲音
doesn't	dʌznt	d-u-z-n-t	ㄉㄨㄗㄋㄉ	不
today	təˈdeɪ	t-ə-d-ā	ㄉㄦㄉㄝㄧ	今天
four	fɔː	f-ô	ㄈㄛ	四
agnes	ˈægnəs	a-g-n-ə-s	ㄚㄍㄋㄦㄙ	艾格尼絲
pain	peɪn	p-ā-n	ㄅㄝㄧㄋ	疼痛
birds	bɜːdz	b-û-d-z	ㄅㄦㄉㄗ	鳥類
poultry	ˈpəʊltri	p-ə-oo-l-t-r-ē	ㄅㄦㄡㄌㄉㄖㄧ	家禽
careful	ˈkeəfʊl	k-ã-f-oo-l	ㄍㄝㄦㄈㄡㄌ	小心
flipping	ˈflɪpɪŋ	f-l-i-p-i-ng	ㄈㄌㄧㄅㄧㄥ	翻轉
obviously	ˈɒbvɪəsli	o-b-v-ē-ə-s-l-ē	ㄛㄅㄈㄧㄦㄙㄌㄧ	明顯
gals	gælz	g-a-l-z	ㄍㄚㄌㄗ	加爾斯
flapping	ˈflæpɪŋ	f-l-a-p-i-ng	ㄈㄌㄚㄅㄧㄥ	撲
perfect	ˈpɜːfɪkt	p-û-f-i-k-t	ㄅㄦㄈㄧㄍㄉ	完善
faster	ˈfɑːstə	f-ä-s-t-ə	ㄈㄚㄙㄉㄦ	更快
circles	ˈsɜːklz	s-û-k-l-z	ㄙㄦㄍㄌㄗ	界
means	miːnz	m-ē-n-z	ㄇㄧㄋㄗ	手段
twice	twaɪs	t-w-ī-s	ㄉㄨㄚㄧㄙ	兩次
perseverance	ˌpɜːsɪˈvɪərəns	p-û-s-i-v-ē-ə-r-ə-n-s	ㄅㄦㄙㄧㄈㄧㄦㄖㄣㄙ	毅力
takes	teɪks	t-ā-k-s	ㄉㄝㄧㄍㄙ	需要
either	ˈaɪðə	ī-t-h-ə	ㄚㄧㄘㄦ	或
quarters	ˈkwɔːtəz	k-w-ô-t-ə-z	ㄍㄨㄛㄉㄦㄗ	住處
outrageous	aʊtˈreɪʤəs	o-w-t-r-ā-y-ə-s	ㄚㄡㄉㄖㄝㄧㄓㄦㄙ	蠻橫的
room	ruːm	r-ū-m	ㄖㄨㄇ	房間
comfortable	ˈkʌmfətəbl	k-u-m-f-ə-t-ə-b-l	ㄍㄨㄇㄈㄦㄉㄦㄅㄌ	自在
fancy	ˈfænsi	f-a-n-s-ē	ㄈㄚㄋㄙㄧ	幻想
sister	ˈsɪstə	s-i-s-t-ə	ㄙㄧㄙㄉㄦ	妹妹
decided	dɪˈsaɪdɪd	d-i-s-ī-d-i-d	ㄉㄧㄙㄚㄧㄉㄧㄉ	決定
chick	ʧɪk	ch-i-k	ㄓㄧㄍ	小雞
kind	kaɪnd	k-ī-n-d	ㄍㄚㄧㄋㄉ	類
run	rʌn	r-u-n	ㄖㄨㄋ	跑
likes	laɪks	l-ī-k-s	ㄌㄚㄧㄍㄙ	喜歡
guy	gaɪ	g-ī	ㄍㄚㄧ	傢伙
type	taɪp	t-ī-p	ㄉㄚㄧㄅ	類型
leaving	ˈliːvɪŋ	l-ē-v-i-ng	ㄌㄧㄈㄧㄥ	離開
agree	əˈgriː	ə-g-r-ē	ㄦㄍㄖㄧ	同意
pull	pʊl	p-oo-l	ㄅㄡㄌ	拉
own	əʊn	ə-oo-n	ㄦㄡㄋ	擁有
part	pɑːt	p-ä-t	ㄅㄚㄉ	部分
cruel	krʊəl	k-r-ü-ə-l	ㄍㄖㄡㄦㄌ	殘忍
possible	ˈpɒsəbl	p-o-s-ə-b-l	ㄅㄛㄙㄦㄅㄌ	可能
point	pɔɪnt	p-o-ē-n-t	ㄅㄛㄧㄋㄉ	點
yep	jɛp	y-é-p	ㄡㄜㄅ	是的
road	rəʊd	r-ə-oo-d	ㄖㄦㄡㄉ	路
couldn't	ˈkʊdnt	k-oo-d-n-t	ㄍㄡㄉㄋㄉ	不能
whole	həʊl	h-ə-oo-l	ㄏㄦㄡㄌ	整個
chicks	ʧɪks	ch-i-k-s	ㄓㄧㄍㄙ	小雞
red	rɛd	r-é-d	ㄖㄜㄉ	紅
mister	ˈmɪstə	m-i-s-t-ə	ㄇㄧㄙㄉㄦ	先生
mind	maɪnd	m-ī-n-d	ㄇㄚㄧㄋㄉ	心神
eating	ˈiːtɪŋ	ē-t-i-ng	ㄧㄉㄧㄥ	吃
brave	breɪv	b-r-ā-v	ㄅㄖㄝㄧㄈ	勇敢
home	həʊm	h-ə-oo-m	ㄏㄦㄡㄇ	家
eyes	aɪz	ī-z	ㄚㄧㄗ	眼睛
i-i	aɪ-aɪ	ī-ī	ㄚㄧ-ㄚㄧ	我，我
made	meɪd	m-ā-d	ㄇㄝㄧㄉ	製作
english	ˈɪŋglɪʃ	i-ng-g-l-i-sh	ㄧㄥㄍㄌㄧㄕ	英語
wrapped	ræpt	r-a-p-t	ㄖㄚㄅㄉ	包裹
sprained	spreɪnd	s-p-r-ā-n-d	ㄙㄅㄖㄝㄧㄋㄉ	扭傷
rather	ˈrɑːðə	r-ä-t-h-ə	ㄖㄚㄘㄦ	寧
gotta	ˈgɒtə	g-o-t-ə	ㄍㄛㄉㄦ	總得
dark	dɑːk	d-ä-k	ㄉㄚㄍ	黑暗
rooster	ˈruːstə	r-ū-s-t-ə	ㄖㄨㄙㄉㄦ	公雞
professional	prəˈfɛʃənl	p-r-ə-f-é-sh-ə-n-l	ㄅㄖㄦㄈㄜㄕㄣㄌ	專業的
quickly	ˈkwɪkli	k-w-i-k-l-ē	ㄍㄨㄧㄍㄌㄧ	很快
you've	juːv	yü-v	ㄡㄨㄈ	你已經
heaven	ˈhɛvn	h-é-v-n	ㄏㄜㄈㄋ	天堂
chance	ʧɑːns	ch-ä-n-s	ㄓㄚㄋㄙ	機會
ducks	dʌks	d-u-k-s	ㄉㄨㄍㄙ	鴨子
fantastic	fænˈtæstɪk	f-a-n-t-a-s-t-i-k	ㄈㄚㄋㄉㄚㄙㄉㄧㄍ	奇妙
such	sʌʧ	s-u-ch	ㄙㄨㄓ	這樣
farmers	ˈfɑːməz	f-ä-m-ə-z	ㄈㄚㄇㄦㄗ	農民
farmer	ˈfɑːmə	f-ä-m-ə	ㄈㄚㄇㄦ	農民
where's	weəz	w-ã-z	ㄨㄝㄦㄗ	哪裡
ourselves	ˌaʊəˈsɛlvz	o-w-ə-s-é-l-v-z	ㄚㄡㄦㄙㄜㄌㄈㄗ	我們自己
fences	ˈfɛnsɪz	f-é-n-s-i-z	ㄈㄜㄋㄙㄧㄗ	圍欄
empty	ˈɛmpti	é-m-p-t-ē	ㄜㄇㄅㄉㄧ	空
yet	jɛt	y-é-t	ㄡㄜㄉ	然而
farmer's	ˈfɑːməz	f-ä-m-ə-z	ㄈㄚㄇㄦㄗ	農民
em	ɛm	é-m	ㄜㄇ	EM
escape	ɪsˈkeɪp	i-s-k-ā-p	ㄧㄙㄍㄝㄧㄅ	逃逸
ranks	ræŋks	r-a-ng-k-s	ㄖㄚㄥㄍㄙ	行列
settle	ˈsɛtl	s-é-t-l	ㄙㄜㄉㄌ	解決
clear	klɪə	k-l-ē-ə	ㄍㄌㄧㄦ	明確
ridiculous	rɪˈdɪkjʊləs	r-i-d-i-k-y-oo-l-ə-s	ㄖㄧㄉㄧㄍㄡㄡㄌㄦㄙ	荒謬
found	faʊnd	f-o-w-n-d	ㄈㄚㄡㄋㄉ	發現
profits	ˈprɒfɪts	p-r-o-f-i-t-s	ㄅㄖㄛㄈㄧㄗ	利潤
minuscule	ˈmɪnəskjuːl	m-i-n-ə-s-k-yü-l	ㄇㄧㄋㄦㄙㄍㄡㄨㄌ	微不足道
creatures	ˈkriːʧəz	k-r-ē-ch-ə-z	ㄍㄖㄧㄓㄦㄗ	生物
worthless	ˈwɜːθlɪs	w-û-th-l-i-s	ㄨㄦㄊㄌㄧㄙ	無用
d-oh	diː-əʊ	d-ē-ə-oo	ㄉㄧ-ㄦㄡ	D-哦
times	taɪmz	t-ī-m-z	ㄉㄚㄧㄇㄗ	時
nine	naɪn	n-ī-n	ㄋㄚㄧㄋ	九
pay	peɪ	p-ā	ㄅㄝㄧ	工資
others	ˈʌðəz	u-t-h-ə-z	ㄨㄘㄦㄗ	其他
job	ʤɒb	y-o-b	ㄓㄛㄅ	工作
big	bɪg	b-i-g	ㄅㄧㄍ	大
voila	voila	v-o-ē-l-a	ㄈㄛㄧㄌㄚ	瞧
french	frɛnʧ	f-r-é-n-ch	ㄈㄖㄜㄋㄓ	法國
coops	kuːps	k-ū-p-s	ㄍㄨㄅㄙ	合作社
beautiful	ˈbjuːtəfʊl	b-yü-t-ə-f-oo-l	ㄅㄡㄨㄉㄦㄈㄡㄌ	美麗
lovely	ˈlʌvli	l-u-v-l-ē	ㄌㄨㄈㄌㄧ	可愛
set	sɛt	s-é-t	ㄙㄜㄉ	組
hut	hʌt	h-u-t	ㄏㄨㄉ	棚屋
tonight	təˈnaɪt	t-ə-n-ī-t	ㄉㄦㄋㄚㄧㄉ	今晚
yours	jɔːz	y-ô-z	ㄡㄛㄗ	你的
five	faɪv	f-ī-v	ㄈㄚㄧㄈ	五
laid	leɪd	l-ā-d	ㄌㄝㄧㄉ	鋪設
how's	haʊz	h-o-w-z	ㄏㄚㄡㄗ	如何的
welcome	ˈwɛlkəm	w-é-l-k-ə-m	ㄨㄜㄌㄍㄦㄇ	歡迎
attention	əˈtɛnʃ(ə)n	ə-t-é-n-sh-ə-n	ㄦㄉㄜㄋㄕㄦㄋ	注意
senior	ˈsiːnjə	s-ē-n-y-ə	ㄙㄧㄋㄡㄦ	前輩
you'd	juːd	yü-d	ㄡㄨㄉ	你
scramble	ˈskræmbl	s-k-r-a-m-b-l	ㄙㄍㄖㄚㄇㄅㄌ	爭奪
pip	pɪp	p-i-p	ㄅㄧㄅ	果仁
late	leɪt	l-ā-t	ㄌㄝㄧㄉ	晚了
stuck	stʌk	s-t-u-k	ㄙㄉㄨㄍ	卡住
credit	ˈkrɛdɪt	k-r-é-d-i-t-	ㄍㄖㄜㄉㄧㄉ	信用
ard	ard	a-r-d	ㄚㄖㄉ	ARD
rats	ræts	r-a-t-s	ㄖㄚㄗ	大鼠
folk	fəʊk	f-ə-oo-k	ㄈㄦㄡㄍ	民間
biz	bɪz	b-i-z	ㄅㄧㄗ	BIZ
shot	ʃɒt	sh-o-t	ㄕㄛㄉ	射擊
thinks	θɪŋks	th-i-ng-k-s	ㄊㄧㄥㄍㄙ	想
pillock	pillock	p-ē-l-l-oc-k	ㄅㄧㄌㄌㄛㄕㄍ	pillock
gitface	gitface	g-ē-t-f-ace	ㄍㄧㄉㄈㄚㄕㄝ	gitface
thanks	θæŋks	th-a-ng-k-s	ㄊㄚㄥㄍㄙ	謝謝
pardon	ˈpɑːdn	p-ä-d-n	ㄅㄚㄉㄋ	赦免
beg	bɛg	b-é-g	ㄅㄜㄍ	求
enjoy	ɪnˈʤɔɪ	i-n-y-o-ē	ㄧㄋㄓㄛㄧ	請享用
listening	ˈlɪsnɪŋ	l-i-s-n-i-ng	ㄌㄧㄙㄋㄧㄥ	聽
mentioned	ˈmɛnʃənd	m-é-n-sh-ə-n-d	ㄇㄜㄋㄕㄣㄉ	提到
lays	leɪz	l-ā-z	ㄌㄝㄧㄗ	樂事
hatch	hæʧ	h-a-ch	ㄏㄚㄓ	孵化
conversely	ˈkɒnvɜːsli	k-o-n-v-û-s-l-ē	ㄍㄛㄋㄈㄦㄙㄌㄧ	反過來
where'dit	where'dit	w-h-e-r-e'-d-ē-t	ㄨㄏㄝㄖㄝ'ㄉㄧㄉ	where'dit
wondering	ˈwʌndərɪŋ	w-u-n-d-ə-r-i-ng	ㄨㄨㄋㄉㄦㄖㄧㄥ	想知道
crack	kræk	k-r-a-k	ㄍㄖㄚㄍ	裂紋
ha-ha	hɑːˈhɑː	h-ä-h-ä	ㄏㄚㄏㄚ	哈哈
booth	buːð	b-ū-t-h	ㄅㄨㄘ	亭
phone	fəʊn	f-ə-oo-n	ㄈㄦㄡㄋ	電話
rumba	ˈrʌmbə	r-u-m-b-ə	ㄖㄨㄇㄅㄦ	倫巴
small	smɔːl	s-m-ô-l-	ㄙㄇㄛㄌ	小
ohh	ohh	o-h-h	ㄛㄏㄏ	喔
overtake	ˌəʊvəˈteɪk	ə-oo-v-ə-t-ā-k	ㄦㄡㄈㄦㄉㄝㄧㄍ	超過
cobblers	ˈkɒbləz	k-o-b-l-ə-z	ㄍㄛㄅㄌㄦㄗ	鞋匠
eat	iːt	ē-t	ㄧㄉ	吃
cricket	ˈkrɪkɪt	k-r-i-k-i-t	ㄍㄖㄧㄍㄧㄉ	蟋蟀
play	pleɪ	p-l-ā	ㄅㄌㄝㄧ	玩
imagined	ɪˈmæʤɪnd	i-m-a-y-i-n-d	ㄧㄇㄚㄓㄧㄋㄉ	想像
imperative	ɪmˈpɛrətɪv	i-m-p-é-r-ə-t-i-v	ㄧㄇㄅㄜㄖㄦㄉㄧㄈ	勢在必行
safety	ˈseɪfti	s-ā-f-t-ē	ㄙㄝㄧㄈㄉㄧ	安全
sad	sæd	s-a-d	ㄙㄚㄉ	傷心
prang	præŋ	p-r-a-ng	ㄅㄖㄚㄥ	普朗
fearful	ˈfɪəfʊl	f-ē-ə-f-oo-l	ㄈㄧㄦㄈㄡㄌ	可怕
heading	ˈhɛdɪŋ	h-é-d-i-ng	ㄏㄜㄉㄧㄥ	標題
altitude	ˈæltɪtjuːd	a-l-t-i-t-yü-d	ㄚㄌㄉㄧㄉㄡㄨㄉ	高度
losing	ˈluːzɪŋ	l-ū-z-i-ng	ㄌㄨㄗㄧㄥ	失去
drumsticks	ˈdrʌmstɪks	d-r-u-m-s-t-i-k-s	ㄉㄖㄨㄇㄙㄉㄧㄍㄙ	鼓槌
pedaling	ˈpɛdlɪŋ	p-é-d-l-i-ng	ㄅㄜㄉㄌㄧㄥ	蹬踏
twee	twee	t-w-ee	ㄉㄨㄝㄝ	彧
bird	bɜːd	b-û-d	ㄅㄦㄉ	鳥
bombs	bɒmz	b-o-m-z	ㄅㄛㄇㄗ	炸彈
ammo	ˈæməʊ	a-m-ə-oo	ㄚㄇㄦㄡ	彈藥
giblets	ˈʤɪblɪts	y-i-b-l-i-t-s	ㄓㄧㄅㄌㄧㄗ	內臟
velocity	vɪˈlɒsɪti	v-i-l-o-s-i-t-ē	ㄈㄧㄌㄛㄙㄧㄉㄧ	速度
increase	ˈɪnkriːs	i-n-k-r-ē-s	ㄧㄋㄍㄖㄧㄙ	增加
bingo	ˈbɪŋgəʊ	b-i-ng-g-ə-oo	ㄅㄧㄥㄍㄦㄡ	答對了
scissors	ˈsɪzəz	s-i-z-ə-z	ㄙㄧㄗㄦㄗ	剪刀
goodness	ˈgʊdnɪs	g-oo-d-n-i-s	ㄍㄡㄉㄋㄧㄙ	善良
engines	ˈɛnʤɪnz	é-n-y-i-n-z	ㄜㄋㄓㄧㄋㄗ	引擎
cling-on	klɪŋ-ɒn	k-l-i-ng-o-n	ㄍㄌㄧㄥ-ㄛㄋ	攀附上
scott	skɒt	s-k-o-t	ㄙㄍㄛㄉ	斯科特
runway	ˈrʌnweɪ	r-u-n-w-ā	ㄖㄨㄋㄨㄝㄧ	跑道
mother	ˈmʌðə	m-u-t-h-ə	ㄇㄨㄘㄦ	母親
gotcha	ˈgɒʧə	g-o-ch-ə	ㄍㄛㄓㄦ	疑難雜症
miracles	ˈmɪrəklz	m-i-r-ə-k-l-z	ㄇㄧㄖㄦㄍㄌㄗ	奇蹟
cannot	ˈkænɒt	k-a-n-o-t	ㄍㄚㄋㄛㄉ	不能
power	ˈpaʊə	p-o-w-ə	ㄅㄚㄡㄦ	功率
cleared	klɪəd	k-l-ē-ə-d	ㄍㄌㄧㄦㄉ	清除
contact	ˈkɒntækt	k-o-n-t-a-k-t	ㄍㄛㄋㄉㄚㄍㄉ	聯繫
duty	ˈdjuːti	d-yü-t-ē	ㄉㄡㄨㄉㄧ	義務
reporting	rɪˈpɔːtɪŋ	r-i-p-ô-t-i-ng	ㄖㄧㄅㄛㄉㄧㄥ	報告
t	tiː	t-ē	ㄉㄧ	Ť
commander	kəˈmɑːndə	k-ə-m-ä-n-d-ə	ㄍㄦㄇㄚㄋㄉㄦ	指揮官
sausage	ˈsɒsɪʤ	s-o-s-i-y	ㄙㄛㄙㄧㄓ	香腸
aircraft	ˈeəkrɑːft	ã-k-r-ä-f-t	ㄝㄦㄍㄖㄚㄈㄉ	飛機
complex	ˈkɒmplɛks	k-o-m-p-l-é-k-s	ㄍㄛㄇㄅㄌㄜㄍㄙ	複雜
controls	kənˈtrəʊlz	k-ə-n-t-r-ə-oo-l-z	ㄍㄣㄉㄖㄦㄡㄌㄗ	控制
plane	pleɪn	p-l-ā-n	ㄅㄌㄝㄧㄋ	平面
mascots	ˈmæskəts	m-a-s-k-ə-t-s	ㄇㄚㄙㄍㄦㄗ	吉祥物
division	dɪˈvɪʒən	d-i-v-i-zh-ə-n	ㄉㄧㄈㄧㄓㄣ	師
contraption	kənˈtræpʃən	k-ə-n-t-r-a-p-sh-ə-n	ㄍㄣㄉㄖㄚㄅㄕㄣ	玩意兒
pilot	ˈpaɪlət	p-ī-l-ə-t	ㄅㄚㄧㄌㄦㄉ	飛行員
knees	niːz	n-ē-z	ㄋㄧㄗ	膝蓋
between	bɪˈtwiːn	b-i-t-w-ē-n	ㄅㄧㄉㄨㄧㄋ	之間
emergency	ɪˈmɜːʤənsi	i-m-û-y-ə-n-s-ē	ㄧㄇㄦㄓㄣㄙㄧ	急
event	ɪˈvɛnt	i-v-é-n-t	ㄧㄈㄜㄋㄉ	事件
likely	ˈlaɪkli	l-ī-k-l-ē	ㄌㄚㄧㄍㄌㄧ	容易
located	ləʊˈkeɪtɪd	l-ə-oo-k-ā-t-i-d	ㄌㄦㄡㄍㄝㄧㄉㄧㄉ	位於
exits	ˈɛksɪts	é-k-s-i-t-s	ㄜㄍㄙㄧㄗ	退出
choices	ˈʧɔɪsɪz	ch-o-ē-s-i-z	ㄓㄛㄧㄙㄧㄗ	選擇
revolting	rɪˈvəʊltɪŋ	r-i-v-ə-oo-l-t-i-ng-	ㄖㄧㄈㄦㄡㄌㄉㄧㄥ	令人作嘔
aaaah	aaaah	aaaa-h	ㄚㄚㄚㄚㄏ	AAAAH
attack	əˈtæk	ə-t-a-k	ㄦㄉㄚㄍ	攻擊
buggers	ˈbʌgəz	b-u-g-ə-z	ㄅㄨㄍㄦㄗ	壞蛋
tools	tuːlz	t-ū-l-z	ㄉㄨㄌㄗ	工具
boy	bɔɪ	b-o-ē	ㄅㄛㄧ	男孩
travel	ˈtrævl	t-r-a-v-l	ㄉㄖㄚㄈㄌ	旅行
car	kɑː	k-ä	ㄍㄚ	汽車
girl	gɜːl	g-û-l	ㄍㄦㄌ	女孩
falling	ˈfɔːlɪŋ	f-ô-l-i-ng	ㄈㄛㄌㄧㄥ	落下
myself	maɪˈsɛlf	m-ī-s-é-l-f	ㄇㄚㄧㄙㄜㄌㄈ	我
hand	hænd	h-a-n-d	ㄏㄚㄋㄉ	手
secure	sɪˈkjʊə	s-i-k-y-ü-ə	ㄙㄧㄍㄡㄡㄦ	安全
gnomes	ˈnəʊmiːz	n-ə-oo-m-ē-z	ㄋㄦㄡㄇㄧㄗ	侏儒
dickens	ˈdɪkɪnz	d-i-k-i-n-z	ㄉㄧㄍㄧㄋㄗ	狄更斯
advance	ədˈvɑːns	ə-d-v-ä-n-s	ㄦㄉㄈㄚㄋㄙ	提前
payment	ˈpeɪmənt	p-ā-m-ə-n-t	ㄅㄝㄧㄇㄣㄉ	付款
list	lɪst	l-i-s-t	ㄌㄧㄙㄉ	名單
item	ˈaɪtəm	ī-t-ə-m	ㄚㄧㄉㄦㄇ	項目
mum	mʌm	m-u-m	ㄇㄨㄇ	沉默
lady	ˈleɪdi	l-ā-d-ē	ㄌㄝㄧㄉㄧ	淑女
roosters	ˈruːstəz	r-ū-s-t-ə-z	ㄖㄨㄙㄉㄦㄗ	公雞
advisor	ədˈvaɪzə	ə-d-v-ī-z-ə	ㄦㄉㄈㄚㄧㄗㄦ	顧問
aviation	ˌeɪvɪˈeɪʃ(ə)n	ā-v-i-ā-sh-ə-n	ㄝㄧㄈㄧㄝㄧㄕㄦㄋ	航空
chief	ʧiːf	ch-ē-f	ㄓㄧㄈ	首席
manufacturing	ˌmænjʊˈfækʧərɪŋ	m-a-n-y-oo-f-a-k-ch-ə-r-i-ng	ㄇㄚㄋㄡㄡㄈㄚㄍㄓㄦㄖㄧㄥ	製造業
engineering	ˌɛnʤɪˈnɪərɪŋ	é-n-y-i-n-ē-ə-r-i-ng	ㄜㄋㄓㄧㄋㄧㄦㄖㄧㄥ	工程
handle	ˈhændl	h-a-n-d-l	ㄏㄚㄋㄉㄌ	處理
provided	prəˈvaɪdɪd	p-r-ə-v-ī-d-i-d	ㄅㄖㄦㄈㄚㄧㄉㄧㄉ	提供
fowler's	ˈfaʊləz	f-o-w-l-ə-z	ㄈㄚㄡㄌㄦㄗ	福勒
able	ˈeɪbl	ā-b-l	ㄝㄧㄅㄌ	能夠
duffed	dʌft	d-u-f-t	ㄉㄨㄈㄉ	duffed
weather	ˈwɛðə	w-é-t-h-ə	ㄨㄜㄘㄦ	天氣
go-ahead	ˈgəʊəhɛd	g-ə-ü-ə-h-é-d	ㄍㄦㄡㄦㄏㄜㄉ	前進
given	ˈgɪvn	g-i-v-n-	ㄍㄧㄈㄋ	特定
ops	ops	o-p-s	ㄛㄅㄙ	OPS
recce	recce	r-ecce	ㄖㄝㄕㄕㄝ	偵察
story	ˈstɔːri	s-t-ô-r-ē	ㄙㄉㄛㄖㄧ	故事
beautifully	ˈbjuːtəfʊli	b-yü-t-ə-f-oo-l-ē	ㄅㄡㄨㄉㄦㄈㄡㄌㄧ	精美
gorgeous	ˈgɔːʤəs	g-ô-y-ə-s-	ㄍㄛㄓㄦㄙ	華麗
ahh	ahh	a-h-h	ㄚㄏㄏ	啊
offer	ˈɒfə	o-f-ə	ㄛㄈㄦ	提供
