och	and
kämpar	fighting
börda	burden
boken	the book
barnom	children
ödmjuka	humble
tecknet	the sign
litar	trusts
lider	suffers
handlade	shopped
Nuns	Nun
vikt	weight
upprätta	establish
trädet	the tree
taket	the ceiling
någonting	anything
märkte	noticed
läto	laid back
krönika	chronicle
fest	party
deruppå	up there
bekymmer	concern
uppfyllelse	fulfillment
tjena	serve
stadga	statute
sjelf	self
leviternas	of the Levites
legat	laid
krossar	crushes
förmår	able
begynnelsen	the beginning
ankomst	arrival
synen	the sight
svåra	difficult
oro	concern
offereld	sacrificial fire
krigare	warrior
konungar	kings
fylld	filled
barmhärtig	merciful
uppmanar	urges
uppenbara	obvious
purpurrött	purple red
märke	make
frambära	present
dörrar	doors
bytet	the change
avskyr	abhor
anklaga	accuse
Filippus	Philip
ungdom	youth
lefva	live
kungliga	royal
krossas	crushed
keruberna	the cherubim
förbli	remain
dagg	dew
begrava	bury
Adonia	Adonijah
visheten	the wisdom
uppväckt	awakened
tyst	quiet
sextio	sixty
räddad	saved
romersk	Roman
mån	Mon
kungars	of kings
klaga	complain
högmod	pride
hav	sea
gröda	crop
evinnerliga	eternal
akta	beware
Ussia	Uzziah
äran	the honor
utrotas	become extinct
träden	the trees
sover	sleeping
nämliga	namely
markene	the grounds
lyfter	lifting
klagar	complains
hals	neck
förskräckt	horrified
tågade	marched
talas	spoken
sänd	sent
ståthållare	governor
skrek	screamed
rykte	reputation
omvända	reverse
hörs	can be heard
föröka	Multiply
främsta	foremost
flickan	the girl
begravdes	was buried
begravde	buried
Naftali	Naphtali
Lea	Leah
Hamat	Hamath
stötte	bumped
saken	the thing
platser	places
närvaro	presence
människas	human's
linne	linen
köpte	bought
handlingar	documents
grundtexten	the basic text
gavs	was given
drickoffer	libation
djuret	the animal
bojor	chains
antingen	either
Filippos	Philip's
velat	wanted
uppfylla	meet
tolfte	twelfth
minom	min
häst	HORSE
husen	the houses
historia	history
gömde	hid
gräset	the grass
bokrullen	the scroll
Kol 	Carbon
uppståndelsen	the resurrection
uppenbaras	revealed
träffa	meet
timmen	the hour
sörjer	mourns
stunden	the moment
silfver	silver
samtidigt	at the same time
lita	rely
grenar	branches
dens	its
troget	faithfully
samlats	collected
manteln	the mantle
lägrade	camped
förstfödda	first born
farit	gone
edert	yours
avdelning	section
Hilkia	Hilkiah
Asaf	Asaph
pelare	pillar
olyckan	the accident
läste	read
ljuger	lying
djupet	the depth
Jesum	Jesus
vek	weak
torn	Tower
minsta	smallest
eldsoffer	fire offering
deruti	out there
behagar	pleases
bada	bathe
armé	army
hjältar	heroes
grunden	the foundation
bröden	the bread
Sebulons	Zebulon
Gileads	Gilead's
Avimelek	Avimelech
utfört	performed
syfta	aim
stigar	rises
räddas	be saved
korsfäst	crucified
kläderna	the clothes
hängde	hung
huden	the skin
hjorden	the flock
heta	hot
gråter	crying
glömmer	forgets
fyllt	filled
eldoffer	fire offering
dryck	drink
arbetat	worked
ätas	be eaten
äldsta	eldest
 Tess 	 Tess
vakna	wake
stänka	splash
skrifvet	the writing
samvete	conscience
kristna	Christians
hån	mockery
gladde	rejoiced
gator	streets
avund	envy
avkomma	offspring
Pharao	Pharaoh
viss	certain
trakten	the area
såväl	as well
spetsen	the tip
skepp	Ship
oomskurna	uncircumcised
höras	be heard
gräshoppor	grasshoppers
elände	misery
cederträ	cedar
bakhåll	ambush
Gibea	Gibeah
vagnen	the cart
vackra	beautiful
tack	thanks
rök	smoke
offras	sacrificed
medarbetare	employees
hälsade	greeted
gåvan	the gift
andras	others'
ödemarken	the wasteland
vorden	became
utlämna	extradite
syntes	synthesis
sköldar	shields
månge	a lot
lärjunge	Disciple
lefver	liver
hård	hard
heligaste	most holy
glömt	forgotten
bjuder	invites
bett	bite
 med	 with
tackade	thanked
ställning	position
skära	cut
skickat	sent
rättfärdigheten	the righteousness
nio	nine
menniska	human
lätt	easy
gällde	applied
förhänget	the curtain
fjortonde	fourteenth
dottern	the daughter
brännas	burn
använde	used
tyg	fabric
tillåtet	allowed
templets	of the temple
rättfärdighetens	of righteousness
ryggen	the back
mänskliga	human
människans	man's
fullkomlig	perfect
dörr	door
budet	the bid
alls	at all
talrika	numerous
stol	chair
närmare	closer
landsmän	compatriots
kysste	kissed
förstöra	Destroy
bugade	bowed
avdelningar	departments
Lukas	Luke
stena	stone
sprider	spreads
sköt	shot
skjuta	shoot
samme	same
orättfärdighet	injustice
kallad	called
hjärtas	heart's
glans	gloss
frälsta	saved
fjorton	fourteen
öfverste	colonel
sken	light
hatade	hated
gerningar	deeds
föllo	fell
desse	these
Timotheos	Timothy
vittnesbördsens	of the testimony
tjänarna	the servants
snara	snare
smort	smeared
sjöng	sang
mest	most
höjde	raised
hvilkom	which
förlåt	Sorry
edart	species
besatt	obsessed
belägrade	besieged
begärde	requested
Pred 	Preach
Fil 	File
änkan	the widow
 Joh 	 Joh
viljen	the will
träder	trees
tackoffer	thanksgiving
sträcka	stretch
måltid	meal
ljud	sound
käre	dear
hälsa	health
felfria	flawless
evinnerligen	forever
dårar	fools
behov	needs
Josias	Josiah
vilade	rested
tillförene	add
skynda	hurry
påsk	Easter
orsak	cause
ondas	of evil
håret	the hair
hellre	rather
gyldene	the golden one
grannar	neighbors
flod	river
falsk	fake
döpa	baptize
dömas	be judged
Serubbabel	Zerubbabel
Josafat	Jehoshaphat
Hananja	Hananiah
äre	honor
tungor	tongues
tjuren	the bull
minns	remember
helighet	sanctity
fiskar	fishes
däri	therein
anser	consider
Tim	Hours
visst	Certainly
tomhet	emptiness
söderut	to the south
sändt	sent
stöd	support
plantera	plant
nämns	is mentioned
lagens	of the law
fångna	catch
fariseer	Pharisees
drager	drags
anda	spirit
Markus	Marcus
åkalla	invoke
smörja	lubricate
ordspråk	proverb
norrut	to the north
mannens	the man's
liknande	similar
hjordar	herds
domar	Judges
bryr	care
åren	the years
vanära	disgrace
tjänarinna	servant
tjur	bull
lemmar	limbs
hördes	was heard
hungrig	hungry
gudlöse	godless
brinner	burning
breda	wide
utgjuta	wreak
räknade	counted
hänga	hang
hämnas	revenge
hud	skin
främlingen	the stranger
firade	celebrated
elva	eleven
berättat	told
Shilo	Shiloh
Sebulon	Zebulon
Matteus	Matthew
överger	abandon
välsignad	blessed
tiondels	tenth
stått	stood
soldaterna	the soldiers
sabbater	Sabbaths
rättfärdiges	justified
ringa	call
molnen	the clouds
lingarn	the lingar
gatan	the street
födelse	birth
dräpte	killed
brukar	usually
Baruk	Baruch
uttryck	expression
utmed	along
tolf	twelve
natur	nature
lampa	lamp
jungfru	virgin
judisk	Jew
harpor	harps
gods	goods
församla	gather
fånge	Prisoner
besegrade	defeated
bedrövad	distressed
bedja	pray
akacieträ	acacia wood
Ruben	Reuben
Avner	Bran
överens	agree
åkallar	invokes
yngste	youngest
uthållighet	endurance
uppenbarade	revealed
tungomål	tongue
ställer	poses
släppte	released
samlat	collected
rådgivare	advisor
mycken	much
molnet	the cloud
läst	read
klädda	dressed
höllo	held
hopen	the pile
helgar	weekends
gatorna	the streets
förråd	storehouse
dåren	the fool
bestod	passed
barmhertighet	mercy
allo	bye
Psaltaren	The Psalms
 såsom	 as
ved	firewood
tycker	think
säcktyg	burlap
riva	tear
resten	the rest
regler	rules
pojke	Boy
jordiska	earthly
hoppet	the hope
glödande	glowing
gifter	poisons
famn	bosom
berättar	tells
Nineve	Nineveh
Karmel	Carmel
ärar	honors
värdig	worthy
tanke	thought
sträcker	stretches
somliga	some
slägter	relatives
skiljer	differs
sikel	shekel
ryktet	the reputation
offret	the victim
kunskapen	the knowledge
israelitiska	Israelite
hast	hurry
besöka	visit
begå	commit
arameiska	Aramaic
vitt	White
vattnen	waters
säck	sack
storhet	greatness
rösten	the voice
mål	CASE
högsta	highest
härligheten	the glory
gudsfruktan	the fear of God
fatta	take
bunden	bound
beredd	prepared
Basan	The bass
tu	you
trohet	fidelity
torka	dry
surdeg	sourdough
strängt	strictly
plundra	plunder
läsa	read
lovsjunga	sing praises
ljudet	the sound
högtider	holidays
hyddor	huts
grop	PIT
grenarna	the branches
fariséerna	the Pharisees
dörrarna	the doors
upphöja	aggrandize
ungtjur	young bull
tusend	thousand
tretio	thirty
torra	dry
nåden	the grace
njuta	enjoy
majestät	Majesty
lägre	lower
klok	Wise
förbannar	cursing
foro	forum
fikonträdet	the fig tree
bott	lived
beslutat	decided
Isaskars	Isaac's
års	year
årena	the years
utifrån	from outside
uppenbarelse	Revelation
skaror	crowds
sannerligen	indeed
hovmän	courtiers
hat	hatred
bredde	width
avkomlingar	descendants
sägandes	so to speak
möter	meets
köpt	purchased
förbjöd	prohibited
dödens	of death
drömmar	dreams
dop	baptism
bock	buck
Kain	Cain
Gomorra	Gomorrah
kedjor	chains
dödad	killed
derefter	then
öfversta	supreme
tjänsten	the service
svars	answer
stenarna	the stones
silvret	the silver
ringar	rings
omskurna	circumcised
moders	mother's
maten	the food
flicka	girl
filistéernas	of the Philistines
efoden	the ephod
önskan	desire
trygg	safe
torr	dry
oskyldig	innocent
lyckades	succeeded
kastat	thrown
hagel	hail
församlingar	congregations
föraktade	despised
fångenskapen	the captivity
friska	healthy
fettet	the fat
bäva	tremble
bittida	bite time
betydelse	importance
betyda	mean
anklagar	accuses
Seraja	Seraiah
Philisteer	Philistines
Hasael	Hazael
vandrat	wandered
uppstod	arose
törne	thorn
sattes	was set
räkning	Bill
ovänner	above friends
försvinna	disappear
fikon	fig
dödsklagan	the death lament
därinne	in there
baggen	the ram
allesammans	all of them
Jotam	Jotham
trampa	tread
tillrättavisning	reprimand
sägen	say
saknas	is missing
rikes	of the kingdom
omvändelse	conversion
nere	down
hållas	be held
fyratio	forty
dödades	was killed
blygd	pubic
amalekiterna	the Amalekites
vissnar	withers
upproriska	rebellious
sönerna	the sons
stannar	stops
skåda	behold
skickar	sends
parti	party
omöjligt	impossible
ljuvlig	lovely
kryddor	spices
jublar	cheers
gränser	borders
duvor	pigeons
drabbat	affected
bevisa	prove
bekänner	confesses
Naftalis	Naphtalis
veten	know
vaka	watch
tagen	taken
syndade	sinned
mors	mother's
kloka	wise
hvarken	neither
förgör	destroy
fåglarna	the birds
fattas	is lacking
drivit	driven
doft	fragrance
ammoniternas	of the Ammonites
Noomi	Naomi
Jak 	Yak
vittnesbördet	the testimony
ställ	rack
straffar	penalties
stormän	great men
huse	houses
förkunnat	proclaimed
framtiden	the future
fiendar	enemies
eljest	otherwise
dolt	hidden
befann	found
aska	ash
Antiokia	Antioch
översättas	be translated
välja	choose
vacker	beautiful
tjänat	served
seglade	sailed
räknades	was counted
regna	rain
lammen	the lamb
hjulen	the wheels
het	hot
förstfött	firstborn
förlåten	forgiven
flykten	the escape
dölja	hide
börjat	begun
beder	prays
Saba	Sheba
tacksägelse	Thanksgiving
synagogorna	the synagogues
stolpar	poles
smärta	pain
skyldiga	guilty
regnet	the rain
måga	seagulls
mutor	bribery
lidit	suffered
härefter	hereafter
gestalt	figure
färdigt	finished
altarets	of the altar
tillbedja	worship
slavinna	slave girl
skogen	the forest
pant	pledge
invid	within
hånade	mocked
hin	over there
gamle	old
försvara	defend
förgjorde	destroyed
dermed	thus
dels	partly
bittert	bitterly
Shemaja	Shemaiah
Levis	Levi's
Jojadas	Cheers
Hiskias	Hezekiah
Achas	Ahaz
överlämnat	submitted
säljer	selling
spela	play
skapar	creates
skaffar	acquires
rov	prey
renas	cleaned
omkull	fall over
karmosinrött	crimson red
hvilket	which
husfolk	household people
harpa	harp
förneka	deny
böd	ordered
Galiléen	Galilee
Betania	Bethany
ödmjukhet	humility
årsgammalt	year old
vissa	some
straffet	the punishment
stammarna	the tribes
prövar	trying
predikar	preaches
levitiska	Levitical
handling	action
gården	the farm
gryningen	the dawn
förmåga	ability
födda	born
fritt	free
flyttade	moved
faderlösa	fatherless
dån	roar
böja	bend
beredda	prepared
auktoritet	authority
Simons	Simon's
utförde	performed
täckte	covered
tydligt	clearly
tungt	heavy
slägt	beaten
slutit	finished
slipper	escapes
religiösa	religious
planterade	planted
märker	notices
matoffret	the food offering
lande	landed
jaga	hunt
gläds	rejoice
förbarmande	mercy
fäderna	the fathers
drömmen	the dream
bruka	farm
brann	burned
anseende	reputation
amoreerna	the Amorites
Christus	Christ
åto	eight
valde	chose
underordna	subordinate
stranden	the beach
släktled	generation
sanningens	of truth
osyrat	unleavened
omskära	circumcise
mening	sense
lyser	lights up
hugg	grab
hjelp	help
gudlösas	godless
förståndig	sensible
förklarade	explained
elfte	eleventh
döde	died
bägaren	the cup
buk	abdomen
Filippi	Philippi
ättling	descendant
välluktande	fragrant
viker	coves
varelser	creatures
vakta	guard
uppväckte	awakened
ungar	kids
tronar	thrones
skaffade	acquired
sanden	the sand
pelarna	the pillars
ordnade	arranged
människornas	of the people
menniskor	people
levandes	alive
hvart	where
gifte	married
förundrade	amazed
Seir	Victory
Apollos	Apollo
utrotade	eradicated
ståthållaren	the governor
slutat	finished
offrat	sacrificed
lopp	race
korgar	baskets
hunnit	have time
grottan	the cave
borgen	bail
bestämde	decided
Meraris	of Merari
vit	White
uppenbarelsetältets	of the tabernacle
stänkte	splashed
stjäla	steal
stig	path
skuldoffer	guilt victim
omsorg	care
mänsklig	human
ljusstaken	the candlestick
likadant	the same
krafter	forces
gravar	graves
förödelse	devastation
förskräckelse	fright
förlorat	lost
fyller	fills
brödets	of the bread
broders	brother's
Sebaots	Sabaots
öppnades	was opened
vilkas	whose
vaktade	guarded
sångarna	the singers
säckar	bags
stolt	proud
stadenom	around town
sabbatsdagen	the Sabbath day
rädsla	fear
mörkt	dark
mantlar	mantles
hjelpa	help
glömma	forget
foten	the foot
fiskarna	Pisces
fikonträd	fig tree
femtonde	fifteenth
ersättning	replacement
detsamma	the same
anfall	attack
Maaseja	Maaseya
övermod	arrogance
vinning	gain
vingården	the vineyard
uppfyllde	fulfilled
trädgård	garden
skön	nice
räcka	hand
ormen	the snake
oljo	oil
officeren	the officer
närmast	closest
modet	the fashion
midt	middle
iver	eagerness
hövding	chief
gömmer	hiding
grymhet	cruelty
förföljare	chaser
avsky	disgust
välvilja	benevolence
vakar	watches
utgivande	publishing
oskyldigt	innocently
nattena	the nights
lydnad	obedience
förlorad	lost
förkasta	reject
folkslag	peoples
dubbelt	twice
brudgummen	the groom
brud	bride
vågar	dares
väcker	wakes up
vilddjuret	the beast
vilddjur	wild animals
underlydande	subordinate
stjärnor	stars
månadenom	by the month
innebär	implies
heligas	sanctified
gåfvo	gift
gjutna	cast
förvandlas	turn
förutsagt	predicted
förnekar	denies
fromma	pious
floder	rivers
dräkt	apparel
druckit	drunk
draken	the dragon
blotta	bare
andan	the spirit
Isebel	Jezebel
törstig	thirsty
sörjde	mourned
skålar	bowls
mankön	the male gender
lyft	lift
liknelsen	the parable
inmönstrade	patterned
häpnad	amazement
griper	grabs
förs	provided
fastade	fasted
bävar	trembles
bihustru	concubine
Saulus	Saul
Sanherib	Sennacherib
Obadja	Obadiah
Kapernaum	Capernaum
åsnan	the donkey
törst	thirst
skönhet	beauty
skål	bowl
sexuell	sexual
sexton	sixteen
raseri	rage
odjuret	the beast
mästare	Master
mista	lose
kunnen	the ability
kanten	the edge
hundarna	the dogs
fyllda	filled
framförde	performed
forna	ancient
blickar	glances
besegra	defeat
andel	share
Amon	Ammon
Ahasveros	Ahasuerus
underbara	wonderful
stöter	bumps
styra	control
stormen	the storm
snaror	snares
släkten	the relatives
skriften	the writing
skott	shot
skole	school
skaka	shake
resan	the journey
närheten	the vicinity
minnas	Remember
kapitel	chapter
helvetet	hell
halva	half
förtär	consume
försäkrar	assures
förlåtna	forgiven
förleder	leads
flyter	flows
fisk	fish
andlig	spiritual
Jahve	Yahweh
Elifas	Eliphaz
vunnit	won
uppväcka	raise
tvinnat	twisted
sann	TRUE
missgärningar	misdeeds
huvudmän	principals
förvisso	certainly
förvar	custody
förmer	forms
fröjda	rejoiced
fränder	cousins
frimodigt	boldly
flesta	most
dädan	dead
dyrbar	Precious
bilder	pictures
beslöt	decided
bergsbygden	mountain village
behaga	please
bedrövade	distressed
Hanna	Hannah
Antiochia	Antioch
övergivit	abandoned
 skall	 bark
väsende	hissing
vinstock	vine
vidrigheter	abominations
straxt	immediately
smord	greased
orenat	unclean
murarna	the walls
lösen	ransom
lovar	promises
kunglig	royal
keruber	cherubs
insåg	realized
herdarna	the shepherds
församlingens	of the congregation
förklarar	explains
färd	journey
fullbordat	completed
folkena	the peoples
druvor	grapes
desslikes	the likes
Ahabs	Ahab's
ämbete	office
vaknade	woke up
sått	seeded
synders	sins
slagen	beaten
menade	meant
längtan	longing
levt	lived
komme	come
huvudmännen	the principals
hustrun	the wife
försvann	disappeared
funno	found
brinna	burn
behandla	treat
befälhavaren	the commander
amoreernas	of the Amorites
värn	protection
visas	is displayed
ull	wool
tände	lit
trängde	pushed
trons	of faith
slet	tore
skar	cut
nätter	nights
längst	farthest
lilla	small
kön	sex
häpnade	amazed
förkastar	rejects
bälte	belt
andligt	spiritual
värdigt	worthy
tusende	thousand
trött	tired
tränga	crowd
svärfar	father in law
stigit	rose
slita	tear
otrogna	infidels
nöjd	satisfied
lugn	quiet
härskara	rule
beskrivs	is described
Sakarias	Zechariah
Propheten	The prophet
ångrar	regrets
vinstocken	the vine
vanliga	usual
upphöjer	exalts
tyckte	thought
tur	tour
trampar	tramples
stum	mute
smälek	scolding
sköta	take care of
skydda	protect
segrar	wins
rasande	furious
prästernas	of the priests
måltiden	the meal
mäktigare	more powerful
halm	straw
gåvorna	the gifts
förvirring	confusion
förföljelse	persecution
botad	cured
bokrulle	scroll
basun	trumpet
allasammans	all of them
Neh 	Nah
Melkisedek	Melchizedek
ödelägga	devastate
skryta	boast
qvinnor	women
klädnad	garment
jagar	chasing
hitta	find
