از	From	z
بخصوص	Especially	bkhSwS
انسانها	Humans	nsnh
سخنش	His speech	skhnsh
نمی‌کند؛	It doesn't;	nmykhnd;
رازها	Secrets	rzh
انسانهای	Humans	nsnhy
بنا،	Building,	bn,
تشویق	Encouragement	tshwyq
تسلی‌شان	Their consolation	tslyshn
بنای	Building	bny
آرزوی	Wish	arzwy
بگویید،	Tell me,	bgwyyd,
بیایم	Let's come.	byym
بگویم،	I say,	bgwym,
نفعی	Profit	nf`y
رسانید،	Deliver,	rsnyd,
تعلیمی	Educational	t`lymy
برایتان	For you	brytn
باشم؟	Should I be?	bshm?
حتی	Even	Hty
سازهای	Instruments	szhy
بی‌جانی	Inanimate	byjny
نی	straw	ny
چنگ	harp	chng
نواهای	Tones	nwhy
مشخص	Specific	mshkhS
نیاورند،	They did not bring,	nywrnd,
نواخته	Played	nwkhth
شیپور	Trumpet	shypwr
آوای	Voice	awy
ندهد،	Don't give,	ndhd,
مهیای	Ready	mhyy
جنگ	War	jng
کلماتی	Words	khlmty
نگویید،	Don't say,	ngwyyd,
فهمید	Understood.	fhmyd
می‌مانَد	It remains.	mymnad
هوا	Air	hw
بگویید	Tell me.	bgwyyd
بی‌شک	Undoubtedly	byshkh
جهان	World	jhn
نتوانم	I can't	ntwnm
گفتار	Speech	gftr
بفهمم،	Let me understand,	bfhmm,
بیگانه‌ام	I am a stranger.	bygnhm
مشتاق	Eager	mshtq
بکوشید	Try.	bkhwshyd
ترقّی	Progress	trqWy
نماید	To give	nmyd
روحم	My soul	rwHm
عقلم	My mind	`qlm
نمی‌برد	It won't work.	nmybrd
بکنم؟	Should I do it?	bkhnm?
عقل	Wisdom	`ql
کرد؛	Kurdish;	khrd;
سرود	Anthem	srwd
خواند	Read	khwnd
مشغول	Busy	mshGwl
باشی،	Be,	bshy,
زبانت	Your language	zbnt
نمی‌فهمد	He doesn't understand.	nmyfhmd
آمین	Amen	amyn
بگوید؟	Tell me?	bgwyd?
نیکو	Good	nykhw
ترجیح	Preference	trjyH
پنج	Five	pnj
کلمه	Word	khlmh
تعلیم	Education	t`lym
هزاران	Thousands	hzrn
کودک	Child	khwdkh
نباشید،	Don't be,	nbshyd,
کردن	to do	khrdn
بالغ	Adult	blG
شریعت	Sharia	shry`t
غریب	Strange	Gryb
لبهای	Lips	lbhy
بیگانگان	Aliens	bygngn
غیر،	Other,	Gyr,
نشانه‌ای	A sign	nshnhy
بنابراین،	Therefore,	bnbryn,
آیند	Come	aynd
گویند،	They say,	gwynd,
حین	During	Hyn
ناآگاه	Unaware	nagh
مجلس	Parliament	mjls
درآیند،	Come in,	draynd,
حینی	Meanwhile	Hyny
درآید،	Come in,	drayd,
مجاب	Reply	mjb
گناهکار	Sinner	gnhkhr
گرفته،	Taken,	grfth,
رازهای	Secrets	rzhy
دلش	His heart	dlsh
آشکار	Obvious	ashkhr
نهاده،	Input,	nhdh,
پرستش	Worship	prstsh
تصدیق	Confirmation	tSdyq
نمود	Appearance	nmwd
شماست	It's yours.	shmst
نظم	Order	nZm
ترتیب	Order	trtyb
چیست،	What is it?	chyst,
برادران؟	Brothers?	brdrn?
هنگامی	When	hngmy
سرودی،	A song,	srwdy,
تعلیمی،	Educational,	t`lymy,
مکاشفه‌ای،	A revelation,	mkhshfhy,
رود	River	rwd
دو	two	dw
حداکثر	Maximum	Hdkhthr
تن،	Body,	tn,
نوبت	Turn	nwbt
بگویند	To say	bgwynd
مترجمی	Translator	mtrjmy
خاموش	Off	khmwsh
بماند	Stay	bmnd
گوید	Says	gwyd
کنند	Do	khnnd
بسنجند	Measure	bsnjnd
فردی	Individual	frdy
نشسته	Sitting	nshsth
دریافت	Receive	dryft
فرد	Person	frd
سکوت	Silence	skhwt
اختیار	Authority	khtyr
انبیا	Prophets	nby
مطیع	Obedient	mTy`
انبیاست	Prophet	nbyst
بی‌نظمی،	Disorder,	bynZmy,
صلح	Peace	SlH
آرامش	Peace	armsh
مقدسین	Saints	mqdsyn
بمانند	Stay	bmnnd
مجاز	Allowed	mjz
نیستند،	They are not,	nystnd,
مطلبی	Something	mTlby
سؤالی	Question	sw'ly
دارند،	They have,	drnd,
خانه	Home	khnh
بپرسند؛	Ask;	bprsnd;
سرچشمه	Source	srchshmh
گرفته	Taken	grfth
رسیده	Ripe	rsydh
نبی	Prophet	nby
فرمانی	Command	frmny
نپذیرد،	Do not accept,	npdhyrd,
پذیرفته	Accepted	pdhyrfth
نخواهد	Will not	nkhwhd
منع	Prohibition	mn`
مکنید	Don't do it.	mkhnyd
شایستگی	Competence	shystgy
نصیحت	Advice	nSyHt
اما	But	m
سهمی	Parabolic	shmy
برخی	Some	brkhy
ترجمه‌ها،	Translations,	trjmhh,
قسمت	Part	qsmt
آیۀ	Verse	ayhy
شروع	Start	shrw`
پاراگراف	Paragraph	prgrf
بعدی	Next	b`dy
نسخه‌ها	Versions	nskhhh
آیات	Verses	ayt
۳۵	35	35
۴۰	40	40
رستاخیز	Resurrection	rstkhyz
اما،	But,	m,
انجیلی	Evangelical	njyly
دادم	I gave	ddm
یادتان	Remember?	ydtn
آورم،	I will bring it.	awrm,
انجیل	Gospel	njyl
پذیرفتید	You accepted.	pdhyrftyd
بدان	Know	bdn
پایبندید	Adhere	pybndyd
شرط	Condition	shrT
کلامی	Verbal	khlmy
دادم،	I gave,	ddm,
دارید	You have	dryd
بیهوده	In vain	byhwdh
رسید،	Receipt,	rsyd,
مهمترین	The most important	mhmtryn
مطلب	Article	mTlb
سپردم	I handed it over.	sprdm
مطابق	According to	mTbq
کتب	Books	khtb
گناهان	Sins	gnhn
دفن	Burial	dfn
شد،	became,	shd,
مردگان	The dead	mrdgn
برخاست،	He rose,	brkhst,
ظاهر	Appearance	Zhr
دوازده	twelve	dwzdh
آن،	it,	an,
پانصد	Five hundred	pnSd
هنوز	Still	hnwz
یعقوب	Jacob	y`qwb
نیز،	Also,	nyz,
طفلی	Child	Tfly
غیرطبیعی	Abnormal	GyrTby`y
زاده	Born	zdh
رسولانْ	The apostles	rswln
کمترینم،	My least,	khmtrynm,
خوانده	Read	khwndh
شوم،	Ominous,	shwm,
آزار	Harassment	azr
هستم،	I am,	hstm,
نبوده	It wasn't.	nbwdh
کردم،	I did,	khrdm,
خودم،	Myself,	khwdm,
آنان،	They,	ann,
پیامی	A message	pymy
آوردید	You brought	awrdyd
موعظه	Sermon	mw`Zh
رستاخیزی	Resurrection	rstkhyzy
برنمی‌خیزند،	They don't get up,	brnmykhyznd,
برنخاسته	Unraveled	brnkhsth
برنخاسته،	Unraveled,	brnkhsth,
به‌علاوه،	In addition,	bh`lwh,
شاهدان	Witnesses	shhdn
دروغین	False	drwGyn
برخیزانید،	Get up,	brkhyznyd,
برنخیزانیده	Unraveled	brnkhyznydh
همچنان	Still	hmchnn
خفته‌اند،	They are asleep,	khfthnd,
زندگی	Life	zndgy
امیدواریم،	We hope,	mydwrym,
حالِ	Present	Hli
رقّت‌انگیزتر	More pathetic	rqWtngyztr
برخاسته	Risen	brkhsth
نوبر	Noob	nwbr
خفتگان	Sleepers	khftgn
پدیدار	Appearance	pdydr
گشت	Tour	gsht
آدم	Adam	adm
می‌میرند،	They die,	mymyrnd,
زنده	Live	zndh
خواهند	They will	khwhnd
نوبۀ	Turn	nwbhy
بود؛	It was;	bwd;
بعد،	Next,	b`d,
او،	He,	w,
اویند	Owind	wynd
برانداختن	To overthrow	brndkhtn
ریاست	Presidency	ryst
نیرویی،	A force,	nyrwyy,
پادشاهی	Kingdom	pdshhy
سپارد	Send	sprd
دشمنانش	His enemies	dshmnnsh
بگذارد،	Let it go,	bgdhrd,
براند	Brand	brnd
برداشته	Removed	brdshth
پاهای	Feet	phy
نهاد	Institution	nhd
گفته	Said	gfth
نهاده	Input	nhdh
روشن	Bright	rwshn
خودِ	Himself	khwdi
نهاد،	Institution,	nhd,
نمی‌گیرد	It doesn't work.	nmygyrd
پسر	Boy	psr
کل	Total	khl
نیابت	Proxy	nybt
ساعت	Clock	s`t
جان	John	jn
خطر	Danger	khTr
فخری	Fakhri	fkhry
قَسَم	Oath	qasam
کام	Mouth	khm
وحوش	Beast	wHwsh
اَفِسُس	Ephesus	afisus
دلایل	Reasons	dlyl
بوده	Been	bwdh
سودی	Profit	swdy
برده‌ام؟	Have I taken it?	brdhm?
بیایید	Come on.	byyyd
بخوریم	Let's eat.	bkhwrym
بنوشیم	Let's drink.	bnwshym
فردا	Tomorrow	frd
فریب	Deception	fryb
معاشِر	Salary	m`shir
بد،	Bad,	bd,
اخلاق	Ethics	khlq
خوب	Good	khwb
فاسد	Corrupt	fsd
سَرِ	Head	sari
گناه	Sin	gnh
مکنید؛	Don't do it;	mkhnyd;
هستند	are	hstnd
نمی‌شناسند	They don't know.	nmyshnsnd
شوید	Dill	shwyd
فسادناپذیر	Incorruptible	fsdnpdhyr
شاید	Maybe	shyd
بپرسد	to ask	bprsd
برمی‌خیزند	They rise.	brmykhyznd
بدنی	Physical	bdny
سؤال	Question	sw'l
ابلهانه‌ای	Silly	blhnhy
نمیرد	He doesn't die.	nmyrd
کالبدی	Physical	khlbdy
نمی‌کاری،	You don't plant,	nmykhry,
دانه	Seed	dnh
گندم	Wheat	gndm
دانه‌های	Seeds	dnhhy
تعیین	Determination	t`yyn
مخصوص	Special	mkhSwS
عطا	Atta	`T
جسمها	Objects	jsmh
حیوانات	Animals	Hywnt
نوعی	Some kind	nw`y
پرندگان	Birds	prndgn
دیگر؛	Other;	dygr;
ماهیها	Fishes	mhyh
جسم‌اند	They are flesh.	jsmnd
کالبدهای	Bodies	khlbdhy
آسمانی	Heavenly	asmny
زمینی	Earthly	zmyny
خورشید	The sun	khwrshyd
ماه	Moon	mh
جلالی	Jalali	jlly
ستارگان	Stars	strgn
ستاره	Star	strh
ستارۀ	Star	strhy
متفاوت	Different	mtfwt
کاشته	Planted	khshth
فسادپذیر	Corruptible	fsdpdhyr
برمی‌خیزد،	He rises,	brmykhyzd,
ذلّت	Humiliation	dhlWt
برمی‌خیزد	It rises.	brmykhyzd
ضعف	Weakness	D`f
قوّت	Strength	qwWt
طبیعی	Natural	Tby`y
انسانِ	Human	nsni
اوّل،	First,	wWl,
آدم،	Adam,	adm,
موجود	Available	mwjwd
پیدایش	Genesis	pydysh
آدمِ	Adam	admi
آخر،	Finally,	akhr,
نیامد	Didn't come	nymd
خاکی؛	Earthy;	khkhy;
آسمان	Sky	asmn
خاکی	Earthy	khkhy
واجد	Eligible	wjd
خاکیان	Earthlings	khkhyn
دارد؛	It has;	drd;
داراست،	It has,	drst,
آسمانیان	Celestials	asmnyn
یافت	Found	yft
گرفتیم،	We got it,	grftym,
وارث	Heir	wrth
فسادناپذیری	Incorruptibility	fsdnpdhyry
فرا دهید	Teach	fr dhyd
رازی	Razi	rzy
نخواهیم	We will not.	nkhwhym
خوابید،	Sleep,	khwbyd,
دگرگونه	Different	dgrgwnh
زدن،	To beat,	zdn,
صدا	Sound	Sd
آمد	Came	amd
خاست	Origin	khst
بپوشد	To wear	bpwshd
فانی	Mortal	fny
بقا	Survival	bq
آراسته	Decorated	arsth
فسادپذیر،	Corruptible,	fsdpdhyr,
پوشید	Wear	pwshyd
کلامِ	The word	khlmi
مکتوب	Written	mkhtwb
پیروزی	Victory	pyrwzy
فرو بلعیده	Swallowed	frw bl`ydh
گور،	Grave,	gwr,
مرگ،	Death,	mrg,
نیش	Bite	nysh
کجا؟	Where?	khj?
هوشع	Hosea	hwsh`
مرگْ	Death	mrg
نیروی	Force	nyrwy
گناه،	Sin,	gnh,
عزیزم،	My dear,	`zyzm,
ثابت	Fixed	thbt
بوده،	It was,	bwdh,
زحمت	Trouble	zHmt
بی‌موقع	Untimely	bymwq`
ایماندارانِ	Believers	ymndrni
وفات	Death	wft
بگیریم	Let's take	bgyrym
خوابیدن،	Sleeping,	khwbydn,
جمع‌آوری	Collection	jm`awry
هدایا	Gifts	hdy
غَلاطیه	Galatia	GalTyh
دهید	Give	dhyd
هفته،	Week,	hfth,
فراخور	Suitable	frkhwr
درآمد	Income	dramd
پولی	Money	pwly
کنار	Aside	khnr
گذاشته،	laid,	gdhshth,
پس‌انداز	Savings	psndz
آمدنم	My arrival	amdnm
شما،	You,	shm,
لزومی	Necessity	lzwmy
افراد	People	frd
تأیید	Confirmation	t'yyd
معرفی‌نامه‌هایی	Letters of introduction	m`rfynmhhyy
هدایای	Gifts	hdyy
اورشلیم	Jerusalem	wrshlym
فرستاد	Sent	frstd
صلاح	Salah	SlH
بروم،	Let me go,	brwm,
همراهی	Accompanying	hmrhy
درخواستهای	Requests	drkhwsthy
گذر	Passage	gdhr
مقدونیه	Macedonia	mqdwnyh
گذشت	Passed	gdhsht
مدتی	For a while	mdty
بمانم،	I will stay,	bmnm,
زمستان	Winter	zmstn
بگذرانم،	Let me pass,	bgdhrnm,
بتوانید	You can	btwnyd
سفرم	My trip	sfrm
مدد	Help	mdd
رسانده،	Reached,	rsndh,
مشایعت	Escort	mshy`t
دیدارتان	Your visit	dydrtn
توقفی	Stop	twqfy
باشم؛	To be;	bshm;
دارم،	I have,	drm,
دهد،	Give,	dhd,
برم	I will go.	brm
عید	Eid	`yd
پِنتیکاست	Pentecost	pintykhst
دری	Door	dry
بزرگ	Big	bzrg
خدمت	Service	khdmt
مؤثر	Effective	mw'thr
رویم	Let's go.	rwym
گشوده	Open	gshwdh
مخالفان	Opponents	mkhlfn
بسیارند	There are many.	bsyrnd
تیموتائوس	Timothy	tymwty'ws
واهمه	Fear	whmh
دیدۀ	Vision	dydhy
تحقیر	Humiliation	tHqyr
ننگرد	Don't look.	nngrd
به‌سلامتی	Hello	bhslmty
راهی	Way	rhy
سفر	Travel	sfr
بازگردد؛	Return;	bzgrdd;
اوییم	Oh my.	wyym
برادر	Brother	brdr
آپولس،	Apollos,	apwls,
ترغیب	Persuasion	trGyb
کردم	I did.	khrdm
بیاید،	Come,	byyd,
رضا	Reza	rD
نداد	Didn't give	ndd
بیاید	Come.	byyd
وقت	Time	wqt
فرصت	Opportunity	frSt
هوشیار	Alert	hwshyr
باشید؛	Be;	bshyd;
بمانید؛	Stay;	bmnyd;
نیرومند	Strong	nyrwmnd
کارهای	Works	khrhy
نخستین	First	nkhstyn
ایالت	State	ylt
اَخائیه	Achaia	akhy'yh
آوردند،	They brought,	awrdnd,
وقف	Endowment	wqf
استدعا	Request	std`
کسان	People	khsn
همکاری	Collaboration	hmkhry
اِستِفاناس،	Stephanos,	istifns,
فورتوناتوس	Fortunatus	fwrtwntws
اَخائیکوس	Achaicus	akhy'ykhws
شادمانم،	I am happy,	shdmnm,
خالی	vacant	khly
پر	Feather	pr
تازه	Fresh	tzh
ساختند	They made	skhtnd
پاس	Pass	ps
بدارید	Have it.	bdryd
سلامها	Greetings	slmh
درود‌ها	Greetings	drwdh
آسیا	Asia	asy
سلام	Hello	slm
آکیلا	Aquila	akhyl
پْریسکیلا	Priscilla	pryskhyl
کلیسایی	Church	khlysyy
منزلشان	Their home	mnzlshn
به‌گرمی	Warmly	bhgrmy
برادرانی	Brothers	brdrny
بوسۀ	Kiss	bwshy
گویید	Say	gwyyd
خط	Line	khT
دوست	Friend	dwst
ندارد،	No,	ndrd,
ملعون	Cursed	ml`wn
بیا	Come.	by
پْریسکا	Prisca	pryskh
شدۀ	Done	shdhy
مارانا،	Marana,	mrn,
تَه	Bare	tah
عبارتی	Phrase	`brty
آرامی	Peace	army
عیناً	Exactly	`ynan
برگردانده	Returned	brgrdndh
عبارت	Phrase	`brt
ماران	Snakes	mrn
اَتَه	Come	atah
موعظۀ	Sermon	mw`Zhy
فصاحت	Eloquence	fSHt
نیامدم،	I didn't come,	nymdm,
راز	Secret	rz
عزم	Determination	`zm
جزم	Dogma	jzm
بودم	I was	bwdm
ندانم	I don't know.	ndnm
ضعف،	Weakness,	D`f,
ترس	Fear	trs
لرز	Shiver	lrz
بردم،	I won,	brdm,
کلمات	Words	khlmt
گیرای	Catchy	gyry
حکیمانه	Wisely	Hkhymnh
نشد،	It didn't work,	nshd,
برهانِ	Proof	brhni
قدرت،	Power,	qdrt,
مبتنی	Based	mbtny
پنهان	Hidden	pnhn
عین	Same	`yn
بالغان	Adults	blGn
می‌پردازیم،	We will pay,	myprdzym,
حکمتی	Wisdom	Hkhmty
حاضر	Present	HDr
حکمرانان	Rulers	Hkhmrnn
زوالند،	They are declining.	zwlnd,
نهان	Hidden	nhn
آغاز	Beginning	aGz
زمان،	Time,	zmn,
مقرر	Prescribed	mqrr
نکردند،	They didn't,	nkhrdnd,
خداوندِ	God of	khdwndi
نمی‌کردند	They wouldn't	nmykhrdnd
چشمی	Eye	chshmy
ندیده،	Haven't seen it,	ndydh,
گوشی	Phone	gwshy
نشنیده،	Haven't heard,	nshnydh,
اندیشه‌ای	Thought	ndyshhy
نرسیده،	Not yet arrived,	nrsydh,
دوستداران	Lovers	dwstdrn
مهیا	Ready	mhy
ساخته،	Made,	skhth,
چیز،	thing,	chyz,
اعماق	Depths	`mq
می‌کاود	Explores	mykhwd
کیست	Who is it?	khyst
افکار	Thoughts	fkhr
آدمی	Man	admy
درون	Inside	drwn
قیاس،	Analogy,	qys,
دنیا،	world,	dny,
روحی	Spiritual	rwHy
بدانیم	Let's know	bdnym
آموختۀ	Learned	amwkhthy
می‌آموزد؛	Learns;	myamwzd;
بدین‌سان	Thus	bdynsn
حقایق	Facts	Hqyq
نفسانی	sensual	nfsny
مربوط	Related	mrbwT
نظرش	His opinion	nZrsh
قادر	Able	qdr
درکشان	Their understanding	drkhshn
نیست،	No,	nyst,
دیدگاهی	A point of view	dydghy
یارای	Ability	yry
دانسته	Knowing	dnsth
مشورت	Consultation	mshwrt
دهد؟	Give?	dhd?
داریم	We have	drym
نسخه‌های	Versions	nskhhhy
هفتادتَنان	Heptadetan	hftdtann
آمدم	I came.	amdm
تجلیِ	Manifestation	tjlyi
آفرینش	Creation	afrynsh
فکری	Intellectual	fkhry
خطور	Khattur	khTwr
نکرده	Didn't	nkhrdh
نگرش	Attitude	ngrsh
نادرست	False	ndrst
رسولان	Apostles	rswln
نتوانستم	I couldn't.	ntwnstm
نفسانی،	sensual,	nfsny,
کودکِ	Child	khwdkhi
نوزادند	They are newborns.	nwzdnd
شیر	Milk	shyr
گوشت،	Meat,	gwsht,
آمادگی	Preparation	amdgy
نداشتید	You didn't have	ndshtyd
ندارید،	You don't have it,	ndryd,
جدال	Controversy	jdl
هست،	Yes,	hst,
معمولی	Ordinary	m`mwly
نیستید؟	Aren't you?	nystyd?
کیست؟	Who is it?	khyst?
خادمانی	Servants	khdmny
کدام	Which	khdm
وظیفه‌ای	Duty	wZyfhy
سپرده	Deposit	sprdh
بذر	Seed	bdhr
کاشتم	I planted.	khshtm
آبیاری	Irrigation	abyry
کرد،	Kurdish,	khrd,
موجب	Cause	mwjb
رویش	Growth	rwysh
کارنده	Sower	khrndh
آبیاری‌کننده،	Irrigator,	abyrykhnndh,
رویاننده	Germination	rwynndh
محنتی	Hardworking	mHnty
پاداش	Reward	pdsh
همکارانی	Colleagues	hmkhrny
هستیم	We are	hstym
مزرعه	Farm	mzr`h
ساختمانی	Construction	skhtmny
خدایید	God willing	khdyyd
فیضی	Faizi	fyDy
معماری	Architecture	m`mry
ماهر	Skilled	mhr
افکندم	I threw	fkhndm
پِی،	Pay,	piy,
ساختمان	Building	skhtmn
پِیِ	Pay	piyi
پیْ	Pi	py
همانا	Indeed	hmn
طلا	Gold	Tl
نقره	Silver	nqrh
سنگهای	Stones	snghy
گرانبها	Precious	grnbh
چوب	Wood	chwb
علف	Grass	`lf
کاه	Straw	khh
بسازد،	to build,	bszd,
نتیجۀ	Result	ntyjhy
کیفیت	Quality	khyfyt
آزمود	Tested	azmwd
کاری	Curry	khry
بماند،	Stay,	bmnd,
بسوزد،	Burn,	bswzd,
زیان	Loss	zyn
دید؛	Vision;	dyd;
خودْ	Self	khwd
یافت،	Found,	yft,
برده	Slave	brdh
نمی‌دانید	You don't know.	nmydnyd
معبد	Temple	m`bd
ساکن	Resident	skhn
خراب	Broken	khrb
مدهید	Medheed	mdhyd
جاهل	Ignorant	jhl
تَرفند	Trick	tarfnd
خودشان	Themselves	khwdshn
گرفتار	Caught	grftr
ایوب	Job	ywb
اندیشه‌ورزی‌های	Thoughts	ndyshhwrzyhy
بطالت	Idleness	bTlt
محض	Pure	mHD
شماست،	It's yours,	shmst,
کیفا،	Keifa,	khyf,
زندگی،	Life,	zndgy,
آینده،	Future,	ayndh,
مسیح‌اید	You are a Christian.	msyHyd
خادمان	Servants	khdmn
مباشرانی	Stewards	mbshrny
بنگرند	Look	bngrnd
امانت	trust	mnt
انتظاری	Waiting	ntZry
مباشر	Steward	mbshr
دادگاه	Court	ddgh
انسانی	Human	nsny
چندان	Not much	chndn
مهم	Important	mhm
خویشتن	Self	khwyshtn
نمی‌کنم	I won't.	nmykhnm
عیبی	A flaw	`yby
نمی‌بینم،	I don't see it,	nmybynm,
نمی‌سازد	It doesn't make	nmyszd
نکنید	Don't.	nkhnyd
تاریکیْ	Darkness	trykhy
روشنایی	Lighting	rwshnyy
عیان	Obvious	`yn
نیّتهای	Intentions	nyWthy
دلها	Hearts	dlh
تمجید	Praise	tmjyd
تشبیهات	Analogies	tshbyht
بردم	I won.	brdm
بیاموزید	Learn	bymwzyd
فراتر	Beyond	frtr
نروید	Don't go.	nrwyd
مقابل	Opposite	mqbl
نبالد	Nebald	nbld
انگاشته	Thought	ngshth
داری	Do you have	dry
نشده	Not done	nshdh
باشد؟	Is it?	bshd?
گویی	As if	gwyy
هم‌اکنون	Right now	hmkhnwn
می‌خواستید،	You wanted to,	mykhwstyd,
دولتمند	Wealthy	dwltmnd
کاش	I wish	khsh
اندیشه‌ام	My thoughts	ndyshhm
اسیرانِ	Prisoners of	syrni
آخرِ	The end	akhri
صف	Queue	Sf
رژه‌روندگان	Paraders	rjhrwndgn
نمایش	Show	nmysh
گذاشته	laid	gdhshth
تماشاگه	Spectacle	tmshgh
تمامی	All	tmmy
جهان،	The world,	jhn,
فرشتگانیم	We are angels.	frshtgnym
جاهلیم،	Ignorant,	jhlym,
حکیمید	Hakimid	Hkhymyd
ضعیفیم،	We are weak,	D`yfym,
قوی	Strong	qwy
حقیریم،	We are humble,	Hqyrym,
محترمید	Respected	mHtrmyd
دَم	tail	dam
تشنه‌ایم،	We are thirsty,	tshnhym,
جامه‌هایمان	Our clothes	jmhhymn
مندرس	Menderes	mndrs
کتک	Beating	khtkh
آواره‌ایم	We are refugees.	awrhym
دسترنج	Handcuffs	dstrnj
معاشمان	Our livelihood	m`shmn
تأمین	Supply	t'myn
لعنمان	Damn it!	l`nmn
کنند،	Do,	khnnd,
می‌طلبیم؛	We demand;	myTlbym;
بینیم،	Let's see,	bynym,
تحمّل	Tolerance	tHmWl
ناسزا	Profanity	nsz
مهربانی	Kindness	mhrbny
پاسخ	Answer	pskh
دَم،	tail,	dam,
تُفالۀ	Tofala	tuflhy
زبالۀ	Garbage	zblhy
بدل	Alternative	bdl
نمی‌نویسم	I don't write.	nmynwysm
سازم،	My instrument,	szm,
فرزندان	Children	frzndn
دلبندم	My love	dlbndm
هشدارتان	Your warning	hshdrtn
معلّم	Teacher	m`lWm
پدرانِ	Fathers	pdrni
شدم	I became	shdm
بگیرید	Take it.	bgyryd
رو	Ru	rw
فرستادم،	I sent it,	frstdm,
فرزند	Child	frznd
محبوب	Popular	mHbwb
شیوۀ	Method	shywhy
یادآور	Reminder	ydawr
کلیساها	Churches	khlysh
گستاخ	Insolent	gstkh
به‌زودی	Soon	bhzwdy
گستاخان	Insolent	gstkhn
قدرتشان	Their power	qdrtshn
حرف	Letter	Hrf
ملایم؟	Gentle?	mlym?
مکشوف	Uncovered	mkhshwf
الهی	Divine	lhy
نامادری	Stepmother	nmdry
رابطه	Relationship	rbTh
نمی‌بایست	Shouldn't	nmybyst
ماتم	Mourning	mtm
گیرید	Take it.	gyryd
برانید؟	Drive?	brnyd?
شمایم؛	I am you;	shmym;
هم‌اکنون،	Now,	hmkhnwn,
زده	Hit	zdh
صادر	Issued	Sdr
حضورِ	The presence of	HDwri
عیسی،	Jesus,	`ysy,
شیطان	Devil	shyTn
بسپارید	Submit	bspryd
نابودیِ	Destruction	nbwdyi
