- 和所有	- and all
輕鬆出路	take the easy way out
輝煌的隔離	splendid isolation
輪到	on the turn
輪到	to a turn
輪到了	out of turn
輪式	wheeled
輪流	by turns
輪轂和輻條	hub-and-spoke
輻條	spoked
轉一下	turn something in
轉一個人	turn someone on
轉個人	turn someone in
轉出來	spin out
轉動一下	turn something around
轉句	turn of phrase
轉另一個臉頰	turn the other cheek
轉尾	turn tail
轉桌子	turn the tables
轉移	make shift
轉過來	turn about
轉過潮	turn the tide
轉過身來	turn one's back on
轉過頭頭	turn of mind
轉頭	turn heads
辜負	let down
辣	hotness
辯手	debater
迎接	take up with
迫使問題	force the issue
迷	riddler
追上	catch on
追趕	play catch-up
追趕	run after
追追	give chase
追逐的快感	the thrill of the chase
追逐遊戲	chase the game
追龍	chase the dragon
退出	back out
退出	drop out
退後	back off
退後	stand back
退後	step back
退後，退下	back down
退避	escapable
送走	send away for
送餐上門	meals on wheels
逃學	play truant
逃跑	run away
逃跑	run away with
逃避者	escaper
逃離	get away
逆來順受	grin and bear it
透明度	openness
逐漸	by degrees
這些天	these days
這些禮物	these presents
這使得我們兩個	that makes two of us
這個例外證明了這個規則	the exception proves the rule
這個詞在街上	the word on the street
這只是時間的問題	it is only a matter of time
這場可怕	awfulness
這就是cookie崩潰的方式	that's the way the cookie crumbles
這就是生命	that's life
這就是生活	this is the life
這是一個很重要的想法	it's the thought that counts
這是一個想法	that's an idea
這是一個自由的國家	it's a free country
這是你的葬禮	it's your funeral
這是怎麼回事？	what's up?
這是想法	that's the idea
這是關於它的​​大小	that's about the size of it
這本書的人	People of the Book
這樣一個	such a one
這樣做	to that effect
這樣做	to the effect that
這邊	this side of
這里和那裡	here and there
這麼多	so much for
這麼多	this much
這麼近，但到目前為止	so near and yet so far
通力合作	pull together
通水	pass water
通過	by means of
通過	by way of
通過	fall through
通過	go through with
通過jingo！	by jingo!
通過一天的時間	pass the time of day
通過不擇手段	by hook or by crook
通過他們自己	by themselves
通過判斷	pass judgement
通過婚姻	by marriage
通過它自己	by itself
通過年齡	through the ages
通過心臟	by heart
通過擴展	by extension
通過權利	by rights
通過設計	by design
通過警棍	pass the baton
通過議案	go through the motions
通過選擇	by choice
通過電線	by wire
通過鼻子付錢	pay through the nose
速度	at speed
速度	quickness
速度與激情	fast and furious
造型	shape up
造型或出貨	shape up or ship out
造波	make waves
連天	groaning
連累	troubler
連續	in a row
連連看	mix and match
進來	be in for
進來	come in
進來	come in for
進來	get in with
進來	turn in
進入	come into
進入	enter into
進入	get in
進入	go into
進入世界	come into the world
進入行動	swing into action
進入軌道	into orbit
進入違約	step into the breach
進出	in and out of
進到那裡去	get in there
進去	go in for
進口港	port of entry
進攻	offensively
進行	get on
進行中	in progress
進行交談	make conversation
進行電話	telephonically
逼真	true to life
逼近	close in
遇到	run into
遇到了	come across
遇險的小姐	damsel in distress
遊戲已經結束了	the game is up
遊戲的名稱	the name of the game
遊戲結束	game over
遊戲開始	game on
遊行	on parade
運動	motional
運動員	thrower
運行	run on
運行	up and running
運行干擾	run interference
運行節目	run the show
運行色域	run the gamut
運行鎧甲	run the gauntlet
遍	all over
遍布店鋪	all over the shop
過來	come over
過來	come through
過去	go over
過去	pass go
過去	pass over
過去了	past it
過去的事情	a thing of the past
過夜	stay over
過好每一天	seize the day
過路人	passer
道歉	with apologies to
達克	ducker
達到劃傷	up to scratch
達到星星	reach for the stars
達到標準	up to par
達標	up to the mark
違反	go against
違約承諾	breach of promise
遙遠	far off
遙遠的	far and away
遠和寬	far and wide
遠處的動作	action at a distance
遠近	far and near
遠離	far from
遣散	lay off
適可而止	enough is enough
適可而止	in moderation
適合	fit in
適合和啟動	suited and booted
適合手套	fit like a glove
適合目的	fit for purpose
適合綁定	fit to be tied
適合胸圍	fit to bust
適合賬單	fit the bill
適者生存	survival of the fittest
遲早	sooner or later
遲緩	retardation
遲遲疑疑	hesitatingly
選擇一個人	pick someone up
選擇人	chosen people
選擇器	chooser
選擇器	picker
選擇少數	chosen few
遺漏的罪	sin of omission
避開	steer clear of
邁達斯的觸摸	the Midas touch
還可以的	fairish
還押	on remand
還是全部	still and all
還是小聲	still small voice
還沒有	nor yet
邊緣	on edge
那些日子中的一天	one of those days
那些是天	those were the days
那就是東西	that's the stuff
那是平的	that's flat
那會做的	that will do
那樣	that way
那裡，然後	there and then
那裡是	there it is
那隻鳥飛了	the bird has flown
邪惡	evilly
邪惡	evilness
邪惡的眼睛	the evil eye
部分	in part
部分公司	part company
部分家具	part of the furniture
都是微笑	be all smiles
酋邦	chiefdom
酋長太多，印度人不足	too many chiefs and not enough Indians
配對	pairwise
酒吧無	bar none
酷兒	queerness
酷玩	play it cool
酸溜溜	sourish
酸痛點	sore point
酸葡萄	sour grapes
醉了	blind drunk
醉酒無序	drunk and disorderly
醉酒駕車	one for the road
醒來，嗅到咖啡	wake up and smell the coffee
重來	start over
重力火車	gravy train
重寫歷史記錄	rewrite history
重心	centre of gravity
重擊-BAM-答謝你，夫人	wham-bam-thank-you-ma'am
重新發明輪子	reinvent the wheel
重新開始	start again
重火力	big gun
野性	wildness
野獸的本性	the nature of the beast
野生和羊毛	wild and woolly
量綱	bigness
釘	nailed
針	pricker
針和針	on pins and needles
針的眼睛	the eye of a needle
釣魚考察隊	fishing expedition
鈍地	dully
鉤，線和沈沒	hook, line, and sinker
鉤狀	hook-like
銀屏	the silver screen
銅環	the brass ring
鋪平了道路	pave the way for
錄製	recordable
錐子	piercer
錐子	stabber
錘子和鉗子	hammer and tongs
錯了	in the wrong
錯誤在一邊	err on the side of
錯誤的路	the wrong way round
錯過	let slip
錯過一擊	miss a beat
鍍金匠	plater
鍍金工人	gilder
鍵控	keyed
鍵控器	keyer
鎖，庫存和桶	lock, stock, and barrel
鎖喇叭	lock horns
鎖定	latch on
鎖定	lock on to
鎖定一個人	lock someone out
鎖定一個人	lock someone out of
鎖定到	latch on to
鏃	arrowy
鐘聲和口哨	bells and whistles
鐵樣	iron-like
鑽石在粗糙	diamond in the rough
長久	muchly
長出來	grow out
長命	long live
長在樹上	grow on trees
長在牙齒裡	long in the tooth
長大	grow up
長大了	grow on
長廊	galleried
長成	grow into
長期以來	over the long haul
長袖	sleeved
閃閃發光的	glittery
閃電條紋	streak of lightning
開	openable
開啟和關閉	on and off
開始	here goes
開始	kick off
開始	start in
開始	start on
開始	to begin with
開始	to start with
開始一個家庭	start a family
開始一點	start something
開始吧	get in on
開心地跳	jump for joy
開捕	catchable
開方	squarer
開槽	groover
開溜	bugger off
開火	go on fire
開火	open fire
開火了	fire away
開玩笑	jokingly
開玩笑	make fun of
開盤硬盤	drive a hard bargain
開航	make sail
開著玩笑	kiddingly
開裂	get cracking
開設店鋪	set up shop
間隔	at intervals
間隔	spacer
闖入	break into
關係不好	poor relation
關係到	relative to
關係詞的	relatival
關心	care of
關掉	cop off
關掉	turn off
關於	lay about
關於	up and about
關於什麼	what about
關於時間	about time
關於生與死的問題	a matter of life and death
關注中心	centre of attention
關閉一個人的工具包	get one's kit off
關閉但沒有雪茄	close but no cigar
關閉彈出	pop off
關閉書	close the books
關閉袖口	off the cuff
關閉記錄	off the record
關閉限制	off limits
防守	defensively
防禦	defensiveness
阻力最小的路徑	the path of least resistance
阿爾法和歐米茄	alpha and omega
附議者	seconder
除了	apart from
除了	aside from
除了	with the exception of
除了以外	all but
除了以外	anything but
除了名字之外	in all but name
除廚房水槽以外的一切	everything but the kitchen sink
除此之外	beside the point
陪審團出來了	the jury is out
陰晴圓缺	ups and downs
陰暗的	darksome
陰沉和厄運	gloom and doom
陷入困境	get hitched
陸續	in succession
陽光之光	ray of sunshine
陽光明媚的一面朝上	sunny side up
陽光直射	sunniness
隆重	grandly
階級行為	class act
隔壁	next door to
隨傳隨到	on call
隨意	at will
隨時隨地	as - go 
隨機	at random
隨機	randomly
隨機性	randomness
隨著	along with
隨著烏鴉飛逝	as the crow flies
隨身攜帶	go around with
隱藏深度	hidden depths
雄心勃勃	eager beaver
雇主	hirer
雌性	femaleness
雕刻機	engraver
雙手	pair of hands
雙程街	two-way street
雙翅片	gilled
離地圖	off the map
離很遠	nowhere near
離校	leave school
離線	out of line
離船	off the boat
離開	away with
離開	be away
離開	be off
離開	get away with
離開	get out of
離開	leave go
離開	leave off
離開	make away with
離開了腳	off one's feet
離開岩石	get one's rocks off
離開搖桿	off one's rocker
離開某人	leave someone be
離開機架	off the rack
離開牆	off the wall
離開者	leaver
離開這個生活	depart this life
離開門	leave the door open
離開電網	off the grid
雷迪	reddy
電力走廊	the corridors of power
電擊	shockable
電話	telephonic
需求	in demand
需要	in need of
需要一定	needs must
露出光芒	shed light on
露骨地	baldly
霸占	hogger
靈性	spirituality
靈性	spiritually
靈魂的窗戶	the windows of the soul
青春的泉源	the fountain of youth
靜水流深	still waters run deep
非常	grossly
非常	strongly
非常開心	over the moon
非線性	non-linearity
靠自己	on one's own
靠近	close by
靠近	close with
靠近心臟	close to one's heart
靠近骨頭	close to the bone
面對	faced
面對面	face off
面對面	to one's face
面對音樂	face the music
面無表情	blankly
面目全非	beyond recognition
靴子和所有	boots and all
靴子在地上	boots on the ground
靶向	targetable
鞋皮	shoe leather
鞠躬	bow out
鞦韆和迂迴	swings and roundabouts
鞭子	whips of
鞭手	the whip hand
鞭打	lash down
鞭打	whip in
鞭打某人的屁股	whip someone's ass
鞭打裂	crack of the whip
鞭狀	whip-like
鞭笞者	lasher
韌性	toughness
音樂的球體	music of the spheres
響亮地	out loud
響度	loudness
頂一下	to top it all
頂了	top out
頂嘴	talk back
頂級美元	top dollar
頂部	up top
頂部和尾部	top and tail
順便	in passing
順便一提	by the way
順其自然	go with the flow
順利	go well
順從	humbleness
順從	in obedience to
順我者昌逆我者亡	my way or the highway
順道	come by
預算	budgetary
頑皮	naughtily
頑皮	naughtiness
領	necked
領先	get ahead
領先	get the lead out
領先	lead off
領先	line ahead
領先一步	one step ahead
領先領域	lead the field
頭先	head first
頭和肩膀上面	head and shoulders above
頭暈	dizziness
頭暈目眩	the dizzy heights
頭會滾	heads will roll
頭骨和交叉骨	skull and crossbones
頭髮	haired
頭髮頭	head of hair
頰	cheeked
顆粒感	grainer
類似猿猴	apelike
類型	in type
顯示力量	show of force
顯示手	show of hands
顯示方式	show the way
顯示某人是老闆	show someone who's boss
顯著	conspicuously
風前	before the wind
風景的變化	change of scenery
風的變化	the wind of change
風雨同舟	through thick and thin
飛向面前	fly in the face of
飛在	fly at
飛得高	fly high
飛揚	flappy
飛旗	fly the flag
飛濺下來	splash down
飛濺出來	splash out
飛行	fly the coop
食宿	bed and board
食物思想	food for thought
飯菜：沒有調味汁	sauceless
飲水	waterer
首先	at first
首先	first of all
首先	in the first place
首先是最重要的	first and foremost
首先關閉	first off
首當其衝	bear the brunt of
馬上	right away
馬克爵士	Lord Muck
馬樣	horse-like
馬課程	horses for courses
騎牆	sit on the fence
騎起來	ride up
騎過去	ride roughshod over
騎霰彈槍	ride shotgun
騎高	ride high
驕傲	prideful
驚人	strikingly
驚喜，驚喜	surprise, surprise
驚嚇	take fright
骯髒	dirtiness
骰子死亡	dice with death
體育用品	sporter
體面	decently
高和低	high and low
高地	the high ground
高漲	run high
高而乾燥	high and dry
高而強大	high and mighty
高聲	loudly
高貴	nobleness
高跟	heeled
高跟鞋	head over heels
高跟鞋熱	hot on the heels of
高跳線	high jumper
鬆弛	looseness
鬆弛地	loosely
鬆懈	slackness
鬆鬆垮垮	slackly
鬍子	whiskered
魄力	boldness
魅力	loveliness
魔鬼的細節	the devil's in the detail
魔鬼要付錢	the devil to pay
魚形	fishlike
魚或切餌	fish or cut bait
鮑勃和編織	bob and weave
鮑勃為蘋果	bob for apples
鳥和蜜蜂	the birds and the bees
鳥樣	bird-like
鴨和潛水	duck and dive
鵝卵石	pebbled
麵包和水	bread and water
麵包和葡萄酒	bread and wine
麵包和馬戲團	bread and circuses
麵包師十幾個	baker's dozen
麻布和灰燼	sackcloth and ashes
麻煩和衝突	trouble and strife
黃銅猴	brass monkey
黃銅脖子	brass neck
黎明的裂縫	crack of dawn
黑	blackness
黑乎乎	darkish
黑了	black out
黑暗中總有一線光明	every cloud has a silver lining
黑色	blackish
黑色的黑	black-on-black
黑衣人	men in black
默認	by default
默默	silently
默默地	dumbly
點亮	be light on
點亮	light up
點亮	lit up
點亮保險絲	light the fuse
點對點	righter
點擊	on tap
點擊到位	click into place
點燃火	light a fire under
點頭的土地	the land of Nod
點點頭	on the nod
黽	strider
鼓起勇氣	nerved
鼻	nosed
鼻子到尾巴	nose to tail
齒形	toothed
