og	and
sandhed	truth
samvittighed	conscience
samtidig	simultaneously
salvet	anointed
rigtige	right
regnen	the rain
prøvede	tried
pengene	the money
optændtes	lit up
opbrændte	burned up
områder	areas
lægges	is laid
kræve	require
hjulpet	helped
havets	of the sea
gråd	crying
fårene	the sheep
fuldstændig	complete
fremtid	future
fremføre	perform
forstand	sense
fisk	fish
fejre	celebrate
drevet	driven
blæse	blow
anledning	occasion
an	on
Aasyn	Appearance
ødelagte	broken
ulydighed	disobedience
udrakte	stretched out
tilintetgøre	destroy
synke	sink
surdej	sourdough
smukke	beautiful
sky	cloud
overtage	take over
oprejse	rise
omvender	converts
normalt	normally
mistet	lost
masse	lot
klæde	cloth
jødernes	the Jews
ikkun	only
hånet	mocked
ha	have
græs	grass
fængslet	imprisoned
fællesskab	community
forsvandt	disappeared
forkyndt	proclaimed
forfærdelige	terrible
forfædres	ancestors
forbarme	have mercy
foragter	despise
folkene	the people
flygter	fleeing
faderløse	fatherless
endelig	finally
dyrkede	cultivated
bestå	pass
apostle	apostles
adspredte	scattered
Jojadas	Jehoiada
Faarene	The sheep
åbnede	opened
uldent	woolly
udfører	performs
tilladt	allowed
tidlig	early
talrige	numerous
tak	thanks
syndige	sinful
skyerne	the clouds
segl	seal
samtlige	all
saadanne	such
røst	voice
profetiske	prophetic
plantet	planted
mæt	satiated
måneder	months
modtage	receive
knuse	crush
juble	cheer
indbyrdes	among themselves
højland	highland
helligede	consecrated
giftede	married
genopbygge	rebuild
fylder	fills
festen	the party
falden	fallen
elsket	loved
ejede	owned
efterkommer	descendant
drev	drive
dommere	judges
delte	shared
bæger	cup
bringes	brought
besøg	visit
besejret	defeated
begyndt	begun
bedt	prayed
aske	ash
annammede	accepted
Zekarja	Zechariah
Viisdom	Wisdom
Seraja	Seraiah
Natan	Nathan
Naftalis	Naphtali
Mitzpa	Mitzpah
Gomorra	Gomorrah
Ahabs	Ahab's
æsel	donkey
undkomme	escape
tyvende	twentieth
turde	dare
tjent	earned
sønnen	the son
særlige	special
staaer	stands
spredt	scattered
seng	bed
rejst	raised
passer	fits
oprigtige	sincere
opløfte	lift up
ondes	evil
nøgen	naked
køer	cows
korsfæstet	crucified
ifølge	according to
hængte	hung
fyrster	princes
fulgt	followed
fugle	birds
forbandet	cursed
fjende	enemy
evighed	eternity
dommer	judge
dommens	of the judgment
direkte	direct
bønner	beans
betroet	trusted
ben	leg
belagt	coated
barnet	the child
assyrerkongen	the king of Assyria
antal	number
annamme	accept
Mizpa	Mizpah
Elkana	Elkanah
Assyriens	Assyria
tilladelse	permission
takkede	thanked
stole	chairs
sover	sleeping
smaat	small
rækker	rows
regnskab	accounting
regner	rain
priser	prices
port	gate
nærmeste	nearest
månen	the moon
muligvis	possibly
mening	opinion
læste	read
kornet	grainy
judæere	Judeans
iførte	wore
hvornår	when
hilsen	greeting
grænsen	the border
grunden	the reason
grebet	the grip
føler	feel
frugtbare	fertile
forfar	ancestor
derind	in there
beskrevet	described
arbejdede	worked
andres	other people's
amoritterne	the Amorites
Hustrus	Wife
Hungeren	The hunger
ypperstepræst	high priest
ydmygede	humiliated
viger	retreats
varetage	to take care of
udgaa	exit
tørt	dry
trygt	safely
tages	taken
støv	dust
straffede	punished
stjernerne	the stars
stak	stack
smuk	beautiful
provinsen	province
pile	arrows
overtog	took over
oppe	up
oplevet	experienced
okser	oxen
næsten	almost
nærme	approach
nordlige	northern
modtog	received
menighed	congregation
maaske	perhaps
maalte	measured
læse	read
lytter	listening
krigen	the war
kappe	cloak
judæerne	the Judeans
istandsatte	refurbished
høster	harvester
græder	crying
færd	journey
fuglene	the birds
fortæret	devoured
dækkede	covered
drømme	dream
berede	prepare
arme	arms
agter	stern
advarede	warned
Kain	Cain
Fædrenehuse	Ancestral houses
Baals	Baal's
Akabs	Ahab
Ahazja	Ahaziah
ædes	eaten
åndeligt	spiritually
undervisning	education
trængte	needed
synger	sings
støde	bump
støbte	molded
strømme	flows
stred	fought
spredte	scattered
sov	slept
slaae	beat
skinnende	shiny
sanke	collect
saadan	such
redning	rescue
ramte	hit
personer	people
overflod	abundance
ordene	the words
opbrænde	burn up
omhyggeligt	carefully
offergaver	offerings
mælk	milk
motiver	motifs
mands	man's
kyssede	kissed
kaster	throws
jøde	Jew
jordiske	earthly
hænger	hangs
hvilede	rested
historie	history
handling	action
glemte	forgot
generationer	generations
fuldkommet	perfect
frivilligt	voluntarily
forsvinder	disappears
forstaar	understand
forsamlede	assembled
enke	widow
egyptiske	Egyptian
dyrene	the animals
drukket	drunk
børnene	the children
blaat	blue
besejrede	defeated
aramæerne	the Arameans
annammer	accepts
agte	consider
adgang	access
Timoteus	Timothy
Hamat	Hamath
værdig	worthy
virkeligheden	reality
toppen	the top
telte	tents
syntes	seemed
stamfar	ancestor
spist	eaten
solnedgang	sunset
skreg	scream
rigdomme	riches
plejede	used to
plage	torment
pagten	the pact
oversættes	translated
nedskrevet	written down
menneskes	human
livets	of life
klædte	dressed
hævne	avenge
hævn	revenge
hvori	in which
guvernør	governor
glemmer	forgets
fuldkomne	perfect
fuldkommes	perfect
frygtelig	terrible
forsamlingen	the assembly
foragtet	despised
fjernede	removed
firsindstyve	eighty
fedtet	greasy
ejendele	belongings
dømte	convicted
discipel	disciple
cedertræ	cedar
bortført	abducted
betalt	paid
belejrede	besieged
befri	free
bedst	best
arvelod	inheritance
Paaske	Easter
Middelhavet	Mediterranean
Koras	Korah
Kanaʼan	Canaan
Forgaarden	The front yard
Cæsarea	Caesarea
Azarja	Azariah
ødelægges	destroyed
æret	honored
væddere	rams
vogne	wagons
vejledning	guidance
vandret	horizontal
undergang	doom
uddrive	expel
uanset	regardless
tænkt	thought
time	hour
tilsvarende	corresponding
styrtede	crashed
solgt	sold
slagtes	slaughtered
sikker	sure
regerer	reigns
overleve	survive
opsøgte	sought out
omliggende	surrounding
mægtigt	mighty
modstandere	opponents
ler	clay
købt	bought
kunnet	could
klog	wise
ingenlunde	not at all
højene	the hills
håne	mock
græsk	Greek
fødsel	birth
fælder	traps
fuldstændigt	completely
fremstille	manufacture
fortsat	continued
forstandig	wise
forhænget	the curtain
flyttede	moved
fedt	fat
druer	grapes
dansk	Danish
dannede	formed
bundne	tied
beredte	prepared
behagelig	pleasant
befolkningen	the population
apostlene	the apostles
angaaende	concerning
anbragt	placed
afgrødeofre	crop sacrifices
Shemaja	Shemaiah
Seirs	Seir
Nafthali	Naphtali
Libna	Libnah
Krøn	Crown
Filip	Philip
værdi	value
vidnesbyrd	testimony
valgt	chosen
tyre	bulls
sække	sack
styrkede	strengthened
stav	rod
stadfæste	confirm
sejlede	sailed
nærmere	closer
morgenen	the morning
monne	monk
lydige	obedient
krigsbytte	spoils of war
knogler	bones
kjendte	famous
kastes	thrown
kameler	camels
instrukser	instructions
indsatte	inmates
ihjelslaa	killed
iført	wearing
hånede	mocked
hiin	this
hertil	to this
hadede	hated
gavner	benefits
gader	streets
funden	the discovery
forfærdet	horrified
foragt	contempt
erkende	acknowledge
døbte	baptized
dybere	deeper
bevaret	preserved
begrove	bury
Vei	Road
Semaja	Shemaiah
Mikal	Michal
Kirjat	Kiryat
Fædrenehus	Ancestral house
Asener	Donkeys
ædelsten	gemstone
åndelig	spiritual
undslippe	escape
udøste	pour out
udgangne	exits
tænder	teeth
tunge	tongue
træder	steps
totalt	totally
tilfreds	satisfied
tider	times
takofre	thanksgiving offerings
syndere	sinners
stene	stones
sort	black
skue	spectacle
skinne	shine
skavanker	defects
siges	is said
salige	blessed
saasom	as if
råds	council
reiste	traveled
rammes	hit
porten	the gate
paladsets	the palace
omskåret	circumcised
nævnt	mentioned
nej	no
klage	complaint
katastrofe	disaster
indviede	initiated
indtaget	consumed
indsat	inserted
hængt	hung
hviler	resting
hvid	white
hilse	greet
græsmarker	grasslands
frie	free
forbindelse	connection
fester	parties
erobre	conquer
ens	similar
elskelige	lovable
drømte	dreamed
brønden	the well
boe	live
begår	commits
begraven	buried
befriede	liberated
andens	someone else's
alting	everything
Uzzija	Uzziah
Krønikers	Chronicles
Ismael	Ishmael
Hanna	Hannah
vorder	become
vildt	wild
varede	lasted
udlevere	hand over
trænger	needs
søns	son's
særligt	especially
synagogen	the synagogue
skyen	the cloud
sejren	the victory
sammenkaldte	convened
røve	rob
rejsen	the journey
prægtige	magnificent
opdagede	discovered
nuværende	present
nederste	bottom
mord	murder
menneskelig	human
løbet	the race
kvinderne	the women
kundgjort	announced
kroppen	the body
korset	the cross
indgik	entered
iføre	wear
husk	remember
hugget	chopped
grundlagde	founded
føle	feel
fysiske	physical
fryder	rejoices
forvente	expect
fornuft	reason
forkaster	rejects
enddog	evendog
efterlod	left behind
efterhånden	gradually
dødsriget	the realm of the dead
dødens	death
dårligt	bad
dygtige	skilled
dvs	that is
drikofre	drink offerings
dragne	drawn
draget	drawn
drag	pull
dels	partly
bredden	width
blæser	fan
betaling	payment
belønning	reward
almindeligt	common
aftenen	the evening
afgrødeoffer	crop offering
advare	warn
aargamle	years old
Meraris	Merari's
Jizreʼel	Jezreel
Gerningen	The deed
Gedalja	Gedaliah
Amazia	Amaziah
Ahasverus	Ahasuerus
ødemarken	the wilderness
ædt	eaten
åbenbart	obviously
væsener	creatures
vogter	guardian
visne	wither
vises	appears
ve	woe
udskaarne	carve out
uddrage	extract
tårer	tears
tvunget	forced
troskab	fidelity
tilbade	worship
teksten	the text
sønderrev	tear apart
svigtet	failed
støbt	molded
spidsen	the tip
roligt	calm
regnet	rain
profetisk	prophetic
plantede	planted
periode	period
overgivet	surrendered
orden	order
omsorg	care
neden	below
møder	meetings
menighederne	the congregations
menighedens	the congregation
lænker	chains
lyse	bright
ly	shelter
lovpriste	praised
levendes	living
kundskab	knowledge
kundgjorde	announced
kongerne	the kings
ihu	inside
hård	hard
hyrder	shepherds
glædes	rejoice
færdige	finished
fuldendt	completed
forbander	curse
foragtede	despised
farisæere	Pharisees
dyrebare	precious
bøde	fine
boligen	the home
bevæbnede	armed
betaler	pays
beordrede	ordered
behandle	treat
begærede	desired
bedrag	deception
angrebet	the attack
alvorligt	seriously
altre	altar
alterets	altar
aabenbares	to be revealed
Røsten	The voice
Overhaand	Overhand
Nebats	Nebat
Mosesʼ	Moses
Livkjortlen	The waistcoat
Karmel	Carmel
Isaj	Jesse
Deel	Share
Beʼersheba	Beersheba
Beersaba	Beersheba
Asael	Asahel
Amatzja	Amatja
Ai	Oh, oh
åben	open
vredes	angry
villige	willing
uret	wrong
underlagt	subject to
udøst	poured out
trøst	comfort
tryggelig	safe
traf	hit
tilligemed	also
tilføjede	added
søvn	sleep
sølvstykker	silver pieces
sød	sweet
sælger	seller
synet	sight
sydlige	southern
svaret	the answer
stjålet	stolen
stiller	poses
stikke	stick
spreder	spreads
spises	eaten
soldaterne	the soldiers
smukt	beautiful
skriv	write
skjul	hide
skjolde	shields
profeterede	prophesied
parate	ready
par	couple
overensstemmelse	conformity
overdraget	transferred
oprigtigt	sincerely
opgive	abandon
nedbryde	break down
lejre	camps
lejlighed	opportunity
ingenting	nothing
indenfor	inside
ihjelslog	killed
hån	mockery
hvede	wheat
huske	remember
herhen	here
haver	gardens
grundlag	basis
gid	wait
følg	follow
fædres	father's
fundament	foundation
forrige	previous
forlanger	demands
forkastede	rejected
forkaste	reject
forfærde	terrify
fordrev	expelled
foragte	despise
englene	the angels
endda	even
dronning	queen
derpå	then
derom	about that
båden	the boat
byg	barley
budskaber	messages
bedrøvede	sad
bedrage	deceive
babylonierne	the Babylonians
angår	concerns
angriber	attacker
anført	stated
almindelige	common
aks	axis
aflagde	passed
accepterer	accepts
aabenbare	reveal
Viin	Wine
Nordrigets	The Northern Kingdom
Leviternes	The Levites
Jojakin	Jehoiachin
Issakars	Issachar
Hesbon	Heshbon
Fædrenehusene	The ancestral houses
Fortørnelse	Resentment
Brændofret	Burnt offering
Adonija	Adonijah
Ægypternes	The Egyptians
ypperste	supreme
visner	withers
virke	work
vinder	winner
usikker	uncertain
udrydder	exterminator
udpeget	appointed
udgyde	shed
udbredt	widespread
tvang	coercion
trækker	pulls
tilsvoret	sworn
søgt	searched
svag	weak
stænkede	splashed
stået	stood
stående	standing
stede	present
sprede	spread
slægtsoverhoveder	heads of families
slægtning	relative
skåne	spare
skjold	shield
skar	cut
skade	damage
skabe	create
sikre	ensure
riger	kingdoms
plyndre	plunder
overtale	persuade
overlevende	survivor
opstaae	arise
nidkær	zealous
medlidenhed	pity
løst	solved
luften	the air
liggende	lying down
kræfter	strength
knuser	crusher
kjendt	known
gudløses	godless
fór	before
frimodig	bold
friede	proposed
frelses	saved
fortæres	devoured
fortvivlet	desperate
fortræd	harm
fordærve	corrupt
fjernet	removed
fastsatte	determined
erstatning	compensation
enker	widows
døe	die
dommen	the verdict
byrde	burden
bygges	built
bogrullen	the scroll
billeder	pictures
beslog	concluded
behold	keep
begravede	buried
bedrifter	achievements
bedrager	deceiver
avlet	bred
annammet	hired
angaar	concerns
agtede	considered
afgrøder	crops
Zerujas	Zerujah
Zebulons	Zebulun
Urias	Uriah
Uria	Uriah
Sakaria	Zechariah
Persien	Persia
Noʼomi	Naomi
Jahve	Yahweh
Hananja	Hananiah
Gedalia	Gedaliah
Forhaanelse	Insult
Baand	Band
Antiokia	Antioch
Amon	Ammon
åbenbaringsteltets	of the tabernacle
tåbelige	foolish
sådanne	such
sultne	hungry
snuble	stumble
slut	end
riges	rich
regnede	rained
opløfter	uplifter
oplade	charge
omvendte	inverted
nødvendigt	necessary
nærvær	presence
nægtet	denied
mødes	meet
måltidet	the meal
mulighed	possibility
løver	lions
lyttede	listened
lovsynge	praise
ligne	resemble
ligget	lay
lettere	easier
lamme	paralyze
krav	requirement
kostbarheder	valuables
kilde	source
jebusitterne	the Jebusites
høi	high
hævede	raised
huden	the skin
hjord	herd
gemt	saved
følte	felt
fødes	to be born
fryd	joy
forstaae	understand
forsamling	assembly
formaar	able
forlangte	demanded
floder	rivers
flod	river
fatte	grasp
erobrede	conquered
ed	oath
døbe	baptize
blåt	blue
bevise	prove
behage	please
assyriske	Assyrian
angst	anxiety
amalekitterne	the Amalekites
Rolighed	Calmness
Næstes	Next
Nebukadnezars	Nebuchadnezzar's
Nazaret	Nazareth
Jojakims	Jehoiakim
Datters	Daughters
Amoriternes	The Amorites
Almægtiges	Almighty
Ageren	The action
ører	ears
åg	yoke
Øie	Eye
vingårde	vineyards
vande	water
undgå	avoid
underlige	strange
udleveret	handed over
udholdenhed	endurance
tørst	thirst
tredjedel	third
tjeneren	the waiter
tillade	allow
syner	visions
støtte	support
springe	skip
snubler	stumbles
småkvæg	small cattle
slipper	escape
skønne	beautiful
skød	lap
skygge	shade
skyde	shoot
seksuel	sexual
redskaber	tools
påske	Easter
prædike	preach
personligt	personally
paakalde	call
opstanden	risen
oprigtig	sincere
ophøjer	exalts
noten	the note
navnene	the names
nar	when
naa	reach
myrdede	murdered
liste	list
lammet	paralyzed
kraftige	powerful
kast	throw
håret	the hair
hovmod	pride
hilsener	greetings
halvdel	half
gælde	apply
grebe	grab
gjører	does
gemte	saved
gaden	the street
fødslen	the birth
frugter	fruits
friste	tempt
friske	fresh
fremover	in the future
forsvar	defense
forordninger	regulations
forladte	abandoned
fjortende	fourteenth
fastede	fasted
fangenskab	captivity
etårs	one-year-old
dygtig	skilled
bue	bow
brud	break
brevet	the letter
bjergland	mountain country
beskyttelse	protection
bed	pray
alder	age
Ziklag	Zigzag
Thronen	The throne
Steen	Stone
Makedonien	Macedonia
Efesos	Ephesus
Asafs	Asaph
Abija	Abijah
østlige	eastern
ældre	older
voldsomme	violent
vejede	weighed
undtagen	except
udbreder	propagates
træet	the tree
troet	believed
tempelpladsen	temple square
stjerner	stars
spor	track
spare	save
sluttet	closed
slag	blow
skikke	customs
ry	reputation
retfærdigheden	justice
rensede	cleaned
purt	pure
punkt	point
præsternes	the priests
pletten	the stain
overbevist	confident
ophøjede	exalted
nøgne	naked
nede	down
mørkt	dark
midjanitterne	the Midianites
lur	nap
kongelig	royal
kilder	sources
kald	call
husker	remembers
hul	hole
holdes	held
himmel	sky
herres	men's
helliger	sanctifies
grav	grave
gifter	poisons
genopstå	resurrect
fortsætter	continues
forstandige	sensible
formaner	exhort
forfærdeligt	terrible
forfærdedes	horrified
forfulgt	persecuted
fordums	ancient
flyve	fly
dækket	covered
duer	pigeons
drukne	drown
deltage	participate
bunden	bottom
blotte	bare
betydningen	the meaning
beser	be careful
bereder	prepares
bedraget	deceived
altsammen	all together
afgrøde	crop
adspørge	inquire
Septuaginta	Septuagint
Obadja	Obadiah
Maʼaka	Ma'aka
Maanen	The moon
Kades	Kadesh
Jeshua	Yeshua
Jeftha	Jephthah
Himmeriges	Heavenly
Djævle	Devils
Daarlighed	Foolishness
Abishaj	Abishai
Aaret	The year
ændre	amend
årlige	annual
årets	this year
året	the year
yderligere	further
værdighed	dignity
voldsom	violent
vinen	the wine
vidnede	testified
vides	known
uretfærdig	unfair
undgår	avoids
undertrykt	suppressed
ulykken	the accident
udstrakte	stretched out
udrakt	stretched out
udfri	deliver
tøjet	the clothes
tænk	think
tåbeligt	foolishly
trøster	comforts
træerne	the trees
tryghed	security
truede	threatened
tilgiv	forgive
tilbords	to the table
strede	strait
slagtet	slaughtered
skælver	trembles
skælve	tremble
rørt	touched
renser	cleaner
rage	to stretch
prædikede	preached
panik	panic
overholder	complies
overgav	surrendered
ovenpå	upstairs
opsyn	supervision
opstod	arose
ondskaben	the evil
omringet	surrounded
offentligt	public
nærhed	proximity
nyder	enjoying
nogensinde	ever
nedstammer	descends
mærker	brands
måder	ways
lukker	closes
lokke	lure
lignende	similar
laver	makes
lamperne	the lamps
kraftigt	strong
kostelige	precious
keruber	cherubs
høsten	the harvest
højtid	holiday
håber	hope
hoveder	heads
hilser	regards
herligt	glorious
hellighed	holiness
halsen	neck
genoprette	restore
gengæld	in return
gemme	save
fortærende	devouring
fortabt	lost
forsvundet	disappeared
forståelse	understanding
fornægte	deny
forhallen	the hallway
forgården	the front yard
forbrydelse	crime
flygtet	fled
figner	figs
erklære	declare
erkender	recognizes
dræber	killer
dragen	the dragon
deler	shares
bøjer	bends
byde	bid
brødet	the bread
