㑫	nộm
𦹳	thơm
𦹴	bìm
𦹵	cỏ
𦹶	vối
𦹷	bụi
𦹸	dền
𦹹	nhài
𦹺	rác
𦹻	dâm
𦺓	trầu
𦼃	sắng
𦼇	úa
𦼔	lều
𦼚	lùm
𦼛	sắn
𦼜	sắn
𦼝	nẫu
𦼞	dưa
𦼟	khay
𦼠	súng
𦼥	dứa
𦼨	cũ
𦽔	om
𦽰	tranh
𦾠	dưa
𦾢	rậm
𦾣	chồi
𦾤	dó
𦾥	vừng
𧀏	súng
𧀐	gồi
𧀑	giống
𧀒	non
𧀓	rú
𧀜	sam
𧀞	trái
𧀟	đầy
𧀨	lốp
𧁴	ghém
𧁵	vỏ
𧁶	giền
𧁷	khó
𧁸	vừng
𧁹	khó
𧁺	rườm
𧂁	chện
𧂄	rườm
𧃋	dưa
𧃌	rạp
𧃵	đắng
𧃶	muống
𧃷	khoai
𧃽	ứng
𧄈	rêu
𧄊	han
𧄲	mo
𧄳	kiệu
𧄴	ngồng
𧄵	rạp
𧅕	rạp
𧅫	rác
𧅬	men
𧅭	muống
𧆄	thuốc
𧈣	nái
𧉙	trùn
𧉚	vắt
𧉝	cáy
𧉻	bạng
𧊉	bướm
𧊊	nhộng
𧊋	thằn
𧊌	chão
𧊎	vắt
𧊐	trút
𧊕	nhông
𧋀	chấu
𧋁	nhái
𧋂	vò
𧋃	chuồn
𧋄	còng
𧋅	rận
𧋆	dòi
𧋇	chạch
𧋍	chét
𧋘	đỉa
𧋟	mối
𧋵	cuống
𧋶	mọt
𧋷	ghẹ
𧋸	trạnh
𧋹	giời
𧋺	chấy
𧋻	lằn
𧋼	nhộng
𧋽	mang
𧋾	ộp
𧋿	khoải
𧌀	thằn
𧌂	bọ
𧌎	đẻn
𧍅	sứa
𧍆	cua
𧍇	sứa
𧍈	đóm
𧍉	đỉa
𧍊	giời
𧍋	ngài
𧍌	chẫu
𧍍	rầy
𧍎	hôn
𧍏	cua
𧍐	rầy
𧍴	gián
𧎛	đọt
𧎜	ốc
𧎝	chấu
𧎠	rận
𧎴	rết
𧎷	sò
𧏯	nhúc
𧏰	sam
𧏱	đóm
𧏲	rết
𧏳	bọ
𧏴	choi
𧏵	rồng
𧏶	rận
𧏷	nhúc
𧐖	lươn
𧐸	điu
𧐹	dời
𧐺	thuồng
𧐻	nhồi
𧐼	chẫu
𧐽	róm
𧐾	bọ
𧐿	sùng
𧑁	sam
𧑂	cáy
𧑃	ngao
𧑅	vét
𧑆	chàng
𧑐	quít
𧑒	giun
𧒅	bướm
𧒇	sâu
𧒉	rùa
𧒊	ráy
𧒋	rọm
𧒌	rùa
𧒍	rùa
𧓅	nòng
𧓆	chuồn
𧓇	riện
𧓏	hầu
𧓭	mèn
𧓮	vích
𧓯	ngoé
𧓰	sam
𧔙	bậu
𧔚	còng
𧔛	nhặng
𧔜	rạm
𧔾	giòi
𧔿	điu
𧕀	vích
𧕚	trai
𧕬	rẽ
𧕭	rạm
𧖃	hến
𧖐	róm
𧖦	mọi
𧖰	máu
𧖱	máu
𧗅	mủ
𧘇	ấy
𧘸	xòn
𧙻	lốt
𧙼	rách
𧙽	truồng
𧚟	váy
𧚠	sống
𧚢	xống
𧚭	mền
𧛆	đụp
𧛇	tràng
𧛈	lụn
𧛉	may
𧛊	rách
𧛋	nệm
𧛌	vạt
𧛞	hò
𧛶	đãy
𧛷	tơi
𧜐	trễ
𧜖	chăn
𧜗	mớ
𧜘	viền
𧜙	xống
𧜵	đai
𧜹	xười
𧜺	bâu
𧜻	đũng
𧝦	rách
𧝧	chẻn
𧝨	chéo
𧝩	toàng
𧞊	dải
𧞋	rèm
𧞣	yếm
𧞤	toạc
𧞥	nòi
𧞴	địu
𧞾	mặc
𧞿	rách
𧟀	chẽn
𧟁	viền
𧟝	vạt
𧠅	úp
𧡊	thấy
𧢑	dớn
𧢟	nghiến
𧣠	chánh
𧣧	dia
𧣲	cạnh
𧣳	góc
𧤁	sừng
𧤂	sừng
𧤥	kèn
𧤭	ba
𧤸	mám
𧤹	thoi
𧥃	chọi
𧥇	còi
𧥔	va
𧦔	ghế
𧦕	kể
𧦖	đồn
𧦿	béng
𧧀	ngoa
𧧯	khoang
𧫼	mơ
𧯄	hang
𧯅	hang
𧯵	phộng
𧯶	há
𧰗	nành
𧰜	chòng
𧰦	ụt
𧱺	ỷ
𧲫	cọp
𧲼	beo
𧳇	cọp
𧳘	hùm
𧴋	beo
𧴤	bói
𧴱	nợ
𧵆	gần
𧵟	quà
𧶄	dành
𧶫	biếu
𧶬	đắt
𧶭	buôn
𧶮	của
𧶯	cõng
𧷝	xoe
𧷸	mua
𧷹	tậu
𧷺	tròn
𧸒	vủi
𧸓	chứa
𧸝	bán
𧸰	khềnh
𧸺	còng
𧸻	búi
𧹅	nghèo
𧹋	vay
𧹟	đà
𧹥	đỏ
𧹦	đỏ
𧹪	son
𧹫	lòm
𧹰	hường
𧹱	thắm
𧹻	đỏ
𧹼	đỏ
𧹿	tím
𧺀	thắm
𧺁	thắm
𧺂	đổ
𧺃	đỏ
𧺕	rượt
𧻐	đuổi
𧻚	cản
𧻩	rảo
𧻪	nhông
𧻭	dậy
𧼋	chạy
𧼌	chạy
𧼍	lanh
𧽇	dấy
𧽈	dấy
𧾌	trốn
𧾿	tréo
𧿐	chen
𧿑	nhắc
𧿨	trở
𧿫	dấu
𧿬	nhón
𧿭	vết
𧿺	xoắt
𨀈	bước
𨀊	dậng
𨀋	sẩy
𨀌	lánh
𨀍	dùng
𨀎	lộp
𨀏	đến
𨀐	rong
𨀑	ngoáy
𨀒	vó
𨀕	đi
𨀤	chọi
𨀰	băng
𨀹	giạng
𨀺	lết
𨀻	nhòng
𨀼	rảo
𨀽	ríu
𨀾	nhỡ
𨀿	cẳng
𨁋	đậu
𨁍	rén
𨁎	choành
𨁘	choải
𨁝	buột
𨁡	noi
𨁥	đủ
𨁦	lõng
𨁧	noi
𨁨	cuống
𨁩	bả
𨁪	dấu
𨁫	lỉa
𨁬	duỗi
𨁭	rảo
𨁮	lần
𨁯	xếch
𨁰	xụi
𨁱	vã
𨁲	ập
𨁼	bon
𨂔	dọc
𨂕	lồm
𨂖	khập
𨂗	co
𨂘	rầm
𨂙	ghềnh
𨂚	rón
𨂼	rẽ
𨃈	cẳng
𨃉	giãy
𨃊	nhổm
𨃋	ríu
𨃌	giày
𨃍	tọt
𨃎	lồm
𨃏	xăm
𨃐	giày
𨃑	khoèo
𨃕	sộc
𨃫	nhảo
𨃰	cồm
𨃴	gót
𨃵	chỗm
𨃶	ghếch
𨃷	chúc
𨃸	xông
𨃹	lảng
𨃺	nập
𨃻	lết
𨃼	tọ
𨃽	nhúc
𨃾	xửng
𨄁	đâm
𨄂	lứng
𨄉	sững
𨄊	té
𨄑	bậc
𨄞	chóng
𨄟	đùi
𨄠	tắt
𨄳	bò
𨄴	sụp
𨄵	sạo
𨄶	dạng
𨄷	sững
𨄸	đỉnh
𨄹	dạo
𨄺	chui
𨄻	dận
𨄼	dời
𨄽	hổm
𨄾	ghé
𨄿	giong
𨅀	lệp
𨅁	sụp
𨅂	mọp
𨅃	xồng
𨅄	nhón
𨅇	tòi
𨅉	lửng
𨅍	rén
𨅐	què
𨅞	nhấp
𨅥	bay
𨅮	đua
𨅰	chững
𨅷	dọi
𨅸	đứng
𨅹	trèo
𨅺	chổm
𨅻	khèo
𨅼	láy
𨅽	lòn
𨅾	sụm
𨅿	vượt
𨆂	khúm
𨆏	đuổi
𨆒	choạng
𨆓	cầm
𨆝	cúi
𨆞	lỏng
𨆟	đủng
𨆠	quày
𨆡	dép
𨆢	lôi
𨆣	vợn
𨆤	quằn
𨆥	tuốn
𨆶	bò
𨆷	đuổi
𨆸	ngoèn
𨆹	giạt
𨆺	vêu
𨆾	xẹt
𨆿	gác
𨇀	khiễng
𨇉	leo
𨇍	lẻn
𨇑	bải
𨇒	lủi
𨇓	gượm
𨇗	sịch
𨇛	đủ
𨇜	đủ
𨇣	lôm
𨇬	sóm
𨇵	nhào
𨇶	khụy
𨇷	ngoẹo
𨇸	chồm
𨇹	ống
𨈒	vóc
𨉑	rình
𨉓	mình
𨉞	lưng
𨉟	mình
𨉠	bắn
𨊋	mẩy
𨊌	lăn
𨋣	bánh
𨋤	so
𨌀	nhẹ
𨍄	cộ
𨍦	sau
𨎆	so
𨎞	ngáo
𨎟	trước
𨎠	trước
𨏄	nhẹ
𨏧	so
𨐮	cay
𨐷	chát
𨐸	đắng
𨐺	nồng
𨐿	chát
𨑗	trên
𨑜	xuống
𨑮	mười
𨑻	đem
𨒒	mười
𨒟	đong
𨒸	chuồn
𨒹	bạch
𨒺	quanh
𨒻	đuổi
𨓐	lạ
𨓑	nghểnh
𨓡	lùng
𨓢	ngót
𨔈	chơi
𨔉	gỡ
𨔊	suốt
𨔌	co
𨔍	lạ
𨔾	chở
𨔿	chục
𨕀	địt
𨕭	trên
𨖅	sang
𨖧	mau
𨖨	rời
𨖩	quýnh
𨖲	lên
𨖼	chóng
𨗊	đò
𨗛	chầu
𨗜	nhanh
𨗮	mặn
𨗵	địt
𨘗	đuổi
𨘘	vã
𨘱	nhanh
𨙌	tít
𨙍	kéo
𨙖	suốt
𨙛	chóng
𨙝	lui
𨙥	xoảng
𨛦	quẩn
𨠉	tăm
𨠣	chuếnh
𨠲	giấm
𨠳	gây
𨠴	sưa
𨠵	xoàng
𨡈	choáng
𨡉	dấm
𨡊	miệt
𨡧	choạng
𨡨	gây
𨡼	giấm
𨢇	rượu
𨢟	cay
𨢥	mặn
𨢻	miền
𨢼	mến
𨣤	giấm
𨣥	dấu
𨤔	vẻ
𨤧	lẽ
𨤮	dặm
𨤯	chồng
𨤰	nhẽ
𨤵	dặm
𨤻	nhẽ
𨤼	nặng
𨥿	chảo
𨦀	kéo
𨦁	sã
𨦙	lề
𨦥	chì
𨦦	vỡ
𨦧	nén
𨦩	vòng
𨦭	lao
𨦽	rảng
𨧆	bửa
𨧝	đẵn
𨧟	nhẫn
𨧠	gang
𨧢	bịt
𨧣	xớt
𨨅	hoắt
𨨠	cuốc
𨨤	khép
𨨦	mai
𨨧	thép
𨨨	chiêng
𨨪	chẻ
𨨫	hái
𨩖	lình
𨩠	tĩn
𨪀	mỏ
𨪝	kền
𨪞	thuổng
𨫄	băm
𨫅	lon
𨫇	chũm
𨫈	chọc
𨫉	thìa
𨫊	sắt
𨫋	cồng
𨫪	han
𨫵	cuốc
𨬈	mạ
𨬉	dùi
𨬊	giáo
𨬋	miểng
𨭍	bay
𨭏	choang
𨭑	thuổng
𨭒	choang
𨭡	thau
𨭺	cốm
𨮇	bung
𨮈	hom
𨮉	cùn
𨮊	đâm
𨮋	giũa
𨮌	rựa
𨮍	vằm
𨮎	lạp
𨮐	nhọn
𨮑	thoi
𨮒	muỗng
𨮵	muổng
𨮶	vếu
𨮹	thiếc
𨮻	rèn
𨯃	sỏ
𨯘	kẽm
𨯛	ấm
𨯷	đấng
𨯸	dùi
𨯹	đúc
𨰇	kẽm
𨰈	kiềng
𨰧	sủng
𨰪	thiếc
𨰲	lõm
𨰴	nén
𨰺	bén
𨱪	đườn
𨱽	dài
𨱾	dài
𨲅	nhằng
𨲖	ngòng
𨲷	đườn
𨳒	mọn
𨳦	suồng
𨳱	ngõ
𨴦	cửa
𨵣	cửa
𨶛	cổng
𨷈	muôn
𨷑	mở
𨷯	cửa
𨷶	cửa
𨸈	mở
𨸍	cụp
𨸾	bậc
𨹬	lở
𨻫	luống
𨻬	xó
𨻮	vện
𨼋	hờ
𨼚	be
𨼼	nhỏ
𩀳	sống
𩁦	loi
𩁱	nhóm
𩁶	ngất
𩂀	cơn
𩂁	ngút
𩂄	đùn
𩂏	che
𩂐	râm
𩂑	bùng
𩂕	phất
𩂟	mù
𩂠	đậy
𩂶	sét
𩃳	bóng
𩄎	mưa
𩄏	bùng
𩄐	ráng
𩄑	nồm
𩄒	ũm
𩄓	rợp
𩄔	xẩng
𩄨	guốt
𩄰	sét
𩄱	dông
𩄲	mây
𩄳	tạnh
𩄴	bóng
𩄵	nấp
𩄶	xối
𩅘	tóc
𩅙	sẩm
𩅚	dồi
𩅛	bùng
𩅜	ráng
𩅹	mây
𩅺	râu
𩅻	chở
𩆋	rào
𩆍	rào
𩆏	rợp
𩆐	sấm
𩆠	mống
𩆡	rào
𩆢	ầm
𩆪	mịt
𩆬	mống
𩆴	lờ
𩆷	sấm
𩆾	khuya
𩇅	mù
𩇆	sấm
𩇍	loà
𩇢	xanh
𩈂	bay
𩈘	mặt
𩈩	nạ
𩈪	trán
𩊽	hia
𩊾	dõn
𩌂	giầy
𩍓	ủng
𩍢	roi
𩍣	dép
𩏳	vía
𩑰	trán
𩓛	ngụp
𩓜	màng
𩕆	chạng
𩖅	sỏ
𩖫	vuông
𩗂	mát
𩗃	tố
𩘄	may
𩘣	tố
𩘨	dông
𩘩	thói
𩘪	giông
𩘫	hẩy
𩘬	thói
𩙋	gió
𩙌	gió
𩙍	gió
𩙕	bão
𩙳	liệng
𩙹	bổng
𩙻	bay
𩚔	nhử
𩚦	thết
𩚧	quà
𩚩	cỗ
𩛂	no
𩛃	quà
𩛄	bánh
𩛜	đói
𩛷	bữa
𩛸	mồi
𩜪	nhạy
𩜫	mồi
𩜽	ngán
𩝇	mồi
𩝺	nuôi
𩝻	chăn
𩞝	mềm
𩟂	quà
𩟡	đói
𩟢	bò
𩟬	sổi
𩟵	đúc
𩟻	nấng
𩟼	nuôi
𩠓	gật
𩠔	mào
𩠘	ngoái
𩠠	cúi
𩠧	gục
𩠩	sỏ
𩠭	óc
𩠱	chui
𩠳	chui
𩠴	cúi
𩠵	chọi
𩠸	nóc
𩡋	thơm
𩡜	lựng
𩢦	giong
𩢬	lừa
𩤕	bíu
𩦓	mở
𩧍	ruổi
𩨜	bả
𩨼	kheo
𩩇	sống
𩩖	sống
𩩩	vêu
𩩪	xương
𩩫	xương
𩩬	xác
𩩿	hom
𩪞	sụn
𩪵	sọ
𩪽	cụt
𩫛	chót
𩫦	rôm
𩬆	gáy
𩬑	chơm
𩬪	bợp
𩭆	cợp
𩭜	xùi
𩭵	quăn
𩭶	râu
𩮔	quăn
𩮕	xồm
𩮭	ria
𩮿	chóp
𩯀	tóc
𩯁	râu
𩯂	gáy
𩯮	mờn
𩯯	xoàm
𩯹	sói
𩰈	nheo
𩱻	quẻ
𩲡	coi
𩲥	trơi
𩳊	ranh
𩳳	trơi
𩳴	quẻ
𩴅	vía
𩴚	trơi
𩴬	vía
𩵃	trơi
𩵜	cá
𩵝	chài
𩵞	thiên
𩵽	tom
𩵾	trê
𩵿	ngừ
𩶝	chình
𩶟	bướp
𩶪	cháy
𩷆	gỏi
𩷇	húng
𩷈	liệt
𩷉	giếc
𩷊	thu
𩷕	lươn
𩷛	giếc
𩷳	vẩy
𩷶	măng
𩸄	quả
𩸘	quản
𩸮	bống
𩸯	chuối
𩸰	go
𩸱	ghím
𩸲	sứa
𩸳	mòi
𩸴	trê
𩸵	chình
𩸶	nhám
𩸷	rói
𩸸	thia
𩹤	thu
𩹩	nâu
𩹪	mè
𩹫	tép
𩹬	khô
𩹭	chày
𩹮	mú
𩹯	tươi
𩹰	trạnh
𩹹	giếc
𩺋	ngờ
𩺌	giải
𩺡	bơn
𩺢	chạch
𩺣	tràu
𩺤	sặt
𩺥	sò
𩺦	thờn
𩺧	cháy
𩺨	bống
𩺩	vảy
𩺪	bơn
𩺯	sốc
𩺱	nược
𩺺	gáy
𩻐	mắm
𩻑	lẹp
𩻒	sộp
𩻓	dưa
𩻔	thệ
𩻕	trắm
𩻛	trắm
𩻟	vây
𩻹	chèo
𩻺	vây
𩻻	leo
𩼀	vây
𩼁	rô
𩼈	úc
𩼢	vích
𩼤	trám
𩼨	ngờ
𩼷	đuối
𩼸	đuối
𩽉	sấu
𩽊	lúi
𩽋	sủ
𩽖	ruốc
𩽗	quỳnh
𩽤	sấu
𩽥	lươn
𩽸	nheo
𩾰	trĩ
𩾷	quạ
𩿘	mào
𩿙	quạ
𩿚	khướu
𩿠	vẹt
𩿨	khướu
𪀄	chim
𪀅	quạ
𪀆	sẻ
𪀎	sả
𪀐	bịp
𪀚	nhồng
𪁂	diệc
𪁃	chiện
𪁄	két
𪁅	sắc
𪁆	hâu
𪁇	sống
𪁎	sáo
𪁳	trả
𪁴	cốc
𪁵	cốc
𪁶	quạ
𪂠	quạ
𪂮	cò
𪂯	gô
𪂰	giẻ
𪂱	vạc
𪂲	cò
𪂳	cun
𪃏	môi
𪃙	chả
𪃱	hâu
𪃲	chả
𪃴	gà
𪃵	trả
𪄅	sét
𪄌	ngỗng
𪄞	sồ
𪄤	sáo
𪄥	cút
𪄦	choè
𪄧	hịch
𪄨	sáo
𪄸	trích
𪅤	kên
𪅥	vạc
𪅦	cuốc
𪅧	choi
𪅨	ri
𪅩	sấm
𪅪	quạch
𪅫	vạc
𪅬	yểng
𪅭	tu
𪅴	ác
𪆣	yểng
𪆤	đủi
𪆥	khướu
𪆦	tu
𪆧	vẹt
𪆼	lôi
𪇋	cùi
𪇌	nông
𪇍	quạ
𪇎	quắm
𪇏	cưởng
𪇐	sáo
𪇨	bồ
𪇩	ngan
𪇪	chích
𪇫	cùi
𪇴	vẹt
𪈾	nhạn
𪉥	muối
𪉴	muối
𪉽	mặn
𪉾	mặn
𪊅	mắm
𪐢	sì
𪐾	sì
𪑑	ngăm
𪒗	thâm
𪒳	ngòn
𪒷	ngòm
𪒽	trũi
𪓇	đen
𪓈	nghịt
𪓪	trạnh
𪓫	sam
𪔚	đùng
𪔠	trống
𪔡	bỏi
𪖠	sẹo
𪖫	mũi
𪖬	mũi
𪖭	ngửi
𪖺	ngáy
𪗀	hít
𪘌	lợi
𪘵	răng
𪚚	trong
𪚤	trông
𪛅	rùa
𪛇	rùa
