Chinese	Taiwanese	Sort	English
延 ,拖延 ,限	a7n	an 06a	request for postponement of payment, delivery or completion
那筆錢 (那件衣服 )他又拖三天。	::Hit tia5u chi5* (hit ni2a sa*) i koh a7n sa* ji8t.	an 06b	He asked for three more days to return the money (to return the shirt).
他一拖再拖還不還我。	::I a7n chi8t pa2i ko3e chi8t pa2i ia2u m7 he5ng go2a.	an 06c	Again and again he put off returning it.
不能拖延。	::be7 a7n-tit	an 06d	can't be put off
讓我拖延一下。	::ho7+ go2a a7n chi8t-e7	an 06e	give me a little time to get something done
安安靜靜	an-an-che7ng-che7ng	an an cheng cheng	peaceful and serene
安安穩穩	an-an-u2n-u2n	an an un un	secure and stable
安眠	an-bi5n	an bin 01a	sound sleep, to sleep well and peacefully
妨害安眠	::ho5ng-ha7i an-bi5n	an bin 01b	disturb someone's sound sleep
不能安眠	::be7-ta3ng an-bi5n	an bin 01c	can't sleep well
安眠藥	an-bi5n-io8h	an bin ioh	sleep inducing medicine
安撫	an-bu2	an bu	pacify a hostile people
案情	a3n-che5ng	an cheng 01a	law case, circumstances of a judicial case, details of a case
案情大白	::a3n-che5ng ta7i-pe8k	an cheng 01b	the riddle of a puzzling case has been completely unraveled
安靜	an-che7ng	an cheng 02a	quiet, in repose
你得安靜。	::Li2 tio8h an-che7ng.	an cheng 02b	You should be  quiet. You need to rest.
安靜療法	::an-che7ng lia5u-hoat	an cheng 02c	cure by resting
安插	an-chhah	an chhah 01a	find a place for one, get a position for one
沒位子可安插。	::Bo5 u7i thang an-chhah.	an chhah 01b	no company or organization has a position open to get a job
安插當教員。	::An-chhah cho3 ka3u-oa5n.	an chhah 01c	find a position as a teacher
按手	a3n-chhi2u	an chhiu	press down with the hand, to impose the hands on the head of the ordained in an ordination ceremony (Catholic)
按手禮	a3n-chhi2u-le2	an chhiu le	imposition of hands (Catholic)
安床	an-chhn5g	an chhng	rites seeking peace for nuptials, the blessing for the new bridal bed
箭上弓	an-chi3*	an chi*	put an arrow to the bow-string
按照	a3n-chia3u	an chiau 01a	act according to, go by, in accordance with
按照台灣的習慣	::a3n-chia3u Ta5i-oa5n e5 si8p-ko3an.	an chiau 01b	according to Taiwan custom
按照規矩	::a3n-chia3u kui-ki2	an chiau 01c	according to regulations, follow regulations
安裝	an-chng	an chng	install
怎麼?	a3n-cho2a*-iu7*	an choa* iu*	How? In what way or manner? What happened?
安全	an-cho5an	an choan	safe, in security
安全帽	an-cho5an-bo7	an choan bo	motorcycle helmet
安全氣囊	an-cho5an-khi3-lo5ng  (ke-kui-a2)	an choan khi long  (ke kui a)	air bag for car, sometimes referred to as ke-kui-a, balloon)
安全期	an-cho5an-ki5	an choan ki	safe period
安全理事會	An-cho5an Li2-su7-ho7e (An-li2-ho7e)	An choan Li su hoe (An li hoe)	Security Council of the United Nations
安全別針	an-cho5an pi2n-chiam	an choan pin chiam	safety pin
安全第一	an-cho5an te7-it	an choan te it	safety first
安全島	an-cho5an-to2+	an choan to+	safety island of a thoroughfare
安全帶	an-cho5an-to3a	an choan toa	safety belt
安裝	an-chong	an chong 01	install a device
安葬	an-cho3ng	an chong 02	bury, interment
安葬禮	an-cho3ng-le2	an chong le	burial service, prayers at the grave (Catholic)
按額	a3n-gia8h	an giah	according to the amount
按月	a3n-goe8h	an goeh	monthly, by the month
按月付款	a3n-goe8h hu3-kho2an	an goeh hu khoan	monthly installment
安危	an-gu5i	an gui	security and danger
擱下	a3n-ha7	an ha	leave a thing as it is, suspending an affair and leaving it just as it is, not maintain something
安享晚年	an-hia2ng-bo2an-lia5n	an hiang boan lian	enjoy a happy time in old age
安息日	an-hioh-ji8t (an-sek-ji8t)	an hioh jit (an sek jit)	Day of rest, the Sabbath, sometimes used to designate Sunday
安息日會	an-hioh-ji8t-ho7e	an hioh jit hoe	Seventh Day Adventists
安和樂利	an-ho5-lo8k-li7	an ho lok li	peaceful and happy
按戶	a3n-ho7+	an ho+	door by door
安放	an-ho3ng	an hong	position in a proper manner, to lay the keel of a boat
安放龍骨	an-ho3ng lio5ng-kut	an hong liong kut	lay down a keel
安非他命	an-hui-tha*-be7ng	an hui tha* beng	amphetamine, stimulants
安份	an-hu7n	an hun	be contented with one's lot, law abiding
安份守己	an-hu7n si2u-ki2	an hun siu ki	be satisfied with one's lot and control oneself
安養	an-io2ng	an iong	retire and enjoy the fruit of one's work in the past
安養院	an-io2ng-i7*	an iong i*	home for destitute old people
安然無恙	an-jia5n bu5-io7ng	an jian bu iong	completely uninjured, completely free from trouble
安然無事	an-jia5n bu5-su7	an jian bu su	all quiet, all's well
按日	a3n-ji8t	an jit	daily, every day, by day
安家	an-ka	an ka	insure the welfare of one's family, to set up a household by marriage
安家費	an-ka-hu3i	an ka hui	allowances for support of dependents (given to draftees or officials assigned to an overseas post)
試按一下	a3n-kho3a*-ba7i le	an khoa* bai le 01a	try to press
能踏不能踏 ,先用手試按一下	::E7-ta8h-tit a2 be7, seng io7ng chhi2u a3n-kho3a*-ba7i le.	an khoa* bai le 01b	Whether you can step on it or not, first use your hand to touch it.
安康	an-khong	an khong	in a state of peace and good health
按期	a3n-ki5	an ki	according to the dates or periods agreed upon or specified
設機關	an ki-koan	an ki koan	set a trap
安居樂業	an-ki lo8k-gia8p	an ki lok giap	live in peace and be content with one's lot or occupation
案件	a3n-ki7a*	an kia*	case at law
鑲金 ,裝金	an-kim	an kim	gild, to gold plate
案卷	a3n-ko3an	an koan	protocol
祖父 ,爺爺	a2n-kong (a-kong)	an kong (a kong)	grandfather
量力	a3n-la8t	an lat	regulate one's strength
案例	a3n-le7	an le	according to precedents
安寧	an-le5ng	an leng 01	peace, repose, calm, tranquility
按鈴	a3n-le5ng	an leng 02	press the button of a buzzer
按理	a3n-li2	an li	according to common practice or simple reasoning
按鈕	a3n-li2u	an liu	press a button
安樂	an-lo8k	an lok 01a	comfort, ease
安樂的生活	::an-lo8k e5 seng-oa8h	an lok 01b	comfortable life
安樂椅	an-lo8k-i2	an lok i	easy chair
安樂死	an-lo8k-si2	an lok si	euthanasia
按脈 ,把脈	a3n-me8h (chat-me8h)	an meh (chat meh)	feel the pulse
按摩	a3n-mo5+ (lia8h-le5ng)	an mo+ (liah leng)	massage, to massage
按摩師	a3n-mo5+-su (lia8h-le5ng-e5)	an mo+ su (liah leng e)	masseur, masseuse
這樣 ,如此	a2n-ne (a2n-ni)	an ne 01a	this, such, this say, in this manner
這樣才對	::A2n-ne m7-chiah tio8h	an ne 01b	Right
那麼 ,這麼一來 ...	a2n-ne... m7-ti8oh	an ne... m tioh 01a	Well, then,... must...
那麼 ,你得去台北啦 !	::A2n-ne, li2 m7-tio8h khi3 Ta5i-pak.	an ne... m tioh 01b	Well then, you must go to Taipei.
娘 ,母親	a2n-ni5a	an nia	Mother!
安排	an-pa5i	an pai 01a	dispose, provide, arrange
萬事都是天主在安排的。	::Ba7n-su7 lo2ng si7 Thian-Chu2 teh an-pa5i e5.	an pai 01b	God arranges (takes care of) all things.
安排一個時間來一起吃飯。	::An-pa5i chi8t e5 si5-kan la5i cho3-ho2e chia8h-pn7g.	an pai 01c	Set aside a time to have lunch together.
安排佈置	an-pa5i po3+-ti3	an pai po+ ti	make arrangements for
安邦定國	an-pang te7ng-kok	an pang teng kok	give peace and stability to the country
安平古堡	An-pe5ng ko2+-po2	An peng ko+ po	Fort Zeelandia in Tainan, built by the Dutch in the 17th century
按兵不動	a3n-peng put-to7ng	an peng put tong	refuse sending troops to relieve friendly forces in distress
安貧樂道	an-pi5n lo8k-to7	an pin lok to	happy to lead a simple virtuous life
按步	a3n-po7+	an po+	one by one, step by step
安不可忘危 ,治不可忘亂	An put-kho2 bo5ng gu5i, ti7 put-kho2 bo5ng lo7an	An put kho bong gui; ti put kho bong loan	Forget not danger when in safety, nor anarchy when in peace.
安息	an-sek	an sek 01a	rest
安息彌撒	::An-sek Mi5-sat	an sek 01b	Mass for the dead, a requiem Mass
安息日	an-sek-ji8t (an-hioh-ji8t)	an sek jit (an hioh jit)	Day of rest, the Sabbath, sometimes used to designate Sunday
按時	a3n-si5	an si	according to the time specified or agreed upon, on time, regularly
安心 ,放心	an-sim	an sim 01a	peace, ease, calmness of mind, put oneself at ease
請你安心。	::Chhi2a* li2 an-sim.	an sim 01b	Don't worry about it. Put your heart at rest.
安祥	an-sio5ng	an siong	undisturbed, in a composed manner
安打	an-ta2*	an ta*	safe hit in the sport of baseball
安置 ,安排	an-tah	an tah	arrange an affair
案底	a3n-te2	an te	have a criminal case against one
安定	an-te7ng	an teng 01a	equilibrium, be stable
安定的生活。	::an-te7ng e5 seng-oa8h	an teng 01b	stable life
社會不安定。	::si7a-ho7e bo5 an-te7ng	an teng 01c	Society is unstable.
安胎	an-thai	an thai 01a	relax the womb and prevent miscarriage
安胎符	::an-thai-hu5	an thai 01b	charm written to prevent a miscarriage
安胎藥	::an-thai-io8h	an thai 01c	medicine for preventing a miscarriage
安泰	an-tha3i	an thai 02	peaceful, in good health
安土	an-tho2+	an tho+	set down the coffin aside the grave for burial, to perform rites to cure a pregnant woman or a child suffering from the consequences of tang-tho
安置	an-ti3	an ti	secure a position for someone, same as an-chhah find a place for someone
很緊	a5n-to3ng-to3ng	an tong tong	very firm knot, very tight drawer, door or lid
安頓	an-tu3n	an tun	put in order, help settle down, make proper arrangement for the family before leaving home for a long period of time
安慰	an-u3i	an ui 01a	soothe, comfort, console
安慰病人	::an-u3i pe7*-la5ng	an ui 01b	console a sick person
得到安慰	::tit-tio8h an-u3i	an ui 01c	be consoled
安穩	an-u2n	an un 01a	tranquility, peaceful, free from danger
安穩的生活。	::an-u2n e5 seng-oa8h	an un 01b	peaceful secure life
火車比汽車安穩。	::Ho2e-chhia pi2 khi3-chhia khah an-u2n.	an un 01c	the train is safer than a car
夫	ang	ang 01	husband
甕	a3ng	ang 02a	large narrow-mouthed earthen jar
米缸	::bi2-a3ng	ang 02b	rice vat, jar or crock
酒甕	::chi2u-a3ng	ang 02c	liquor jar
紅	a5ng	ang 03a	red, at the height of one's career, very popular
他現在紅得發紫。	::I chi2m-a2 chin a5ng.	ang 03b	He is very popular now. He is very influential (weighty) now.
小甕	a3ng-a2	ang a	small earthen jar
娃娃臉	ang-a2-bi7n	ang a bin	baby-faced
夫妻	ang-a2-bo2+	ang a bo+	husband and wife
漫畫書	ang-a2-chheh	ang a chheh	comic book
玩的紙牌	ang-a2-phiau	ang a phiau	the Jack, Queen and King in a deck of cards
少女的臉 ,木偶的頭	ang-a2-tha5u	ang a thau	girl's face, face of a puppet
圖畫	ang-a2-to5+	ang a to+	drawing, picture, painting
深紅	a5ng-a5ng-a5ng (a5ng-ki3-ki3, a5ng-ko3ng-ko3ng)	ang ang ang (ang ki ki; ang kong kong)	crimson, cardinal red
紅墨水	a5ng-ba8k-chu2i	ang bak chui	red ink
眼睛腫	a5ng-ba8k-ka5u	ang bak kau	swollen and inflamed eyes
濫芋充數	A5ng-ba8k-u7-a2 ta3u la7u-jia8t.	ang bak u a tau lau jiat	useless helper (Ang-bak-u-a is a person with impaired vision or a dim wit.)
紅瑪瑙	a5ng-be2-lo2	ang be lo	cornelian, shrub or small tree that bears a small edible scarlet berry
正直的	a5ng-bi7n-e5	ang bin e 01a	upright
急性的人我不怕 ,因為正直的人容易被說服。	::Kip-se3ng e5 la5ng go2a m7-kia*, in-u7i a5ng-bi7n-e5 kho3ai lo8h la2ng.	ang bin e 01b	I don't fear an impetuous person, because an upright person is easily convinced.
容易被說服	::An5g-bi7n-e5 kho3ai lo8h la2ng.	ang bin e 01c	An upright person is easily convinced.
紅帽子	a5ng-bo7-a2	ang bo a	red-caps, railway porters, the label of being a Communist
夫婦	ang-bo2+	ang bo+	husband and wife
夫妻情份	ang-bo2+-che5ng	ang bo+ cheng	feelings that exist between a husband and a wife
紅糟	a5ng-chau	ang chau	mix mash with coloring
紅糟肉	a5ng-chau-bah	ang chau bah	meat treated with fermented grain mash
紅蘿蔔	a5ng-chha3i-tha5u	ang chhai thau	radish, carrot
紅蟳	an5g-chi5m	ang chim	serrated crab
紅種人	a5ng-chio2ng-la5ng	ang chiong lang	native born American, American Indian
紅磚	a5ng-chng-a2	ang chng a	red bricks
紅棗	a5ng-cho2	ang cho	red dates
嬰兒	a5ng-e*-a2 (a5ng-i*-a2)	ang e* a (ang i* a)	infant, a baby
紅潤	a5ng-ge5	ang ge	ruddy, rosy
紅外線	a5ng-go7a-so3a*	ang goa soa*	infra-red rays
紅海	A5ng-ha2i (Ho5ng-ha2i)	Ang hai (Hong hai)	Red Sea
紅霞	a5ng-he5	ang he	red sky, sunset
紅杏出牆	a5ng-he7ng chhut-chhi5u*	ang heng chhut chhiu*	commit adultery (in case of a married woman)
紅瓦	an5g-hi7a	ang hia	red tile
紅血球	a5ng-hiat-ki5u	ang hiat kiu	red blood cells
紅葉	a5ng-hio8h	ang hioh	red maple leaves, autumn leaves
紅蕃	a5ng-hoan	ang hoan	American Indians.
女巫	a5ng-i5	ang i	female spirit medium possessed by and speaks for the spirits of the dead
紅衣主教 ,樞機主教	An5g-i-chu2-ka3u (Chhu-ki-chu2-ka3u)	ang i chu kau	Cardinal Bishop
順著人的語意而言 ,阿諛	a5ng-i5 su7n o7e-bo2e	ang i sun oe boe	sorceress collecting ideas from the questions asked so as to give suitable answers, said of taking the cue from what someone says so as to speak to please someone
紅藥水	a5ng-io8h-chu2i	ang ioh chui	mercurochrome
赤字 ,紅字	a5ng-ji7	ang ji	deficit
供桌	a5ng-ke3-toh	ang ke toh	table which holds images of the gods in home or temple
柿子	a5ng-khi7	ang khi	persimmon
紅菊子	a5ng-kiok-a2	ang kiok a	red daisy
紅光滿面	a5ng-ko-chhiah-chhi7	ang ko chhiah chhi 01a	ruddy good health
前陣子病得要死 ,現在又紅光滿面了。	::Te2ng-e7 pe7* kah boeh si2, chi2m-a2 iu7-koh a5ng-ko-chhiah-chhi7 a.	ang ko chhiah chhi 01b	Formerly he was sick unto death, now he is again in ruddy good health.
老夫妻 ,老伴侶	ang-kong po5-a2	ang kong po a	aged couple
紅蝦	a5ng-ko2ng-sai	ang kong sai	big red crab
紅龜粿	a5ng-ku-ko2e	ang ku koe	turtle-shaped rice cake with stuffing made of peanuts, red colored
紅帥 ,讓他難堪	a5ng-kun	ang kun 01a	Red Queen in Chinese chess, unbearable, embarrassing, retaliate
他如果這樣 ,我會讓他難堪 ,找機會報復。	::I na7 tui3 go2a hiah-ni8h phai2*, go2a e7 phah chi8t ki a5ng-kun ho7+ i ka3u.	ang kun 01b	If he is does that to me, I'll look for an opportunity to retaliate.
暗恨	a3ng-la2ng	ang lang	secretly hate
紅樓夢	An5g-la5u-ba7ng	ang lau bang	Dream of the Red Chamber, great Chinese novel authored by Tsau Hsueh-chin during the Ching Dynasty
紅綠燈	a5ng-le8k-teng (chhe*-a5ng-teng)	ang lek teng	traffic lights
八仙彩 ,紅彩	a5ng-le5ng	ang leng	red cloth with a dragon on it, used in weddings
紅利 ,股息	a5ng-li7 (pho3e-tong-kim)	ang li	stock dividend
紅毛	a5ng-mn5g	ang mng	red-haired or red bristled, said vulgarly for foreigner
紅毛蕃	a5ng-mo5+-hoan	ang mo+ hoan	Westerners especially the Dutch in old Taiwan, red-haired barbarians
水泥	a5ng-mo5+-tho5+	ang mo+ tho+	cement
紅衛兵	An5g-o7e-peng	Ang oe peng	Red Guards
紅包	a5ng-pau	ang pau 01a	gift or bribe, a packet of money usually wrapped in red paper or in a red envelope presented as a tip, for congratulatory purposes or as a farewell present
送紅包	::sa3ng a5ng-pau	ang pau 01b	give a bribe or a congratulatory gift
收紅包	::siu a5ng-pau	ang pau 01c	accept a bribe
他的生日你要送禮物或是紅包 ?	::I e5 se*-ji8t li2 boeh sa3ng le2-bu8t a2-si7 a5ng-pau?	ang pau 01d	Are you going to present him with a gift or money on his birthday?
紅包案	a5ng-pau-a3n	ang pau an	bribery case
鼻塞 ,重鼻音	a3ng-phi7*	ang phi*	stuffy nose, adenoidal speech
塞鼻音	a3ng-phi7*-sia*	ang phi* sia* 01a	nasal voice, talk nasally and indistinctly
你講話塞鼻音 ,是著涼了嗎 ?	::Li2 ko2ng-o7e a3ng-phi7*-sia*, si7 ko5a*-tio8h a2 m7-si7?	ang phi* sia* 01b	Your voice is nasal. Do you have a cold?
茄子	a5ng-pho5e-chha3i	ang phoe chhai	eggplant
紅皮書	a5ng-pho5e-su	ang phoe su	red book, a term indicating a diplomatic document
紅寶石	a5ng-po2-chio8h	ang po chioh	rubies
夫婿	ang-sa3i	ang sai	husband
紅紗線	a5ng-se (-so3a*)	ang se ( soa*)	red thread
紅燒肉	a5ng-sio-bah	ang sio bah	pork simmered in soybean sauce and sugar
紅十字會	An5g-si8p-ji7-ho7e	ang sip ji hoe	Red Cross Society.
紅線	a5ng-so3a*	ang soa* 01a	red string, refers to the red string in Chinese folklore brings a man and his mate together, Chinese version of Cupid's arrow
牽紅線	::khan a5ng-so3a*	ang soa* 01b	act as go-between
赤銅	a5ng-ta5ng	ang tang	copper
紅豆	a5ng-ta7u	ang tau	red Indian beans
紅茶	a5ng-te5	ang te	black tea
紅燈	a5ng-teng	ang teng	red light, traffic light
道士	a5ng-tha5u-e5	ang thau e	Taoist priest
紅土	a5ng-tho5+	ang tho+	red clay or earth
陰險	a3ng-to7+	ang to+ 01a	cunning, crafty, deceitful
好事也不敢通告一下 ,你實在很陰險。	::Ho2-khang e5 ia7 m7-ka2* po3 chi8t-e7, li2 si8t-cha7i chin a3ng-to7+.	ang to+ 01b	Even good news you don't dare to let me know, you certainly are crafty.
壓	ap	ap 01a	press, oppress, pressure, repress, crush, close in, hold a document without taking action, surpass others in ability
血壓	::hiat-ap	ap 01b	blood pressure
氣壓	::khi3-ap	ap 01c	atmospheric, air or barometric pressure
盒 ,匣	a8p (a8h)	ap 02	box with a cover or lid, capsules, a case.
壓不住	ap be7-tia5u	ap be tiau	unable to command or exercise control over a group of people because of a lack of prestige or personal ability, (Lit. not enough pressure to hold down a compressed object which is resilient)
壓制 ,制壓	ap-che3 (che3-ap)	ap che (che ap)	enslave, oppress, tyrannize, subdue, repress, oppression
壓制人	ap-che3-la5ng	ap che lang	bring pressure to bear on a person
壓碎	ap-chhu3i	ap chhui	crush to pieces
壓下	ap-ha7	ap ha	press down
壓服	ap-ho8k	ap hok	subjugate, force a nation or person to his or her knees, suppress
壓力	ap-le8k	ap lek 01a	pressure
水的壓力	::chu2i e5 ap-le8k	ap lek 01b	water pressure
受上司的壓力	::si7u sio7ng-si e5 ap-le8k	ap lek 01c	pressure from above
用壓力強迫	::e7ng ap-le8k kio5ng-pek	ap lek 01d	pick on someone by putting pressure on them
壓力計	ap-le8k-ke3	ap lek ke	pressure gauge
壓力表	ap-le8k-pi2o	ap lek pio	pressure gauge
壓路機	ap-lo7+-ki	ap lo+ ki	roller for road-surfacing
壓平	ap-pe5*	ap pe*	press something so as to make it flat and smooth
壓迫	ap-pek	ap pek	pressure, hard-pressed, oppression, constraint
壓迫百姓	ap-pek peh-se3*	ap pek peh se*	oppress the people
壓破	ap-pho3a	ap phoa	crush to pieces
壓扁	ap-pi2*	ap pi*	flatten by pressure
壓縮	ap-siok (ap-sok)	ap siok (ap sok)	constriction, to compress
壓縮機	ap-siok-ki (ap-sok-ki)	ap siok ki (ap sok ki)	mechanical compressor
壓縮	ap-sok (ap-siok)	ap sok (ap siok)	constriction, to compress
壓倒	ap-to2	ap to	surpass, overwhelm, excel, win
壓倒性的勝利	ap-to2-se3ng e5 se3ng-li7	ap to seng e seng li	overwhelming victory, landslide victory
折	at	at 01a	break, bend or snap off things that have ki as their classifier
折斷	::at-chi8h (at-tn7g)	at 01b	break off
折甘蔗	::at kam-chi3a	at 01c	break sugar cane into short pieces
折曲 ,弄曲	::at-khiau	at 01d	bend
用以固定他物之器材	at-a2	at a	strip of wood nailed on or tied to a larger object to hold objects in place like tiles or straw roofing to prevent slippage
遏制	at-che3	at che	suppress
遏止	at-chi2	at chi	stop
遏阻	at-cho2+	at cho+	stop, prevent, deter
遏慾	at-io8k	at iok	suppress desires
遏亂	at-lo7an	at loan	suppress rebellion
歐	Au	au 01a	Europe, European
西歐	::Se-au	au 01b	Western Europe
杯	au	au 02a	cup, cupful
茶杯	::te5-au	au 02b	tea cup
一杯茶	::chi8t au te5	au 02c	cup of tea
