მოკითხვა	Greetings	mokit`xva
მოიხვეჭს	Will be missed.	moixvechs
ხარობს	It is growing.	xarobs
ცალ	One by one	c`al
ცალკე	Separately	c`alke
დააყენა	Put	daaqena
ეკლესიაში	In church	eklesiashi
პირველად	For the first time	pirvelad
მოციქულები	Apostles	moc`ik`ulebi
მეორედ	Second time	meored
მქადაგებელნი	Preachers	mk`adagebelni
მესამედ	For the third time	mesamed
მოძღვარნი	Teachers	moz'g'varni
მერე	Then	mere
კურნებათა	Healing	kurnebat`a
ნიჭები	Talents	nichebi
შეწევნანი	Possible	shecevnani
მართვანი	Management	mart`vani
მოციქულია	He is an apostle.	moc`ik`ulia
მქადაგებელია	He is a preacher.	mk`adagebelia
მოძღვარია	He is a teacher.	moz'g'varia
ლაპარაკობენ	They are talking.	laparakoben
ენებით	In languages	enebit`
განმარტავენ	They explain	ganmartaven
ეშურეთ	Run away.	eshuret`
დიდ	Big	did
ნიჭებს	Talents	nichebs
გაჩვენებთ	I will show you.	gach`venebt`
აღმატებულ	Superior	ag'matebul
გზას	On the road	gzas
სიყვარულის	Of love	siqvarulis
არაფერია	Nothing.	arap`eria
ადამიანთა	Human	adamiant`a
ანგელოზთა	Angels	angelozt`a
ვლაპარაკობ	I am talking.	vlaparakob
სიყვარული	Love	siqvaruli
ჟღარუნა	Rattle	zhg'aruna
რვალი	Eight	rvali
ჩხარუნა	Squirrel	ch`xaruna
წინწილა	Forward	cincila
წინასწარმეტყველებაც	Prophecy too	cinascarmetqvelebac`
მქონდეს	I have	mk`ondes
საიდუმლო	Secret	saidumlo
ცოდნაც	Knowledge too	c`odnac`
ვუწყოდე	I told him/her	vucqode
სრული	Complete	sruli
რწმენაც	Faith too	rcmenac`
ისეთი	Such	iset`i
მთების	Mountains	mt`ebis
გადაადგილება	Move	gadaadgileba
შემეძლოს	I could	shemez'los
არარაობა	Nothingness	araraoba
ვიქნებოდი	I would be	vik`nebodi
ქონება	Property	k`oneba
დავარიგო	I was defeated.	davarigo
დასაწვავად	To burn	dasacvavad
გავწირო	To sacrifice	gavciro
არაფრად	Nothing.	arap`rad
ვევარგები	I fit in.	vevargebi
გამოჩენა	Appearance	gamoch`ena
სულგრძელია	It is long-suffering.	sulgrz'elia
ქველმოქმედია	He is a philanthropist.	k`velmok`media
შურს	Envy	shurs
ყოყოჩობს	It is noisy.	qoqoch`obs
ამპარტავნობს	Arrogant	ampartavnobs
სჩადის	It happens.	sch`adis
უწესობას	Indecency	ucesobas
თავისას	At his own	t`avisas
ეძიებს	Looking for	ez'iebs
მრისხანებს	It makes me angry.	mrisxanebs
სიცრუით	By lies	sic`ruit`
ჭეშმარიტება	Truth	cheshmariteba
ახარებს	Makes you happy	axarebs
ყოველივეს	Everything	qovelives
იტანს	Can bear	itans
სწამს	Believes	scams
ყველაფრის	Everything	qvelap`ris
სასოება	Hope	sasoeba
ითმენს	He/She is patient.	it`mens
არასოდეს	Never	arasodes
მთავრდება	It ends.	mt`avrdeba
წინასწარმეტყველებანი	Prophecies	cinascarmetqvelebani
გაუქმდება	Will be canceled.	gauk`mdeba
შეწყდება	Will be discontinued	shecqdeba
ცოდნა	Knowledge	c`odna
ნაწილობრივი	Partial	nacilobrivi
ვიცით	We know	vic`it`
ნაწილობრივს	Partial	nacilobrivs
ვწინასწარმეტყველებთ	We predict	vcinascarmetqvelebt`
სრულყოფილი	perfect	srulqop`ili
მოვა	Will come	mova
განქარდება	It will be dispersed.	gank`ardeba
ბავშვი	Child	bavshvi
ვიყავი	I was	viqavi
ბავშვურად	Childishly	bavshvurad
ვმსჯელობდი	I was discussing.	vmsjelobdi
გავხდი	I became	gavxdi
ბავშვური	Childish	bavshvuri
მივატოვე	I left it.	mivatove
ვხედავთ	We see	vxedavt`
სარკით	With a mirror	sarkit`
ბუნდოვნად	Vaguely	bundovnad
პირისპირ	Face to face	pirispir
მცირეოდენი	A little bit	mc`ireodeni
შევიცნობ	I will get to know you.	shevic`nob
შეცნობილი	Acquainted	shec`nobili
რჩება	Remains	rch`eba
სამი	Three	sami
უდიდესი	The greatest	udidesi
სიყვარულია	It is love.	siqvarulia
განუმარტებლად	Inexplicably	ganumarteblad
აშენებენ	They are building	asheneben
ესწრაფეთ	Hurry up.	escrap`et`
სიყვარულს	To love	siqvaruls
იწინასწარმეტყველოთ	To predict	icinascarmetqvelot`
ენით	With language	enit`
ადამიანებს	To people	adamianebs
ელაპარაკება	He/She will talk to you.	elaparakeba
ესმის	Understands	esmis
იგი	He/She	igi
საიდუმლოებებს	Secrets	saidumloebebs
აღსაშენებლად	To build	ag'sasheneblad
სანუგეშებლად	To comfort	sanugesheblad
გასამხნევებლად	To encourage	gasamxneveblad
მოლაპარაკე	Talkative	molaparake
მსურს	I want	msurs
ლაპარაკობდეთ	Let's talk.	laparakobdet`
წინასწარმეტყველებდეთ	Prophesy	cinascarmetqvelebdet`
მოლაპარაკეზე	About the speaker	molaparakeze
მეტია	There is more	metia
განმარტავს	Explains	ganmartavs
კიდეც	Even so	kidec`
ეკლესია	Church	eklesia
აღშენდეს	To build	ag'shendes
თქვენთან	With you	t`k`vent`an
ვილაპარაკებ	I will talk.	vilaparakeb
მოგიტანთ	I will bring you	mogitant`
გამოცხადებით	By announcement	gamoc`xadebit`
წინასწარმეტყველებით	By prophecy	cinascarmetqvelebit`
მოძღვრებით	With teachings	moz'g'vrebit`
უსულო	Inanimate	usulo
საგნები	Subjects	sagnebi
ხმას	Voice	xmas
გამოსცემენ	They will issue	gamosc`emen
სტვირი	Whistle	stviri
ებანი	Ebony	ebani
ხმებში	In the voices	xmebshi
იძლევიან	They give	iz'levian
განსხვავებებს	Differences	gansxvavebebs
როგორ	How	rogor
შეიცნობა	To get to know	sheic`noba
უკრავენ	They play.	ukraven
სტვირზე	On the horn	stvirze
ებანზე	On the floor	ebanze
საყვირიც	The trumpet too	saqviric`
გაურკვეველ	Unknown	gaurkvevel
გამოსცემს	Issued	gamosc`ems
გაემზადება	To prepare	gaemzadeba
საბრძოლველად	To fight	sabrz'olvelad
სიტყვას	The word	sitqvas
წარმოთქვამთ	You say	carmot`k`vamt`
გაიგება	Understand	gaigeba
ნალაპარაკევი	Unspoken	nalaparakevi
ჰაერში	In the air	haershi
ილაპარაკებთ	Will you talk?	ilaparakebt`
მაგალითად	For example	magalit`ad
რამდენი	How many?	ramdeni
განსხვავებული	Different	gansxvavebuli
სიტყვაა	It is a word.	sitqvaa
სოფელში	In the village	sop`elshi
უმნიშვნელო	Unimportant	umnishvnelo
სიტყვის	Word	sitqvis
მნიშვნელობა	Meaning	mnishvneloba
უცხო	Stranger	uc`xo
ვიქნები	I will be	vik`nebi
მოლაპარაკისათვის	For conversation	molaparakisat`vis
ეშურებით	With envy	eshurebit`
ეცადეთ	Try.	ec`adet`
იუხვოთ	To be silent	iuxvot`
ეკლესიის	Church	eklesiis
ილოცოს	To pray	iloc`os
მოლაპარაკემ	The speaker	molaparakem
განმარტოს	To explain	ganmartos
ვლოცულობ	I pray.	vloc`ulob
გონება	Mind	goneba
უნაყოფოა	It is barren.	unaqop`oa
ვქნათ	Let's do it.	vk`nat`
ვილოცებ	I will pray.	viloc`eb
გონებითაც	With my mind too	gonebit`ac`
ვიგალობებ	I sing.	vigalobeb
აკურთხებ	I bless you.	akurt`xeb
ამინს	Amen	amins
შენს	Yours	shens
მადლობაზე	Thank you.	madlobaze
უმეცართაგანი	Ignorant	umec`art`agani
ამბობ	You say	ambob
შენ	You	shen
აი	Here	ai
კეთილად	Kindly	ket`ilad
სწირავ	I am sacrificing.	scirav
მადლს	Thank you.	madls
შენდება	Under construction	shendeba
თქვენგანზე	About you	t`k`venganze
მეტს	More	mets
მირჩევნია	I prefer	mirch`evnia
ხუთი	Five	xut`i
ვთქვა	to say	vt`k`va
სხვებსაც	To others too	sxvebsac`
ვასწავლო	To teach	vascavlo
ათი	Ten	at`i
ურწმუნოს	Unbeliever	urcmunos
ამხელს	Reveals	amxels
იქნებით	Will you be?	ik`nebit`
ბავშვები	Children	bavshvebi
მხოლოდ	Only	mxolod
ბოროტებისათვის	For evil	borotebisat`vis
გახდით	Become	gaxdit`
გონებისთვის	For the mind	gonebist`vis
სრულწლოვანნი	Adults	srulclovanni
რჯულში	In the law	rjulshi
სხვათა	Others	sxvat`a
ბაგეებით	With lips	bageebit`
დაველაპარაკები	I will talk to you.	davelaparakebi
ხალხს	To the people	xalxs
მაინც	Anyway	mainc`
მომისმენენ	They will listen to me.	momismenen
ენა	Language	ena
მორწმუნეთათვის	For believers	morcmunet`at`vis
ურწმუნოთათვის	For the unbelievers	urcmunot`at`vis
შეიკრიბება	Will gather	sheikribeba
ილაპარაკებენ	They will talk.	ilaparakeben
შემოვლენ	They will come in.	shemovlen
ურწმუნონი	Unbeliever	urcmunoni
იტყვიან	They will say	itqvian
შეშლილები	Crazy people	sheshlilebi
ხართო	Are you there?	xart`o
წინასწარმეტყველებენ	They predict	cinascarmetqveleben
შემოვა	Will come in	shemova
ურწმუნო	Unbeliever	urcmuno
უმეცარი	Ignorant	umec`ari
განსჯის	Judgment	gansjis
ამრიგად	Thus	amrigad
გამომჟღავნდება	Will be revealed	gamomzhg'avndeba
გულის	Heart	gulis
დაფარულნი	Covered	dap`arulni
დაემხობა	Toppled	daemxoba
ძირს	Bottom	z'irs
თაყვანს	Worship	t`aqvans
სცემს	Beats	sc`ems
ჭეშმარიტად	Truly	cheshmaritad
ილაპარაკოს	To speak	ilaparakos
იწინასწარმეტყველოს	To predict	icinascarmetqvelos
რაღა	What?	rag'a
ყოველს	Everyone	qovels
ფსალმუნი	Psalm	p`salmuni
სწავლა	Study	scavla
გამოცხადება	Revelation	gamoc`xadeba
ხდებოდეს	To be done	xdebodes
ორ	Two	or
ორმა	Two	orma
დიდი	Big	didi
სამმა	Three	samma
ერთიმეორის	Each other	ert`imeoris
მიყოლებით	Following	miqolebit`
