্নানি	Grandma	naani
হিয়েলের	Hill's	hiyyeler
হিয়েল	Heel	hiyyel
হিয়েরাপলিতে	In Hierapolis	hiyyeraaplite
হিয়া	Hiya	hiyyaa
হিয়রাপলিতে	In Hierapolis	hiy'raaplite
হিয়রাপলি	Hierapolis	hiyyraapli
হিম্মত	Courageous	himmt
হিম্নোমের	Hymn of the	himneaamer
হিম্নোম	Hymnome	himneaam
হিম্‌দন	Frost	himdn
হিমেল	Himel	himel
হিমের	Frost	himer
হিমে	In the cold	hime
হিমানীর	Himani's	himaaniir
হিমানীকে	Himani	himaaniike
হিমানী	Himani	himaanii
হিমশীতলতা	Frostiness	himshiitltaa
হিমবৎ	Frosty	himb
হিমদন	Freezing	himdn
হিমজলে	In freezing water	himjle
হিম	Frost	him
হিব্রোন	Hebron	hibron
হিব্রোণের	Hebron	hibreaanner
হিব্রোণে৷	In Hebron.	hibronne4/
হিব্রোণে।	In Hebron.	hibreaanne / 
হিব্রোণে	In Hebron	hibreaanne
হিব্রোণীয়দের	The Hebronites	hibreaanniiyyder
হিব্রোণীয়	Hebronese	hibreaanniiyy
হিব্রোণী	Hebron	hibreaannii
হিব্রোণস্থ	In Hebron	hibreaannsth
হিব্রোণবাসী	Hebronites	hibronnbaasii
হিব্রোণকে	To Hebron	hibronnke
হিব্রোণ।	Hebron.	hibreaann / 
হিব্রোণ	Hebron	hibreaann
হিব্রুরা	Hebrews	hibruraa
হিব্রুভাষী	Hebrew-speaking	hibrubhaassii
হিব্রুভাষায়	In Hebrew	hibrubhaassaayy
হিব্রুদের	Hebrews	hibruder
হিব্রুতে	In Hebrew	hibrute
হিব্রুকে	In Hebrew	hibruke
হিব্রুঃ	Hebrew:	hibruH
হিব্রু	Hebrew	hibru
হিব্র	Hebrew	hibr
হিব্বীয়েরা।	Hivites.	hibbiiyyeraa / 
হিব্বীয়েরা	Hivites	hibbiiy'eraa
হিব্বীয়রা।	Hivites.	hibbiiy'raa / 
হিব্বীয়রা	Hivites	hibbiiyyraa
হিব্বীয়দের	Hivites	hibbiiy'der
হিব্বীয়দিগকে	To the Hebrews	hibbiiyydigke
হিব্বীয়গণ।	Hivites.	hibbiiyygnn / 
হিব্বীয়	Hibiscus	hibbiiy'
হিব্বিয়	Hibiya	hibbiyy
হিব্বয়	Hibbo	hibbyy
হিব্বতী	Hibati	hibbtii
হিবর	Hiber	hibr
হিফ্‌সীবা।	Hephzibah.	hiphsiibaa / 
হিফ্‌সীবা	Hephzibah	hiphsiibaa
হিফ্‌সী	Hifsi	hiphsii
হিফসিবাহ্	Hephzibah	hiphsibaah
হিন্নোম্‌	Hinnom	hinneaam
হিন্নোমের	Hinnom	hinneaamer
হিন্নোম	Hinnom	hinneaam
হিন্দুস্থান	Hindustan	hindusthaan
হিনের	Hin's	hiner
হিনঃ	Hin:	hinH
হিন	Hin	hin
হিদ্দেকল।	Hiddekel.	hiddekl / 
হিদ্দেকল	Hiddekel	hiddekl
হিদ্দয়	Hidday	hiddy'
হিৎলোনের	Hitlon's	hileaaner
হিত্তীয়েরা	Hittites	hittiiyyeraa
হিত্তীয়া।	the Hittites	hittiiy'aa / 
হিত্তীয়া	Hittite	hittiiy'aa
হিত্তীয়দের	Hittites	hittiiy'der
হিত্তীয়কে	Hittite	hittiiy'ke
হিত্তীয়।	Hittite.	hittiiy' / 
হিত্তীয়	Hittite	hittiiy'
হিত্তিয়দের	Hittites	hittiyyder
হিত্তিয়	Hittite	hittiyy
হিতোপদেশগুলোও	Proverbs too	hitopdeshguloo
হিতোপদেশগুলিও	Proverbs too	hiteaapdeshgulio
হিতোপদেশ।	Proverbs.	hiteaapdesh / 
হিতোপদেশ	Proverbs	hiteaapdesh
হিতো	Hito	hiteaa
হিতৈষী	Benefactor	hitaissii
হিতৈষণা	Benevolence	hitaissnnaa
হিতের	Of benefit	hiter
হিতাকাঙ্ক্ষী	Well-wisher	hitaakaangkssii
হিতসাধনের	Benevolence	hitsaadhner
হিতসঙ্কল্পের	Of good will	hitsngklper
হিতসঙ্কল্প	Good intentions	hitsngklp
হিতসংকল্প	Goodwill	hitsNklp
হিতবাক্য	Proverbs	hitbaaky
হিতজনক	Beneficial	hitjnk
হিতকার্য্য	Benevolence	hitkaaryy
হিতকার্য	Beneficial	hitkaary
হিতকারী	Benefactor	hitkaarii
হিতকর	Beneficial	hitkr
হিতকথা	Proverbs	hitkthaa
হিত	Benefit	hit
হিণ্ণোম	Hinnom	hinnnneaam
হিট্টীয়া	Hittite	hittttiiyyaa
হিট্টীয়রা	Hittites	hittttiiyyraa
হিট্টীয়দের	Hittites	hittttiiyyder
হিট্টীয়।	Hittite.	hittttiiyy / 
হিট্টীয়	Hittite	hittttiiyy
হিট্টিয়দের	Hittites	hittttiyyder
হিট্টিয়কে	Hittite	hittttiyyke
হিট্টিয়	Hittite	hittttiyy
হিগ্গায়োন।	Higginson.	higgaayyeaan / 
হিগ্‌গায়োন	Higginson	higgaayyeaan
হিগায়োন।	Higayon.	higaayyeaan / 
হিগদলিয়ের	Higdaliya	higdliyyer
হাহুতাশ	Hahaha	haahutaash
হাহিরোতের	Hahiroth	haahireaater
হাহিরোত	Hahiroth	haahireaat
হাহাকারের	Wailing	haahaakaarer
হাহাকারেপরিণত	Turned into a cry	haahaakaareprinnt
হাহাকারে	With a cry	haahaakaare
হাহাকার।	Howl.	haahaakaar / 
হাহাকার	Wailing	haahaakaar
হাস্যের	Of laughter	haasyer
হাস্যে	Laughing	haasye
হাস্যাস্পদ।	Hilarious.	haasyaaspd / 
হাস্যাস্পদ	Funny	haasyaaspd
হাস্যস্পদ	Funny	haasyspd
হাস্যময়	Funny	haasymyy
হাস্যপরিহাসের	Humorous	haasyprihaaser
হাস্যকৌতূকের	Humorous	haasykautuuker
হাস্যকালেও	Even when laughing	haasykaaleo
হাস্যকর	Funny	haasykr
হাস্য	Laughter	haasy
হাস্তিঠাট্টার	Laughter	haastitthaattttaar
হাস্তিখুশী	Laughing	haastikhushii
হাসো	Smile.	haaseaa
হাসেন।	Laughs.	haasen / 
হাসেন	Laughs	haasen
হাঁসে।	Duck.	haaNse / 
হাসে।	Laughs.	haase / 
হাঁসে	Duck	haaNse
হাসে	Laughs	haase
হাসুক	Let's laugh.	haasuk
হাসিলেন	Smiled	haasilen
হাসিলে	Hasile	haasile
হাসিল	Hasil	haasil
হাসির	Laughter	haasir
হাসিয়াছিলে।	You laughed.	haasiyyaachile / 
হাসিয়া	Smile	haasiyyaa
হাসিমুখে	With a smile	haasimukhe
হাসিমুখ	Smiley face	haasimukh
হাসিবে।	Will laugh.	haasibe / 
হাসিবে	Hasibe	haasibe
হাসিব	Hasib	haasib
হাসিনি	I didn't laugh.	haasini
হাসিতেও	Even in laughter	haasiteo
হাসিতে	With laughter	haasite
হাসিখুশীর	Hikushi	haasikhushiir
হাসিও	Smile too	haasio
হাসি।	Smile.	haasi / 
হাসি	Smile	haasi
হাসাহাসি	Laughter	haasaahaasi
হাসালেন	He laughed.	haasaalen
হাসার	Laughter	haasaar
হাসায়েলের	Hazael	haasaay'eler
হাসা	Smile	haasaa
হাসসোন	Hasson	haasseaan
হাঁসলো	Laughed.	haaNslo
হাসলেন।	He smiled.	haaslen / 
হাসলেন	Laughed.	haaslen
হাসলে	Smile	haasle
হাসল	Smiled	haasl
হাসমানোৎ	Hasmonean	haasmaaneaa
হাঁসবেন।	Laugh.	haaNsben / 
হাসবেন।	You will laugh.	haasben / 
হাসবেন	Laugh.	haasben
হাসবে।	Will laugh.	haasbe / 
হাঁসবে	Will laugh.	haaNsbe
হাসবে	Will laugh.	haasbe
হাসবার	To laugh	haasbaar
হাসব	I will laugh.	haasb
হাসতে	To laugh	haaste
হাঁসতাম	I would laugh.	haaNstaam
হাসছো	Are you laughing?	haascho
হাসছেন	Smiling	haaschen
হাসছে	Laughing	haasche
হাসছ	Are you laughing?	haasch
হাঁস	Duck	haaNs
হাস	Laugh	haas
হাষেমের	Hashem	haassemer
হাশেম	Hashem	haashem
হাশরের	Resurrection	haashrer
হাশরেই	Hashraei	haashrei
হাশরে	In the end	haashre
হাশর	Resurrection	haashr
হাশ	Hash	haash
হাল্লেলূয়া	Hallelujah	haalleluuy'aa
হাল্লেলূইয়া	Hallelujah	haalleluuiy'aa
হাল্লেলুয়া	Hallelujah	haalleluyyaa
হাল্লিলূয়া।	Hallelujah.	haalliluuy'aa / 
হাল্লিলূয়া	Hallelujah	haalliluuy'aa
হাল্কাভাবে	Lightly	haalkaabhaabe
হাল্কা।	Light.	haalkaa / 
হালের	Recent	haaler
হালাহ্	Halah	haalaah
হালাল।	Halal.	haalaal / 
হালাল	Halal	haalaal
হালাক	Halak	haalaak
হালা	Hala	haalaa
হালহুল	Halhul	haalhul
হালরেখা	Latest news	haalrekhaa
হালবাহক	Helmsman	haalbaahk
হালখাত	Tillage	haalkhaat
হালকা।	Light.	haalkaa / 
হালকা	Light	haalkaa
হালক	Hulk	haalk
হাল	Hal	haal
হার্ম্মিস	Hermes	haarmmis
হার্মোনের	Harmon's	haarmoner
হার্মোন	Harmon	haarmeaan
হার্মোণের	Harmon's	haarmeaanner
হার্মোণ	Harmon	haarmeaann
হার্মেস।	Hermes.	haarmes / 
হার্মিস।	Hermes.	haarmis / 
হার্মাগেনিস।	Hermaganes.	haarmaagenis / 
হার্বোণা	Harbona	haarbeaannaa
হারোশেৎ	Harosheth	haareaashe
হারোদ	Herod	haareaad
হারোণের	Aaron's	haareaanner
হারোণসন্তান	Aaron's son	haareaannsntaan
হারোণবংশের	Aaronic	haareaannbNsher
হারোণবংশীয়া	Aaronic family	haareaannbNshiiyyaa
হারোণকেও	Aaron too	haaronnkeo
হারোণকে	Aaron	haareaannke
হারোণকুলের	Of the house of Aaron	haareaannkuler
হারোণকুলজাত	Aaronic	haareaannkuljaat
হারোণকুল	Aaron's family	haareaannkul
হারোণও	Aaron too	haareaanno
হারোণই	Aaron	haareaanni
হারোণ।	Aaron.	haareaann / 
হারোণ	Aaron	haareaann
হারোড়	Harod	haareaarr
হারের	Rate	haarer
হারেমের	Harem	haaremer
হারেমে	In the harem	haareme
হারেম	Harem	haarem
হারেফ।	Hareph.	haareph / 
হারেফ	Haref	haareph
হারে	At a rate	haare
হারুষের	Harush's	haarusser
হারুমের	Harum's	haarumer
হারুন্তবংশের	Harunt's descendants	haaruntbNsher
হারুনের	Aaron's	haaruner
হারুনকেও	Aaron too	haarunkeo
হারুনকে	To Aaron	haarunke
হারুনও	Aaron too	haaruno
হারুনই	Aaron	haaruni
হারুন।	Aaron.	haarun / 
হারুন	Aaron	haarun
হারুজের	Haruz	haarujer
হারীমের	Harem	haariimer
হারীম	Harem	haariim
হারীফের	Harif's	haariipher
হারীফ	Harif	haariiph
হারিয়ো	Lose	haariyyeaa
হারিয়েছেন	Lost	haariyyechen
হারিয়েছে।	Lost.	haariyyeche / 
হারিয়েছে	Lost	haariy'eche
হারিয়েছিলে	You lost.	haariy'echile
হারিয়েছিল।	Lost.	haariyyechil / 
হারিয়েছিল	Lost	haariyyechil
হারিয়েছি।	Lost.	haariyyechi / 
হারিয়েছি	Lost	haariyyechi
হারিয়েছ	Lost.	haariyyech
হারিয়ে।	Lost.	haariyye / 
হারিয়ে	Lost	haariy'e
হারিও	Lose	haario
হারাসৎ।	Harasat.	haaraas / 
হারালোতে	Lost	haaraalote
হারালো৷	Lost.	haaraalo4/
হারালেন	Lost	haaraalen
হারালে	If you lose	haaraale
হারালাম।	I lost.	haaraalaam / 
হারালাম	Lost.	haaraalaam
হারাল।	Lost.	haaraal / 
হারাল	Lost	haaraal
হারার	Loser	haaraar
হারায়ো	Lose	haaraayyo
হারায়নি।	Not lost.	haaraay'ni / 
হারায়নি	Not lost.	haaraayyni
হারায়ও	Even if you lose	haaraay'o
হারায়।	Loses.	haaraay' / 
হারায়	Loses	haaraay'
হারাম।	Haram.	haaraam / 
হারাম	Haram	haaraam
হারাবেন	Lose	haaraaben
হারাবে।	Will lose.	haaraabe / 
হারাবে	Will lose	haaraabe
হারাবার	To lose	haaraabaar
হারাব	Lose	haaraab
হারানোর	To lose	haaraaneaar
হারানোদের	The lost	haaraanoder
হারানোটি	The lost one	haaraanotti
হারানো	Lost	haaraaneaa
হারানের	Haran	haaraaner
হারানদের	Losers	haaraander
হারান	Lose	haaraan
হারাদা	Harada	haaraadaa
হারাতে	To lose	haaraate
হারাত।	Lost.	haaraat / 
হারাণের	Of loss	haaraanner
হারাণেই	Losing	haaraannei
হারাণে	In loss	haaraanne
হারাণটী	Haranth	haaraannttii
হারাণ	Loss	haaraann
হারাক।	Harak.	haaraak / 
হারাক	Harak	haaraak
হারাওনি।	I didn't lose.	haaraaoni / 
হারাও।	Lose.	haaraao / 
হারাও	Lose	haaraao
হারাইয়াছে	Lost	haaraaiyyaache
হারাইয়া	Lost	haaraaiyyaa
হারাইবে।	Will lose.	haaraaibe / 
হারাইবে	Will lose.	haaraaibe
হারাইবার	Loser	haaraaibaar
হারাইব	Haraib	haaraaib
হারাইতে	To lose	haaraaite
হারাই	Lose	haaraai
হারা	Lose	haaraa
হারহাসের	Harhaser	haarhaaser
হারস্বরূপ।	As a reward.	haarsbruup / 
হারস্বরূপ	As a reward	haarsbruup
হারমোন	Hormone	haarmeaan
হারমেশ	Hermesh	haarmesh
হারম	Harm	haarm
হারবৎ	Like a necklace	haarb
হারপুন	Harpoon	haarpun
হারনের	Haron	haarner
হারনে	Harne	haarne
হারন	Haron	haarn
হারতে	To lose	haarte
হারণেরও	Haran's too	haarnnero
হারণের	Haran	haarnner
হারণে	Haran	haarnne
হারণকে	Haran	haarnnke
হারণ।	Haran.	haarnn / 
হারণ	Haran	haarnn
হার।	Rate.	haar / 
হার	Rate	haar
হায়েনারা	Hyenas	haayyenaaraa
হায়েনায়	In hyena	haayyenaayy
হায়েনাদের	Hyenas	haayyenaader
হায়াহ্	Hey.	haayyaah
হায়রে	Alas	haayyre
হাযরামাওত	Hazramaut	haayraamaaot
হায়নার	Hayner	haay'naar
হায়নাদের	Hyenas	haay'naader
হায়না	Hyena	haay'naa
হায়৷	Alas.	haay'4/
হায়।	Alas.	haay' / 
হায়	Alas	haay'
হাম্মোলেকৎ	Hammolekth	haammeaalek
হাম্মোন	Hammon	haammeaan
হাম্মোৎ	Hammoth	haammeaa
হাম্বারব	Humber	haambaarb
হাম্বা	Hamba	haambaa
হামোরের	Hamor's	haameaarer
হামোরকে	Hamorke	haameaarke
হামোর	Hamor	haameaar
হামোনের	Hamon	haamoner
হামোনে	Hamon	haameaane
হামোনা	Hamona	haameaanaa
হামোনকে	Hamonke	haamonke
হামোন	Hamon	haameaan
হামের	Measles	haamer
হামূলীয়	Hamulian	haamuuliiy'
হামূল।	Hamul.	haamuul / 
হামূল	Hamul	haamuul
হামুল।	Hamul.	haamul / 
হামুল	Hamul	haamul
হামুয়েল	Hamuel	haamuyyel
হামুতাল।	Hamutal.	haamutaal / 
হামুতাল	Hamutal	haamutaal
হামীয়দের	Hamites	haamiiy'der
হামালদিস্তায়	In the warehouse	haamaaldistaay'
হামার	Hummer	haamaar
হামায়	In Hama	haamaayy
হামানেরই	Haman's	haamaaneri
হামানের	Haman's	haamaaner
হামানদিস্তায়	In mortar	haamaandistaayy
হামানদিস্তা	Mortar	haamaandistaa
হামানকে	To Haman	haamaanke
হামানই	Hamanai	haamaani
হামান।	Haman.	haamaan / 
হামান	Haman	haamaan
হামাথের	Hamath	haamaather
হামাথ	Hamath	haamaath
হামাৎ	Hamath	haamaa
হামাতের	Hamath	haamaater
হামাতী	Hamathi	haamaatii
হামাত	Hamath	haamaat
হামাগুড়ি	Crawl	haamaagudd'i
